county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,01-01,U.S. House,,DEMOCRATIC,Hartley-Na,190,6,196
New Castle,01-01,U.S. House,,DEMOCRATIC,Miller M,184,6,190
New Castle,01-01,U.S. House,,DEMOCRATIC,Northingto,21,3,24
New Castle,02-01,U.S. House,,DEMOCRATIC,Hartley-Na,145,3,148
New Castle,02-01,U.S. House,,DEMOCRATIC,Miller M,183,7,190
New Castle,02-01,U.S. House,,DEMOCRATIC,Northingto,20,0,20
New Castle,03-01,U.S. House,,DEMOCRATIC,Hartley-Na,109,2,111
New Castle,03-01,U.S. House,,DEMOCRATIC,Miller M,169,2,171
New Castle,03-01,U.S. House,,DEMOCRATIC,Northingto,21,0,21
New Castle,04-01,U.S. House,,DEMOCRATIC,Hartley-Na,185,6,191
New Castle,04-01,U.S. House,,DEMOCRATIC,Miller M,196,1,197
New Castle,04-01,U.S. House,,DEMOCRATIC,Northingto,18,0,18
New Castle,05-01,U.S. House,,DEMOCRATIC,Hartley-Na,176,8,184
New Castle,05-01,U.S. House,,DEMOCRATIC,Miller M,116,2,118
New Castle,05-01,U.S. House,,DEMOCRATIC,Northingto,67,4,71
New Castle,06-01,U.S. House,,DEMOCRATIC,Hartley-Na,107,5,112
New Castle,06-01,U.S. House,,DEMOCRATIC,Miller M,102,4,106
New Castle,06-01,U.S. House,,DEMOCRATIC,Northingto,17,0,17
New Castle,07-01,U.S. House,,DEMOCRATIC,Hartley-Na,43,0,43
New Castle,07-01,U.S. House,,DEMOCRATIC,Miller M,44,0,44
New Castle,07-01,U.S. House,,DEMOCRATIC,Northingto,4,1,5
New Castle,08-01,U.S. House,,DEMOCRATIC,Hartley-Na,16,1,17
New Castle,08-01,U.S. House,,DEMOCRATIC,Miller M,7,0,7
New Castle,08-01,U.S. House,,DEMOCRATIC,Northingto,4,0,4
New Castle,09-01,U.S. House,,DEMOCRATIC,Hartley-Na,209,5,214
New Castle,09-01,U.S. House,,DEMOCRATIC,Miller M,298,8,306
New Castle,09-01,U.S. House,,DEMOCRATIC,Northingto,36,2,38
New Castle,10-01,U.S. House,,DEMOCRATIC,Hartley-Na,75,2,77
New Castle,10-01,U.S. House,,DEMOCRATIC,Miller M,56,1,57
New Castle,10-01,U.S. House,,DEMOCRATIC,Northingto,6,0,6
New Castle,11-01,U.S. House,,DEMOCRATIC,Hartley-Na,98,1,99
New Castle,11-01,U.S. House,,DEMOCRATIC,Miller M,131,3,134
New Castle,11-01,U.S. House,,DEMOCRATIC,Northingto,37,3,40
New Castle,01-02,U.S. House,,DEMOCRATIC,Hartley-Na,35,1,36
New Castle,01-02,U.S. House,,DEMOCRATIC,Miller M,49,0,49
New Castle,01-02,U.S. House,,DEMOCRATIC,Northingto,5,0,5
New Castle,02-02,U.S. House,,DEMOCRATIC,Hartley-Na,138,4,142
New Castle,02-02,U.S. House,,DEMOCRATIC,Miller M,252,3,255
New Castle,02-02,U.S. House,,DEMOCRATIC,Northingto,16,1,17
New Castle,04-02,U.S. House,,DEMOCRATIC,Hartley-Na,1,0,1
New Castle,04-02,U.S. House,,DEMOCRATIC,Miller M,0,0,0
New Castle,04-02,U.S. House,,DEMOCRATIC,Northingto,2,0,2
New Castle,05-02,U.S. House,,DEMOCRATIC,Hartley-Na,80,1,81
New Castle,05-02,U.S. House,,DEMOCRATIC,Miller M,67,1,68
New Castle,05-02,U.S. House,,DEMOCRATIC,Northingto,13,2,15
New Castle,06-02,U.S. House,,DEMOCRATIC,Hartley-Na,75,2,77
New Castle,06-02,U.S. House,,DEMOCRATIC,Miller M,52,0,52
New Castle,06-02,U.S. House,,DEMOCRATIC,Northingto,31,0,31
New Castle,08-02,U.S. House,,DEMOCRATIC,Hartley-Na,94,5,99
New Castle,08-02,U.S. House,,DEMOCRATIC,Miller M,156,3,159
New Castle,08-02,U.S. House,,DEMOCRATIC,Northingto,14,0,14
New Castle,09-02,U.S. House,,DEMOCRATIC,Hartley-Na,60,2,62
New Castle,09-02,U.S. House,,DEMOCRATIC,Miller M,55,0,55
New Castle,09-02,U.S. House,,DEMOCRATIC,Northingto,5,1,6
New Castle,10-02,U.S. House,,DEMOCRATIC,Hartley-Na,152,6,158
New Castle,10-02,U.S. House,,DEMOCRATIC,Miller M,100,1,101
New Castle,10-02,U.S. House,,DEMOCRATIC,Northingto,19,2,21
New Castle,11-02,U.S. House,,DEMOCRATIC,Hartley-Na,132,3,135
New Castle,11-02,U.S. House,,DEMOCRATIC,Miller M,196,2,198
New Castle,11-02,U.S. House,,DEMOCRATIC,Northingto,21,0,21
New Castle,12-02,U.S. House,,DEMOCRATIC,Hartley-Na,52,2,54
New Castle,12-02,U.S. House,,DEMOCRATIC,Miller M,79,0,79
New Castle,12-02,U.S. House,,DEMOCRATIC,Northingto,12,0,12
New Castle,16-02,U.S. House,,DEMOCRATIC,Hartley-Na,73,0,73
New Castle,16-02,U.S. House,,DEMOCRATIC,Miller M,39,1,40
New Castle,16-02,U.S. House,,DEMOCRATIC,Northingto,5,0,5
New Castle,17-02,U.S. House,,DEMOCRATIC,Hartley-Na,0,19,19
New Castle,17-02,U.S. House,,DEMOCRATIC,Miller M,0,2,2
New Castle,17-02,U.S. House,,DEMOCRATIC,Northingto,0,9,9
New Castle,01-03,U.S. House,,DEMOCRATIC,Hartley-Na,162,4,166
New Castle,01-03,U.S. House,,DEMOCRATIC,Miller M,144,2,146
New Castle,01-03,U.S. House,,DEMOCRATIC,Northingto,23,0,23
New Castle,02-03,U.S. House,,DEMOCRATIC,Hartley-Na,192,6,198
New Castle,02-03,U.S. House,,DEMOCRATIC,Miller M,95,1,96
New Castle,02-03,U.S. House,,DEMOCRATIC,Northingto,32,2,34
New Castle,04-03,U.S. House,,DEMOCRATIC,Hartley-Na,53,2,55
New Castle,04-03,U.S. House,,DEMOCRATIC,Miller M,44,1,45
New Castle,04-03,U.S. House,,DEMOCRATIC,Northingto,6,0,6
New Castle,05-03,U.S. House,,DEMOCRATIC,Hartley-Na,82,5,87
New Castle,05-03,U.S. House,,DEMOCRATIC,Miller M,99,3,102
New Castle,05-03,U.S. House,,DEMOCRATIC,Northingto,21,1,22
New Castle,07-03,U.S. House,,DEMOCRATIC,Hartley-Na,54,1,55
New Castle,07-03,U.S. House,,DEMOCRATIC,Miller M,38,0,38
New Castle,07-03,U.S. House,,DEMOCRATIC,Northingto,10,1,11
New Castle,08-03,U.S. House,,DEMOCRATIC,Hartley-Na,154,4,158
New Castle,08-03,U.S. House,,DEMOCRATIC,Miller M,116,1,117
New Castle,08-03,U.S. House,,DEMOCRATIC,Northingto,26,1,27
New Castle,10-03,U.S. House,,DEMOCRATIC,Hartley-Na,119,6,125
New Castle,10-03,U.S. House,,DEMOCRATIC,Miller M,158,3,161
New Castle,10-03,U.S. House,,DEMOCRATIC,Northingto,18,0,18
New Castle,01-04,U.S. House,,DEMOCRATIC,Hartley-Na,185,9,194
New Castle,01-04,U.S. House,,DEMOCRATIC,Miller M,54,2,56
New Castle,01-04,U.S. House,,DEMOCRATIC,Northingto,46,3,49
New Castle,02-04,U.S. House,,DEMOCRATIC,Hartley-Na,58,6,64
New Castle,02-04,U.S. House,,DEMOCRATIC,Miller M,13,1,14
New Castle,02-04,U.S. House,,DEMOCRATIC,Northingto,13,0,13
New Castle,03-04,U.S. House,,DEMOCRATIC,Hartley-Na,228,13,241
New Castle,03-04,U.S. House,,DEMOCRATIC,Miller M,65,3,68
New Castle,03-04,U.S. House,,DEMOCRATIC,Northingto,56,4,60
New Castle,04-04,U.S. House,,DEMOCRATIC,Hartley-Na,120,9,129
New Castle,04-04,U.S. House,,DEMOCRATIC,Miller M,57,1,58
New Castle,04-04,U.S. House,,DEMOCRATIC,Northingto,24,0,24
New Castle,05-04,U.S. House,,DEMOCRATIC,Hartley-Na,99,4,103
New Castle,05-04,U.S. House,,DEMOCRATIC,Miller M,82,3,85
New Castle,05-04,U.S. House,,DEMOCRATIC,Northingto,19,2,21
New Castle,06-04,U.S. House,,DEMOCRATIC,Hartley-Na,138,17,155
New Castle,06-04,U.S. House,,DEMOCRATIC,Miller M,45,6,51
New Castle,06-04,U.S. House,,DEMOCRATIC,Northingto,36,5,41
New Castle,07-04,U.S. House,,DEMOCRATIC,Hartley-Na,109,1,110
New Castle,07-04,U.S. House,,DEMOCRATIC,Miller M,48,0,48
New Castle,07-04,U.S. House,,DEMOCRATIC,Northingto,27,1,28
New Castle,08-04,U.S. House,,DEMOCRATIC,Hartley-Na,98,1,99
New Castle,08-04,U.S. House,,DEMOCRATIC,Miller M,61,2,63
New Castle,08-04,U.S. House,,DEMOCRATIC,Northingto,26,2,28
New Castle,10-04,U.S. House,,DEMOCRATIC,Hartley-Na,123,2,125
New Castle,10-04,U.S. House,,DEMOCRATIC,Miller M,74,1,75
New Castle,10-04,U.S. House,,DEMOCRATIC,Northingto,17,0,17
New Castle,11-04,U.S. House,,DEMOCRATIC,Hartley-Na,93,5,98
New Castle,11-04,U.S. House,,DEMOCRATIC,Miller M,24,2,26
New Castle,11-04,U.S. House,,DEMOCRATIC,Northingto,14,0,14
New Castle,13-04,U.S. House,,DEMOCRATIC,Hartley-Na,78,3,81
New Castle,13-04,U.S. House,,DEMOCRATIC,Miller M,30,1,31
New Castle,13-04,U.S. House,,DEMOCRATIC,Northingto,15,0,15
New Castle,14-04,U.S. House,,DEMOCRATIC,Hartley-Na,23,3,26
New Castle,14-04,U.S. House,,DEMOCRATIC,Miller M,8,0,8
New Castle,14-04,U.S. House,,DEMOCRATIC,Northingto,3,2,5
New Castle,16-04,U.S. House,,DEMOCRATIC,Hartley-Na,5,1,6
New Castle,16-04,U.S. House,,DEMOCRATIC,Miller M,3,0,3
New Castle,16-04,U.S. House,,DEMOCRATIC,Northingto,0,0,0
New Castle,01-05,U.S. House,,DEMOCRATIC,Hartley-Na,146,1,147
New Castle,01-05,U.S. House,,DEMOCRATIC,Miller M,58,0,58
New Castle,01-05,U.S. House,,DEMOCRATIC,Northingto,37,0,37
New Castle,03-05,U.S. House,,DEMOCRATIC,Hartley-Na,156,4,160
New Castle,03-05,U.S. House,,DEMOCRATIC,Miller M,98,1,99
New Castle,03-05,U.S. House,,DEMOCRATIC,Northingto,15,2,17
New Castle,04-05,U.S. House,,DEMOCRATIC,Hartley-Na,165,5,170
New Castle,04-05,U.S. House,,DEMOCRATIC,Miller M,88,0,88
New Castle,04-05,U.S. House,,DEMOCRATIC,Northingto,11,0,11
New Castle,06-05,U.S. House,,DEMOCRATIC,Hartley-Na,90,0,90
New Castle,06-05,U.S. House,,DEMOCRATIC,Miller M,78,2,80
New Castle,06-05,U.S. House,,DEMOCRATIC,Northingto,8,0,8
New Castle,09-05,U.S. House,,DEMOCRATIC,Hartley-Na,145,1,146
New Castle,09-05,U.S. House,,DEMOCRATIC,Miller M,75,0,75
New Castle,09-05,U.S. House,,DEMOCRATIC,Northingto,36,0,36
New Castle,11-05,U.S. House,,DEMOCRATIC,Hartley-Na,53,3,56
New Castle,11-05,U.S. House,,DEMOCRATIC,Miller M,39,0,39
New Castle,11-05,U.S. House,,DEMOCRATIC,Northingto,4,0,4
New Castle,01-06,U.S. House,,DEMOCRATIC,Hartley-Na,137,4,141
New Castle,01-06,U.S. House,,DEMOCRATIC,Miller M,49,0,49
New Castle,01-06,U.S. House,,DEMOCRATIC,Northingto,24,2,26
New Castle,02-06,U.S. House,,DEMOCRATIC,Hartley-Na,206,2,208
New Castle,02-06,U.S. House,,DEMOCRATIC,Miller M,69,1,70
New Castle,02-06,U.S. House,,DEMOCRATIC,Northingto,36,3,39
New Castle,03-06,U.S. House,,DEMOCRATIC,Hartley-Na,244,8,252
New Castle,03-06,U.S. House,,DEMOCRATIC,Miller M,95,1,96
New Castle,03-06,U.S. House,,DEMOCRATIC,Northingto,44,1,45
New Castle,04-06,U.S. House,,DEMOCRATIC,Hartley-Na,139,4,143
New Castle,04-06,U.S. House,,DEMOCRATIC,Miller M,36,1,37
New Castle,04-06,U.S. House,,DEMOCRATIC,Northingto,24,2,26
New Castle,06-06,U.S. House,,DEMOCRATIC,Hartley-Na,119,3,122
New Castle,06-06,U.S. House,,DEMOCRATIC,Miller M,37,3,40
New Castle,06-06,U.S. House,,DEMOCRATIC,Northingto,36,1,37
New Castle,07-06,U.S. House,,DEMOCRATIC,Hartley-Na,143,5,148
New Castle,07-06,U.S. House,,DEMOCRATIC,Miller M,39,1,40
New Castle,07-06,U.S. House,,DEMOCRATIC,Northingto,25,1,26
New Castle,10-06,U.S. House,,DEMOCRATIC,Hartley-Na,124,3,127
New Castle,10-06,U.S. House,,DEMOCRATIC,Miller M,37,1,38
New Castle,10-06,U.S. House,,DEMOCRATIC,Northingto,14,0,14
New Castle,11-06,U.S. House,,DEMOCRATIC,Hartley-Na,60,0,60
