county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,01-01,President,,DEMOCRATIC,Obama B,886,87,973
New Castle,01-01,President,,REPUBLICAN,Mccain J,107,15,122
New Castle,01-01,President,,CONSTITUTN,Baldwinc,0,0,0
New Castle,01-01,President,,GREEN,Mckinney C,0,0,0
New Castle,01-01,President,,IND OF DEL,Nader R,2,2,4
New Castle,02-01,President,,DEMOCRATIC,Obama B,834,47,881
New Castle,02-01,President,,REPUBLICAN,Mccain J,30,1,31
New Castle,02-01,President,,CONSTITUTN,Baldwinc,0,0,0
New Castle,02-01,President,,GREEN,Mckinney C,0,0,0
New Castle,02-01,President,,IND OF DEL,Nader R,1,0,1
New Castle,03-01,President,,DEMOCRATIC,Obama B,784,35,819
New Castle,03-01,President,,REPUBLICAN,Mccain J,11,1,12
New Castle,03-01,President,,CONSTITUTN,Baldwinc,0,0,0
New Castle,03-01,President,,GREEN,Mckinney C,0,0,0
New Castle,03-01,President,,IND OF DEL,Nader R,3,0,3
New Castle,04-01,President,,DEMOCRATIC,Obama B,1149,51,1200
New Castle,04-01,President,,REPUBLICAN,Mccain J,25,3,28
New Castle,04-01,President,,CONSTITUTN,Baldwinc,1,0,1
New Castle,04-01,President,,GREEN,Mckinney C,0,0,0
New Castle,04-01,President,,IND OF DEL,Nader R,0,0,0
New Castle,05-01,President,,DEMOCRATIC,Obama B,799,49,848
New Castle,05-01,President,,REPUBLICAN,Mccain J,151,7,158
New Castle,05-01,President,,CONSTITUTN,Baldwinc,0,1,1
New Castle,05-01,President,,GREEN,Mckinney C,2,0,2
New Castle,05-01,President,,IND OF DEL,Nader R,5,0,5
New Castle,06-01,President,,DEMOCRATIC,Obama B,594,15,609
New Castle,06-01,President,,REPUBLICAN,Mccain J,24,5,29
New Castle,06-01,President,,CONSTITUTN,Baldwinc,0,0,0
New Castle,06-01,President,,GREEN,Mckinney C,1,0,1
New Castle,06-01,President,,IND OF DEL,Nader R,2,2,4
New Castle,07-01,President,,DEMOCRATIC,Obama B,264,8,272
New Castle,07-01,President,,REPUBLICAN,Mccain J,18,2,20
New Castle,07-01,President,,CONSTITUTN,Baldwinc,0,0,0
New Castle,07-01,President,,GREEN,Mckinney C,0,0,0
New Castle,07-01,President,,IND OF DEL,Nader R,0,0,0
New Castle,08-01,President,,DEMOCRATIC,Obama B,107,2,109
New Castle,08-01,President,,REPUBLICAN,Mccain J,39,1,40
New Castle,08-01,President,,CONSTITUTN,Baldwinc,0,0,0
New Castle,08-01,President,,GREEN,Mckinney C,0,0,0
New Castle,08-01,President,,IND OF DEL,Nader R,1,0,1
New Castle,09-01,President,,DEMOCRATIC,Obama B,1377,61,1438
New Castle,09-01,President,,REPUBLICAN,Mccain J,35,1,36
New Castle,09-01,President,,CONSTITUTN,Baldwinc,0,0,0
New Castle,09-01,President,,GREEN,Mckinney C,0,0,0
New Castle,09-01,President,,IND OF DEL,Nader R,0,0,0
New Castle,10-01,President,,DEMOCRATIC,Obama B,567,17,584
New Castle,10-01,President,,REPUBLICAN,Mccain J,81,2,83
New Castle,10-01,President,,CONSTITUTN,Baldwinc,0,0,0
New Castle,10-01,President,,GREEN,Mckinney C,0,0,0
New Castle,10-01,President,,IND OF DEL,Nader R,2,0,2
New Castle,11-01,President,,DEMOCRATIC,Obama B,697,33,730
New Castle,11-01,President,,REPUBLICAN,Mccain J,62,3,65
New Castle,11-01,President,,CONSTITUTN,Baldwinc,0,0,0
New Castle,11-01,President,,GREEN,Mckinney C,2,0,2
New Castle,11-01,President,,IND OF DEL,Nader R,2,0,2
New Castle,01-01,President,,LIBERTARIN,Barr B,1,1,2
New Castle,01-01,President,,SOC WORKER,Calero R,0,0,0
New Castle,02-01,President,,LIBERTARIN,Barr B,1,0,1
New Castle,02-01,President,,SOC WORKER,Calero R,0,0,0
New Castle,03-01,President,,LIBERTARIN,Barr B,0,0,0
New Castle,03-01,President,,SOC WORKER,Calero R,0,0,0
New Castle,04-01,President,,LIBERTARIN,Barr B,1,0,1
New Castle,04-01,President,,SOC WORKER,Calero R,0,0,0
