county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,01-01,President,,DEMOCRATIC,Biden J,8,0,8
New Castle,01-01,President,,DEMOCRATIC,Clinton H,99,7,106
New Castle,01-01,President,,DEMOCRATIC,Dodd C,0,0,0
New Castle,01-01,President,,DEMOCRATIC,Edwards J,1,1,2
New Castle,01-01,President,,DEMOCRATIC,Kucinich D,0,0,0
New Castle,04-01,President,,DEMOCRATIC,Biden J,13,0,13
New Castle,04-01,President,,DEMOCRATIC,Clinton H,77,1,78
New Castle,04-01,President,,DEMOCRATIC,Dodd C,0,0,0
New Castle,04-01,President,,DEMOCRATIC,Edwards J,0,0,0
New Castle,04-01,President,,DEMOCRATIC,Kucinich D,0,0,0
New Castle,05-01,President,,DEMOCRATIC,Biden J,16,0,16
New Castle,05-01,President,,DEMOCRATIC,Clinton H,121,4,125
New Castle,05-01,President,,DEMOCRATIC,Dodd C,1,0,1
New Castle,05-01,President,,DEMOCRATIC,Edwards J,3,0,3
New Castle,05-01,President,,DEMOCRATIC,Kucinich D,0,0,0
New Castle,06-01,President,,DEMOCRATIC,Biden J,10,0,10
New Castle,06-01,President,,DEMOCRATIC,Clinton H,53,0,53
New Castle,06-01,President,,DEMOCRATIC,Dodd C,0,0,0
New Castle,06-01,President,,DEMOCRATIC,Edwards J,1,0,1
New Castle,06-01,President,,DEMOCRATIC,Kucinich D,0,0,0
New Castle,07-01,President,,DEMOCRATIC,Biden J,8,0,8
New Castle,07-01,President,,DEMOCRATIC,Clinton H,28,0,28
New Castle,07-01,President,,DEMOCRATIC,Dodd C,0,0,0
New Castle,07-01,President,,DEMOCRATIC,Edwards J,0,0,0
New Castle,07-01,President,,DEMOCRATIC,Kucinich D,0,0,0
New Castle,08-01,President,,DEMOCRATIC,Biden J,1,0,1
New Castle,08-01,President,,DEMOCRATIC,Clinton H,14,0,14
New Castle,08-01,President,,DEMOCRATIC,Dodd C,0,0,0
New Castle,08-01,President,,DEMOCRATIC,Edwards J,0,0,0
New Castle,08-01,President,,DEMOCRATIC,Kucinich D,0,0,0
New Castle,09-01,President,,DEMOCRATIC,Biden J,18,0,18
