county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,01-01,President,,DEMOCRATIC,Clinton H,636,43,679
New Castle,01-01,President,,REPUBLICAN,Trump D,64,4,68
New Castle,01-01,President,,GREEN,Stein J,8,0,8
New Castle,01-01,President,,LIBERTARIN,Johnson G,11,1,12
New Castle,02-01,President,,DEMOCRATIC,Clinton H,1125,52,1177
New Castle,02-01,President,,REPUBLICAN,Trump D,45,0,45
New Castle,02-01,President,,GREEN,Stein J,16,0,16
New Castle,02-01,President,,LIBERTARIN,Johnson G,8,0,8
New Castle,03-01,President,,DEMOCRATIC,Clinton H,734,29,763
New Castle,03-01,President,,REPUBLICAN,Trump D,17,2,19
New Castle,03-01,President,,GREEN,Stein J,4,0,4
New Castle,03-01,President,,LIBERTARIN,Johnson G,1,0,1
New Castle,04-01,President,,DEMOCRATIC,Clinton H,978,33,1011
New Castle,04-01,President,,REPUBLICAN,Trump D,44,1,45
New Castle,04-01,President,,GREEN,Stein J,13,0,13
New Castle,04-01,President,,LIBERTARIN,Johnson G,12,0,12
New Castle,05-01,President,,DEMOCRATIC,Clinton H,938,49,987
New Castle,05-01,President,,REPUBLICAN,Trump D,163,6,169
New Castle,05-01,President,,GREEN,Stein J,25,1,26
New Castle,05-01,President,,LIBERTARIN,Johnson G,36,1,37
New Castle,06-01,President,,DEMOCRATIC,Clinton H,380,18,398
New Castle,06-01,President,,REPUBLICAN,Trump D,15,0,15
New Castle,06-01,President,,GREEN,Stein J,6,0,6
New Castle,06-01,President,,LIBERTARIN,Johnson G,6,0,6
New Castle,07-01,President,,DEMOCRATIC,Clinton H,396,20,416
New Castle,07-01,President,,REPUBLICAN,Trump D,29,2,31
New Castle,07-01,President,,GREEN,Stein J,1,0,1
New Castle,07-01,President,,LIBERTARIN,Johnson G,7,0,7
New Castle,08-01,President,,DEMOCRATIC,Clinton H,102,5,107
New Castle,08-01,President,,REPUBLICAN,Trump D,35,3,38
New Castle,08-01,President,,GREEN,Stein J,3,0,3
New Castle,08-01,President,,LIBERTARIN,Johnson G,7,0,7
New Castle,09-01,President,,DEMOCRATIC,Clinton H,707,36,743
New Castle,09-01,President,,REPUBLICAN,Trump D,81,2,83
New Castle,09-01,President,,GREEN,Stein J,6,0,6
New Castle,09-01,President,,LIBERTARIN,Johnson G,21,0,21
New Castle,10-01,President,,DEMOCRATIC,Clinton H,1016,36,1052
New Castle,10-01,President,,REPUBLICAN,Trump D,17,0,17
New Castle,10-01,President,,GREEN,Stein J,12,0,12
New Castle,10-01,President,,LIBERTARIN,Johnson G,4,0,4
New Castle,11-01,President,,DEMOCRATIC,Clinton H,502,27,529
New Castle,11-01,President,,REPUBLICAN,Trump D,65,1,66
New Castle,11-01,President,,GREEN,Stein J,8,0,8
New Castle,11-01,President,,LIBERTARIN,Johnson G,13,0,13
New Castle,12-01,President,,DEMOCRATIC,Clinton H,269,12,281
New Castle,12-01,President,,REPUBLICAN,Trump D,91,7,98
New Castle,12-01,President,,GREEN,Stein J,4,1,5
New Castle,12-01,President,,LIBERTARIN,Johnson G,11,0,11
New Castle,13-01,President,,DEMOCRATIC,Clinton H,571,18,589
New Castle,13-01,President,,REPUBLICAN,Trump D,103,4,107
New Castle,13-01,President,,GREEN,Stein J,12,0,12
New Castle,13-01,President,,LIBERTARIN,Johnson G,20,0,20
New Castle,14-01,President,,DEMOCRATIC,Clinton H,429,30,459
New Castle,14-01,President,,REPUBLICAN,Trump D,203,10,213
New Castle,14-01,President,,GREEN,Stein J,11,0,11
New Castle,14-01,President,,LIBERTARIN,Johnson G,28,2,30
New Castle,01-02,President,,DEMOCRATIC,Clinton H,1131,41,1172
New Castle,01-02,President,,REPUBLICAN,Trump D,19,3,22
New Castle,01-02,President,,GREEN,Stein J,8,0,8
New Castle,01-02,President,,LIBERTARIN,Johnson G,9,0,9
New Castle,02-02,President,,DEMOCRATIC,Clinton H,426,15,441
New Castle,02-02,President,,REPUBLICAN,Trump D,14,0,14
New Castle,02-02,President,,GREEN,Stein J,3,1,4
New Castle,02-02,President,,LIBERTARIN,Johnson G,1,0,1
New Castle,03-02,President,,DEMOCRATIC,Clinton H,146,10,156
New Castle,03-02,President,,REPUBLICAN,Trump D,23,0,23
New Castle,03-02,President,,GREEN,Stein J,8,0,8
New Castle,03-02,President,,LIBERTARIN,Johnson G,8,0,8
New Castle,04-02,President,,DEMOCRATIC,Clinton H,49,2,51
New Castle,04-02,President,,REPUBLICAN,Trump D,18,1,19
New Castle,04-02,President,,GREEN,Stein J,0,0,0
New Castle,04-02,President,,LIBERTARIN,Johnson G,1,0,1
New Castle,05-02,President,,DEMOCRATIC,Clinton H,575,12,587
New Castle,05-02,President,,REPUBLICAN,Trump D,66,4,70
New Castle,05-02,President,,GREEN,Stein J,6,0,6
New Castle,05-02,President,,LIBERTARIN,Johnson G,15,0,15
New Castle,06-02,President,,DEMOCRATIC,Clinton H,486,29,515
New Castle,06-02,President,,REPUBLICAN,Trump D,56,3,59
New Castle,06-02,President,,GREEN,Stein J,8,1,9
New Castle,06-02,President,,LIBERTARIN,Johnson G,19,0,19
New Castle,07-02,President,,DEMOCRATIC,Clinton H,420,9,429
New Castle,07-02,President,,REPUBLICAN,Trump D,66,1,67
New Castle,07-02,President,,GREEN,Stein J,6,0,6
New Castle,07-02,President,,LIBERTARIN,Johnson G,14,0,14
New Castle,08-02,President,,DEMOCRATIC,Clinton H,550,14,564
New Castle,08-02,President,,REPUBLICAN,Trump D,15,0,15
New Castle,08-02,President,,GREEN,Stein J,11,0,11
New Castle,08-02,President,,LIBERTARIN,Johnson G,4,0,4
New Castle,09-02,President,,DEMOCRATIC,Clinton H,356,7,363
New Castle,09-02,President,,REPUBLICAN,Trump D,217,4,221
New Castle,09-02,President,,GREEN,Stein J,10,1,11
New Castle,09-02,President,,LIBERTARIN,Johnson G,23,0,23
New Castle,10-02,President,,DEMOCRATIC,Clinton H,624,32,656
New Castle,10-02,President,,REPUBLICAN,Trump D,71,3,74
New Castle,10-02,President,,GREEN,Stein J,19,0,19
New Castle,10-02,President,,LIBERTARIN,Johnson G,21,2,23
New Castle,11-02,President,,DEMOCRATIC,Clinton H,959,21,980
New Castle,11-02,President,,REPUBLICAN,Trump D,19,0,19
New Castle,11-02,President,,GREEN,Stein J,7,0,7
New Castle,11-02,President,,LIBERTARIN,Johnson G,3,0,3
New Castle,12-02,President,,DEMOCRATIC,Clinton H,571,11,582
New Castle,12-02,President,,REPUBLICAN,Trump D,7,0,7
New Castle,12-02,President,,GREEN,Stein J,5,0,5
New Castle,12-02,President,,LIBERTARIN,Johnson G,3,0,3
New Castle,17-02,President,,DEMOCRATIC,Clinton H,0,369,369
New Castle,17-02,President,,REPUBLICAN,Trump D,0,48,48
New Castle,17-02,President,,GREEN,Stein J,0,9,9
New Castle,17-02,President,,LIBERTARIN,Johnson G,0,9,9
New Castle,01-03,President,,DEMOCRATIC,Clinton H,618,14,632
New Castle,01-03,President,,REPUBLICAN,Trump D,41,0,41
New Castle,01-03,President,,GREEN,Stein J,8,1,9
New Castle,01-03,President,,LIBERTARIN,Johnson G,6,0,6
New Castle,02-03,President,,DEMOCRATIC,Clinton H,796,41,837
New Castle,02-03,President,,REPUBLICAN,Trump D,251,5,256
New Castle,02-03,President,,GREEN,Stein J,19,0,19
New Castle,02-03,President,,LIBERTARIN,Johnson G,31,0,31
New Castle,03-03,President,,DEMOCRATIC,Clinton H,383,15,398
New Castle,03-03,President,,REPUBLICAN,Trump D,23,1,24
New Castle,03-03,President,,GREEN,Stein J,6,0,6
New Castle,03-03,President,,LIBERTARIN,Johnson G,7,0,7
New Castle,04-03,President,,DEMOCRATIC,Clinton H,800,19,819
New Castle,04-03,President,,REPUBLICAN,Trump D,37,0,37
New Castle,04-03,President,,GREEN,Stein J,6,0,6
New Castle,04-03,President,,LIBERTARIN,Johnson G,2,0,2
New Castle,05-03,President,,DEMOCRATIC,Clinton H,67,4,71
New Castle,05-03,President,,REPUBLICAN,Trump D,3,0,3
New Castle,05-03,President,,GREEN,Stein J,2,0,2
New Castle,05-03,President,,LIBERTARIN,Johnson G,1,0,1
New Castle,06-03,President,,DEMOCRATIC,Clinton H,586,6,592
New Castle,06-03,President,,REPUBLICAN,Trump D,27,0,27
New Castle,06-03,President,,GREEN,Stein J,7,0,7
New Castle,06-03,President,,LIBERTARIN,Johnson G,3,0,3
New Castle,07-03,President,,DEMOCRATIC,Clinton H,955,48,1003
New Castle,07-03,President,,REPUBLICAN,Trump D,92,6,98
New Castle,07-03,President,,GREEN,Stein J,14,1,15
New Castle,07-03,President,,LIBERTARIN,Johnson G,7,1,8
New Castle,08-03,President,,DEMOCRATIC,Clinton H,679,17,696
New Castle,08-03,President,,REPUBLICAN,Trump D,246,10,256
New Castle,08-03,President,,GREEN,Stein J,15,1,16
New Castle,08-03,President,,LIBERTARIN,Johnson G,21,1,22
New Castle,09-03,President,,DEMOCRATIC,Clinton H,882,28,910
New Castle,09-03,President,,REPUBLICAN,Trump D,80,3,83
New Castle,09-03,President,,GREEN,Stein J,9,0,9
New Castle,09-03,President,,LIBERTARIN,Johnson G,20,0,20
New Castle,10-03,President,,DEMOCRATIC,Clinton H,160,27,187
New Castle,10-03,President,,REPUBLICAN,Trump D,62,9,71
New Castle,10-03,President,,GREEN,Stein J,5,1,6
New Castle,10-03,President,,LIBERTARIN,Johnson G,6,1,7
New Castle,01-04,President,,DEMOCRATIC,Clinton H,823,119,942
New Castle,01-04,President,,REPUBLICAN,Trump D,339,31,370
New Castle,01-04,President,,GREEN,Stein J,19,0,19
New Castle,01-04,President,,LIBERTARIN,Johnson G,45,3,48
New Castle,02-04,President,,DEMOCRATIC,Clinton H,609,77,686
New Castle,02-04,President,,REPUBLICAN,Trump D,421,35,456
New Castle,02-04,President,,GREEN,Stein J,7,1,8
New Castle,02-04,President,,LIBERTARIN,Johnson G,50,3,53
New Castle,03-04,President,,DEMOCRATIC,Clinton H,765,57,822
New Castle,03-04,President,,REPUBLICAN,Trump D,361,19,380
New Castle,03-04,President,,GREEN,Stein J,10,1,11
New Castle,03-04,President,,LIBERTARIN,Johnson G,48,6,54
New Castle,04-04,President,,DEMOCRATIC,Clinton H,392,29,421
New Castle,04-04,President,,REPUBLICAN,Trump D,93,5,98
New Castle,04-04,President,,GREEN,Stein J,11,0,11
New Castle,04-04,President,,LIBERTARIN,Johnson G,14,0,14
