county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,01-01,President,,DEMOCRATIC,Clinton H,603,22,625
New Castle,01-01,President,,DEMOCRATIC,De La Fuen,3,0,3
New Castle,01-01,President,,DEMOCRATIC,Sanders B,286,2,288
New Castle,01-01,President,,REPUBLICAN,Bush J,1,0,1
New Castle,02-01,President,,DEMOCRATIC,Clinton H,437,16,453
New Castle,02-01,President,,DEMOCRATIC,De La Fuen,2,0,2
New Castle,02-01,President,,DEMOCRATIC,Sanders B,156,2,158
New Castle,02-01,President,,REPUBLICAN,Bush J,0,0,0
New Castle,04-01,President,,DEMOCRATIC,Clinton H,275,3,278
New Castle,04-01,President,,DEMOCRATIC,De La Fuen,1,0,1
New Castle,04-01,President,,DEMOCRATIC,Sanders B,137,3,140
New Castle,04-01,President,,REPUBLICAN,Bush J,1,0,1
New Castle,05-01,President,,DEMOCRATIC,Clinton H,335,6,341
New Castle,05-01,President,,DEMOCRATIC,De La Fuen,6,0,6
New Castle,05-01,President,,DEMOCRATIC,Sanders B,176,5,181
New Castle,05-01,President,,REPUBLICAN,Bush J,2,0,2
New Castle,06-01,President,,DEMOCRATIC,Clinton H,125,2,127
New Castle,06-01,President,,DEMOCRATIC,De La Fuen,1,0,1
New Castle,06-01,President,,DEMOCRATIC,Sanders B,70,4,74
New Castle,06-01,President,,REPUBLICAN,Bush J,0,0,0
New Castle,07-01,President,,DEMOCRATIC,Clinton H,101,2,103
New Castle,07-01,President,,DEMOCRATIC,De La Fuen,0,0,0
New Castle,07-01,President,,DEMOCRATIC,Sanders B,32,0,32
New Castle,07-01,President,,REPUBLICAN,Bush J,0,0,0
New Castle,08-01,President,,DEMOCRATIC,Clinton H,193,6,199
New Castle,08-01,President,,DEMOCRATIC,De La Fuen,0,0,0
New Castle,08-01,President,,DEMOCRATIC,Sanders B,105,2,107
New Castle,08-01,President,,REPUBLICAN,Bush J,1,0,1
New Castle,09-01,President,,DEMOCRATIC,Clinton H,273,6,279
New Castle,09-01,President,,DEMOCRATIC,De La Fuen,0,0,0
New Castle,09-01,President,,DEMOCRATIC,Sanders B,111,2,113
New Castle,09-01,President,,REPUBLICAN,Bush J,1,0,1
New Castle,10-01,President,,DEMOCRATIC,Clinton H,294,10,304
New Castle,10-01,President,,DEMOCRATIC,De La Fuen,1,0,1
New Castle,10-01,President,,DEMOCRATIC,Sanders B,85,1,86
New Castle,10-01,President,,REPUBLICAN,Bush J,0,0,0
New Castle,12-01,President,,DEMOCRATIC,Clinton H,66,3,69
New Castle,12-01,President,,DEMOCRATIC,De La Fuen,0,0,0
New Castle,12-01,President,,DEMOCRATIC,Sanders B,47,2,49
New Castle,12-01,President,,REPUBLICAN,Bush J,0,0,0
New Castle,14-01,President,,DEMOCRATIC,Clinton H,136,2,138
New Castle,14-01,President,,DEMOCRATIC,De La Fuen,2,0,2
New Castle,14-01,President,,DEMOCRATIC,Sanders B,79,1,80
New Castle,14-01,President,,REPUBLICAN,Bush J,3,0,3
New Castle,01-01,President,,REPUBLICAN,Carson B,0,1,1
New Castle,01-01,President,,REPUBLICAN,Cruz R,13,0,13
New Castle,01-01,President,,REPUBLICAN,Kasich J,14,1,15
New Castle,01-01,President,,REPUBLICAN,Rubio M,0,0,0
New Castle,01-01,President,,REPUBLICAN,Trump D,16,0,16
New Castle,02-01,President,,REPUBLICAN,Carson B,0,0,0
New Castle,02-01,President,,REPUBLICAN,Cruz R,4,0,4
New Castle,02-01,President,,REPUBLICAN,Kasich J,6,1,7
New Castle,02-01,President,,REPUBLICAN,Rubio M,0,0,0
New Castle,02-01,President,,REPUBLICAN,Trump D,6,0,6
New Castle,04-01,President,,REPUBLICAN,Carson B,1,0,1
New Castle,04-01,President,,REPUBLICAN,Cruz R,3,0,3
New Castle,04-01,President,,REPUBLICAN,Kasich J,5,0,5
New Castle,04-01,President,,REPUBLICAN,Rubio M,0,0,0
New Castle,04-01,President,,REPUBLICAN,Trump D,4,0,4
New Castle,05-01,President,,REPUBLICAN,Carson B,0,0,0
New Castle,05-01,President,,REPUBLICAN,Cruz R,17,4,21
New Castle,05-01,President,,REPUBLICAN,Kasich J,31,2,33
New Castle,05-01,President,,REPUBLICAN,Rubio M,0,0,0
New Castle,05-01,President,,REPUBLICAN,Trump D,27,0,27
