county,election_district,office,district,party,candidate,votes
New Castle,02-04,U.S. Senate,,REPUBLICAN,Clatworthy,169
New Castle,02-04,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,02-04,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,02-04,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,03-04,U.S. Senate,,DEMOCRATIC,Biden J R,667
New Castle,03-04,U.S. Senate,,REPUBLICAN,Clatworthy,353
New Castle,03-04,U.S. Senate,,IND OF DEL,Barros M,3
New Castle,03-04,U.S. Senate,,LIBERTARIN,Buranello,4
New Castle,03-04,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,04-04,U.S. Senate,,DEMOCRATIC,Biden J R,505
New Castle,04-04,U.S. Senate,,REPUBLICAN,Clatworthy,202
New Castle,04-04,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,04-04,U.S. Senate,,LIBERTARIN,Buranello,3
New Castle,04-04,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,05-04,U.S. Senate,,DEMOCRATIC,Biden J R,237
New Castle,05-04,U.S. Senate,,REPUBLICAN,Clatworthy,41
New Castle,05-04,U.S. Senate,,IND OF DEL,Barros M,3
New Castle,05-04,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,05-04,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,06-04,U.S. Senate,,DEMOCRATIC,Biden J R,520
New Castle,06-04,U.S. Senate,,REPUBLICAN,Clatworthy,203
New Castle,06-04,U.S. Senate,,IND OF DEL,Barros M,6
New Castle,06-04,U.S. Senate,,LIBERTARIN,Buranello,5
New Castle,06-04,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,07-04,U.S. Senate,,DEMOCRATIC,Biden J R,450
New Castle,07-04,U.S. Senate,,REPUBLICAN,Clatworthy,170
New Castle,07-04,U.S. Senate,,IND OF DEL,Barros M,3
New Castle,07-04,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,07-04,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,08-04,U.S. Senate,,DEMOCRATIC,Biden J R,14
New Castle,08-04,U.S. Senate,,REPUBLICAN,Clatworthy,4
New Castle,08-04,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,08-04,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,08-04,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,09-04,U.S. Senate,,DEMOCRATIC,Biden J R,337
New Castle,09-04,U.S. Senate,,REPUBLICAN,Clatworthy,100
New Castle,09-04,U.S. Senate,,IND OF DEL,Barros M,3
New Castle,09-04,U.S. Senate,,LIBERTARIN,Buranello,4
New Castle,09-04,U.S. Senate,,NATURAL LW,Mattson R,3
New Castle,10-04,U.S. Senate,,DEMOCRATIC,Biden J R,319
New Castle,10-04,U.S. Senate,,REPUBLICAN,Clatworthy,88
New Castle,10-04,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,10-04,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,10-04,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,11-04,U.S. Senate,,DEMOCRATIC,Biden J R,383
New Castle,11-04,U.S. Senate,,REPUBLICAN,Clatworthy,418
New Castle,11-04,U.S. Senate,,IND OF DEL,Barros M,3
New Castle,11-04,U.S. Senate,,LIBERTARIN,Buranello,4
New Castle,11-04,U.S. Senate,,NATURAL LW,Mattson R,4
New Castle,12-04,U.S. Senate,,DEMOCRATIC,Biden J R,69
New Castle,12-04,U.S. Senate,,REPUBLICAN,Clatworthy,27
New Castle,12-04,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,12-04,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,12-04,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,13-04,U.S. Senate,,DEMOCRATIC,Biden J R,189
New Castle,13-04,U.S. Senate,,REPUBLICAN,Clatworthy,81
New Castle,13-04,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,13-04,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,13-04,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,14-04,U.S. Senate,,DEMOCRATIC,Biden J R,99
New Castle,14-04,U.S. Senate,,REPUBLICAN,Clatworthy,82
New Castle,14-04,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,14-04,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,14-04,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,15-04,U.S. Senate,,DEMOCRATIC,Biden J R,19
New Castle,15-04,U.S. Senate,,REPUBLICAN,Clatworthy,1
New Castle,15-04,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,15-04,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,15-04,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,16-04,U.S. Senate,,DEMOCRATIC,Biden J R,54
New Castle,16-04,U.S. Senate,,REPUBLICAN,Clatworthy,121
New Castle,16-04,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,16-04,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,16-04,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,17-04,U.S. Senate,,DEMOCRATIC,Biden J R,72
New Castle,17-04,U.S. Senate,,REPUBLICAN,Clatworthy,27
New Castle,17-04,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,17-04,U.S. Senate,,LIBERTARIN,Buranello,2
New Castle,17-04,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,18-04,U.S. Senate,,DEMOCRATIC,Biden J R,41
New Castle,18-04,U.S. Senate,,REPUBLICAN,Clatworthy,4
New Castle,18-04,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,18-04,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,18-04,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,19-04,U.S. Senate,,DEMOCRATIC,Biden J R,17
New Castle,19-04,U.S. Senate,,REPUBLICAN,Clatworthy,2
New Castle,19-04,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,19-04,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,19-04,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,01-05,U.S. Senate,,DEMOCRATIC,Biden J R,276
New Castle,01-05,U.S. Senate,,REPUBLICAN,Clatworthy,105
New Castle,01-05,U.S. Senate,,IND OF DEL,Barros M,4
New Castle,01-05,U.S. Senate,,LIBERTARIN,Buranello,2
New Castle,01-05,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,02-05,U.S. Senate,,DEMOCRATIC,Biden J R,177
New Castle,02-05,U.S. Senate,,REPUBLICAN,Clatworthy,66
New Castle,02-05,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,02-05,U.S. Senate,,LIBERTARIN,Buranello,4
New Castle,02-05,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,03-05,U.S. Senate,,DEMOCRATIC,Biden J R,106
New Castle,03-05,U.S. Senate,,REPUBLICAN,Clatworthy,52
New Castle,03-05,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,03-05,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,03-05,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,04-05,U.S. Senate,,DEMOCRATIC,Biden J R,187
New Castle,04-05,U.S. Senate,,REPUBLICAN,Clatworthy,79
New Castle,04-05,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,04-05,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,04-05,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,05-05,U.S. Senate,,DEMOCRATIC,Biden J R,262
New Castle,05-05,U.S. Senate,,REPUBLICAN,Clatworthy,97
New Castle,05-05,U.S. Senate,,IND OF DEL,Barros M,4
New Castle,05-05,U.S. Senate,,LIBERTARIN,Buranello,5
New Castle,05-05,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,06-05,U.S. Senate,,DEMOCRATIC,Biden J R,291
New Castle,06-05,U.S. Senate,,REPUBLICAN,Clatworthy,54
New Castle,06-05,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,06-05,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,06-05,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,07-05,U.S. Senate,,DEMOCRATIC,Biden J R,165
New Castle,07-05,U.S. Senate,,REPUBLICAN,Clatworthy,96
New Castle,07-05,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,07-05,U.S. Senate,,LIBERTARIN,Buranello,2
New Castle,07-05,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,08-05,U.S. Senate,,DEMOCRATIC,Biden J R,167
New Castle,08-05,U.S. Senate,,REPUBLICAN,Clatworthy,66
New Castle,08-05,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,08-05,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,08-05,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,09-05,U.S. Senate,,DEMOCRATIC,Biden J R,258
New Castle,09-05,U.S. Senate,,REPUBLICAN,Clatworthy,93
New Castle,09-05,U.S. Senate,,IND OF DEL,Barros M,2
New Castle,09-05,U.S. Senate,,LIBERTARIN,Buranello,2
New Castle,09-05,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,10-05,U.S. Senate,,DEMOCRATIC,Biden J R,268
New Castle,10-05,U.S. Senate,,REPUBLICAN,Clatworthy,111
New Castle,10-05,U.S. Senate,,IND OF DEL,Barros M,3
New Castle,10-05,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,10-05,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,11-05,U.S. Senate,,DEMOCRATIC,Biden J R,226
New Castle,11-05,U.S. Senate,,REPUBLICAN,Clatworthy,106
New Castle,11-05,U.S. Senate,,IND OF DEL,Barros M,2
New Castle,11-05,U.S. Senate,,LIBERTARIN,Buranello,4
New Castle,11-05,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,01-06,U.S. Senate,,DEMOCRATIC,Biden J R,261
New Castle,01-06,U.S. Senate,,REPUBLICAN,Clatworthy,183
New Castle,01-06,U.S. Senate,,IND OF DEL,Barros M,2
New Castle,01-06,U.S. Senate,,LIBERTARIN,Buranello,3
New Castle,01-06,U.S. Senate,,NATURAL LW,Mattson R,4
New Castle,02-06,U.S. Senate,,DEMOCRATIC,Biden J R,576
New Castle,02-06,U.S. Senate,,REPUBLICAN,Clatworthy,312
New Castle,02-06,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,02-06,U.S. Senate,,LIBERTARIN,Buranello,5
New Castle,02-06,U.S. Senate,,NATURAL LW,Mattson R,3
New Castle,03-06,U.S. Senate,,DEMOCRATIC,Biden J R,310
New Castle,03-06,U.S. Senate,,REPUBLICAN,Clatworthy,125
New Castle,03-06,U.S. Senate,,IND OF DEL,Barros M,2
New Castle,03-06,U.S. Senate,,LIBERTARIN,Buranello,5
New Castle,03-06,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,04-06,U.S. Senate,,DEMOCRATIC,Biden J R,428
New Castle,04-06,U.S. Senate,,REPUBLICAN,Clatworthy,243
New Castle,04-06,U.S. Senate,,IND OF DEL,Barros M,5
New Castle,04-06,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,04-06,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,05-06,U.S. Senate,,DEMOCRATIC,Biden J R,268
New Castle,05-06,U.S. Senate,,REPUBLICAN,Clatworthy,130
New Castle,05-06,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,05-06,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,05-06,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,06-06,U.S. Senate,,DEMOCRATIC,Biden J R,448
New Castle,06-06,U.S. Senate,,REPUBLICAN,Clatworthy,358
New Castle,06-06,U.S. Senate,,IND OF DEL,Barros M,2
New Castle,06-06,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,06-06,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,07-06,U.S. Senate,,DEMOCRATIC,Biden J R,502
New Castle,07-06,U.S. Senate,,REPUBLICAN,Clatworthy,389
New Castle,07-06,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,07-06,U.S. Senate,,LIBERTARIN,Buranello,4
New Castle,07-06,U.S. Senate,,NATURAL LW,Mattson R,2
New Castle,08-06,U.S. Senate,,DEMOCRATIC,Biden J R,626
New Castle,08-06,U.S. Senate,,REPUBLICAN,Clatworthy,358
New Castle,08-06,U.S. Senate,,IND OF DEL,Barros M,12
New Castle,08-06,U.S. Senate,,LIBERTARIN,Buranello,4
New Castle,08-06,U.S. Senate,,NATURAL LW,Mattson R,7
New Castle,09-06,U.S. Senate,,DEMOCRATIC,Biden J R,98
New Castle,09-06,U.S. Senate,,REPUBLICAN,Clatworthy,77
New Castle,09-06,U.S. Senate,,IND OF DEL,Barros M,3
New Castle,09-06,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,09-06,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,10-06,U.S. Senate,,DEMOCRATIC,Biden J R,421
New Castle,10-06,U.S. Senate,,REPUBLICAN,Clatworthy,220
New Castle,10-06,U.S. Senate,,IND OF DEL,Barros M,3
New Castle,10-06,U.S. Senate,,LIBERTARIN,Buranello,5
New Castle,10-06,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,11-06,U.S. Senate,,DEMOCRATIC,Biden J R,216
New Castle,11-06,U.S. Senate,,REPUBLICAN,Clatworthy,117
New Castle,11-06,U.S. Senate,,IND OF DEL,Barros M,2
New Castle,11-06,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,11-06,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,12-06,U.S. Senate,,DEMOCRATIC,Biden J R,91
New Castle,12-06,U.S. Senate,,REPUBLICAN,Clatworthy,47
New Castle,12-06,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,12-06,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,12-06,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,01-07,U.S. Senate,,DEMOCRATIC,Biden J R,284
New Castle,01-07,U.S. Senate,,REPUBLICAN,Clatworthy,206
New Castle,01-07,U.S. Senate,,IND OF DEL,Barros M,1
