county,election_district,office,district,party,candidate,votes
New Castle,01-01,U.S. Senate,,DEMOCRATIC,Biden J R,571
New Castle,01-01,U.S. Senate,,REPUBLICAN,Clatworthy,89
New Castle,01-01,U.S. Senate,,IND OF DEL,Barros M,2
New Castle,01-01,U.S. Senate,,LIBERTARIN,Buranello,7
New Castle,01-01,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,02-01,U.S. Senate,,DEMOCRATIC,Biden J R,457
New Castle,02-01,U.S. Senate,,REPUBLICAN,Clatworthy,43
New Castle,02-01,U.S. Senate,,IND OF DEL,Barros M,2
New Castle,02-01,U.S. Senate,,LIBERTARIN,Buranello,2
New Castle,02-01,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,03-01,U.S. Senate,,DEMOCRATIC,Biden J R,375
New Castle,03-01,U.S. Senate,,REPUBLICAN,Clatworthy,23
New Castle,03-01,U.S. Senate,,IND OF DEL,Barros M,2
New Castle,03-01,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,03-01,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,04-01,U.S. Senate,,DEMOCRATIC,Biden J R,480
New Castle,04-01,U.S. Senate,,REPUBLICAN,Clatworthy,35
New Castle,04-01,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,04-01,U.S. Senate,,LIBERTARIN,Buranello,2
New Castle,04-01,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,05-01,U.S. Senate,,DEMOCRATIC,Biden J R,527
New Castle,05-01,U.S. Senate,,REPUBLICAN,Clatworthy,136
New Castle,05-01,U.S. Senate,,IND OF DEL,Barros M,7
New Castle,05-01,U.S. Senate,,LIBERTARIN,Buranello,5
New Castle,05-01,U.S. Senate,,NATURAL LW,Mattson R,3
New Castle,06-01,U.S. Senate,,DEMOCRATIC,Biden J R,305
New Castle,06-01,U.S. Senate,,REPUBLICAN,Clatworthy,34
New Castle,06-01,U.S. Senate,,IND OF DEL,Barros M,2
New Castle,06-01,U.S. Senate,,LIBERTARIN,Buranello,2
New Castle,06-01,U.S. Senate,,NATURAL LW,Mattson R,2
New Castle,07-01,U.S. Senate,,DEMOCRATIC,Biden J R,114
New Castle,07-01,U.S. Senate,,REPUBLICAN,Clatworthy,32
New Castle,07-01,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,07-01,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,07-01,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,08-01,U.S. Senate,,DEMOCRATIC,Biden J R,51
New Castle,08-01,U.S. Senate,,REPUBLICAN,Clatworthy,41
New Castle,08-01,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,08-01,U.S. Senate,,LIBERTARIN,Buranello,2
New Castle,08-01,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,09-01,U.S. Senate,,DEMOCRATIC,Biden J R,645
New Castle,09-01,U.S. Senate,,REPUBLICAN,Clatworthy,55
New Castle,09-01,U.S. Senate,,IND OF DEL,Barros M,2
New Castle,09-01,U.S. Senate,,LIBERTARIN,Buranello,2
New Castle,09-01,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,10-01,U.S. Senate,,DEMOCRATIC,Biden J R,195
New Castle,10-01,U.S. Senate,,REPUBLICAN,Clatworthy,53
New Castle,10-01,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,10-01,U.S. Senate,,LIBERTARIN,Buranello,2
New Castle,10-01,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,11-01,U.S. Senate,,DEMOCRATIC,Biden J R,365
New Castle,11-01,U.S. Senate,,REPUBLICAN,Clatworthy,64
New Castle,11-01,U.S. Senate,,IND OF DEL,Barros M,2
New Castle,11-01,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,11-01,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,01-02,U.S. Senate,,DEMOCRATIC,Biden J R,4
New Castle,01-02,U.S. Senate,,REPUBLICAN,Clatworthy,1
New Castle,01-02,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,01-02,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,01-02,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,02-02,U.S. Senate,,DEMOCRATIC,Biden J R,514
New Castle,02-02,U.S. Senate,,REPUBLICAN,Clatworthy,20
New Castle,02-02,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,02-02,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,02-02,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,03-02,U.S. Senate,,DEMOCRATIC,Biden J R,88
New Castle,03-02,U.S. Senate,,REPUBLICAN,Clatworthy,11
New Castle,03-02,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,03-02,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,03-02,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,04-02,U.S. Senate,,DEMOCRATIC,Biden J R,7
New Castle,04-02,U.S. Senate,,REPUBLICAN,Clatworthy,6
New Castle,04-02,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,04-02,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,04-02,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,05-02,U.S. Senate,,DEMOCRATIC,Biden J R,384
New Castle,05-02,U.S. Senate,,REPUBLICAN,Clatworthy,83
New Castle,05-02,U.S. Senate,,IND OF DEL,Barros M,2
New Castle,05-02,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,05-02,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,06-02,U.S. Senate,,DEMOCRATIC,Biden J R,208
New Castle,06-02,U.S. Senate,,REPUBLICAN,Clatworthy,47
New Castle,06-02,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,06-02,U.S. Senate,,LIBERTARIN,Buranello,2
New Castle,06-02,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,07-02,U.S. Senate,,DEMOCRATIC,Biden J R,16
New Castle,07-02,U.S. Senate,,REPUBLICAN,Clatworthy,3
New Castle,07-02,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,07-02,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,07-02,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,08-02,U.S. Senate,,DEMOCRATIC,Biden J R,96
New Castle,08-02,U.S. Senate,,REPUBLICAN,Clatworthy,4
New Castle,08-02,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,08-02,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,08-02,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,09-02,U.S. Senate,,DEMOCRATIC,Biden J R,144
New Castle,09-02,U.S. Senate,,REPUBLICAN,Clatworthy,14
New Castle,09-02,U.S. Senate,,IND OF DEL,Barros M,3
New Castle,09-02,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,09-02,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,10-02,U.S. Senate,,DEMOCRATIC,Biden J R,523
New Castle,10-02,U.S. Senate,,REPUBLICAN,Clatworthy,162
New Castle,10-02,U.S. Senate,,IND OF DEL,Barros M,6
New Castle,10-02,U.S. Senate,,LIBERTARIN,Buranello,3
New Castle,10-02,U.S. Senate,,NATURAL LW,Mattson R,2
New Castle,11-02,U.S. Senate,,DEMOCRATIC,Biden J R,405
New Castle,11-02,U.S. Senate,,REPUBLICAN,Clatworthy,23
New Castle,11-02,U.S. Senate,,IND OF DEL,Barros M,3
New Castle,11-02,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,11-02,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,12-02,U.S. Senate,,DEMOCRATIC,Biden J R,193
New Castle,12-02,U.S. Senate,,REPUBLICAN,Clatworthy,8
New Castle,12-02,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,12-02,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,12-02,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,13-02,U.S. Senate,,DEMOCRATIC,Biden J R,214
New Castle,13-02,U.S. Senate,,REPUBLICAN,Clatworthy,7
New Castle,13-02,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,13-02,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,13-02,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,14-02,U.S. Senate,,DEMOCRATIC,Biden J R,14
New Castle,14-02,U.S. Senate,,REPUBLICAN,Clatworthy,1
New Castle,14-02,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,14-02,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,14-02,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,16-02,U.S. Senate,,DEMOCRATIC,Biden J R,12
New Castle,16-02,U.S. Senate,,REPUBLICAN,Clatworthy,5
New Castle,16-02,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,16-02,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,16-02,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,01-03,U.S. Senate,,DEMOCRATIC,Biden J R,274
New Castle,01-03,U.S. Senate,,REPUBLICAN,Clatworthy,30
New Castle,01-03,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,01-03,U.S. Senate,,LIBERTARIN,Buranello,2
New Castle,01-03,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,02-03,U.S. Senate,,DEMOCRATIC,Biden J R,482
New Castle,02-03,U.S. Senate,,REPUBLICAN,Clatworthy,125
New Castle,02-03,U.S. Senate,,IND OF DEL,Barros M,3
New Castle,02-03,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,02-03,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,03-03,U.S. Senate,,DEMOCRATIC,Biden J R,92
New Castle,03-03,U.S. Senate,,REPUBLICAN,Clatworthy,19
New Castle,03-03,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,03-03,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,03-03,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,04-03,U.S. Senate,,DEMOCRATIC,Biden J R,125
New Castle,04-03,U.S. Senate,,REPUBLICAN,Clatworthy,9
New Castle,04-03,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,04-03,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,04-03,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,05-03,U.S. Senate,,DEMOCRATIC,Biden J R,304
New Castle,05-03,U.S. Senate,,REPUBLICAN,Clatworthy,22
New Castle,05-03,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,05-03,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,05-03,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,06-03,U.S. Senate,,DEMOCRATIC,Biden J R,188
New Castle,06-03,U.S. Senate,,REPUBLICAN,Clatworthy,23
New Castle,06-03,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,06-03,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,06-03,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,07-03,U.S. Senate,,DEMOCRATIC,Biden J R,215
New Castle,07-03,U.S. Senate,,REPUBLICAN,Clatworthy,33
New Castle,07-03,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,07-03,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,07-03,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,08-03,U.S. Senate,,DEMOCRATIC,Biden J R,276
New Castle,08-03,U.S. Senate,,REPUBLICAN,Clatworthy,42
New Castle,08-03,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,08-03,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,08-03,U.S. Senate,,NATURAL LW,Mattson R,1
New Castle,09-03,U.S. Senate,,DEMOCRATIC,Biden J R,283
New Castle,09-03,U.S. Senate,,REPUBLICAN,Clatworthy,37
New Castle,09-03,U.S. Senate,,IND OF DEL,Barros M,2
New Castle,09-03,U.S. Senate,,LIBERTARIN,Buranello,1
New Castle,09-03,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,10-03,U.S. Senate,,DEMOCRATIC,Biden J R,235
New Castle,10-03,U.S. Senate,,REPUBLICAN,Clatworthy,16
New Castle,10-03,U.S. Senate,,IND OF DEL,Barros M,2
New Castle,10-03,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,10-03,U.S. Senate,,NATURAL LW,Mattson R,2
New Castle,11-03,U.S. Senate,,DEMOCRATIC,Biden J R,120
New Castle,11-03,U.S. Senate,,REPUBLICAN,Clatworthy,4
New Castle,11-03,U.S. Senate,,IND OF DEL,Barros M,1
New Castle,11-03,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,11-03,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,12-03,U.S. Senate,,DEMOCRATIC,Biden J R,18
New Castle,12-03,U.S. Senate,,REPUBLICAN,Clatworthy,2
New Castle,12-03,U.S. Senate,,IND OF DEL,Barros M,0
New Castle,12-03,U.S. Senate,,LIBERTARIN,Buranello,0
New Castle,12-03,U.S. Senate,,NATURAL LW,Mattson R,0
New Castle,01-04,U.S. Senate,,DEMOCRATIC,Biden J R,481
New Castle,01-04,U.S. Senate,,REPUBLICAN,Clatworthy,296
New Castle,01-04,U.S. Senate,,IND OF DEL,Barros M,4
New Castle,01-04,U.S. Senate,,LIBERTARIN,Buranello,7
New Castle,01-04,U.S. Senate,,NATURAL LW,Mattson R,5
New Castle,02-04,U.S. Senate,,DEMOCRATIC,Biden J R,233
