county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,01-01,U.S. Senate,,DEMOCRATIC,Carper T R,640,21,661
New Castle,01-01,U.S. Senate,,REPUBLICAN,Ting J,61,4,65
New Castle,01-01,U.S. Senate,,LIBERTARIN,Morris W,7,1,8
New Castle,02-01,U.S. Senate,,DEMOCRATIC,Carper T R,501,6,507
New Castle,02-01,U.S. Senate,,REPUBLICAN,Ting J,34,1,35
New Castle,02-01,U.S. Senate,,LIBERTARIN,Morris W,3,0,3
New Castle,03-01,U.S. Senate,,DEMOCRATIC,Carper T R,380,11,391
New Castle,03-01,U.S. Senate,,REPUBLICAN,Ting J,19,0,19
New Castle,03-01,U.S. Senate,,LIBERTARIN,Morris W,4,0,4
New Castle,04-01,U.S. Senate,,DEMOCRATIC,Carper T R,516,7,523
New Castle,04-01,U.S. Senate,,REPUBLICAN,Ting J,30,0,30
New Castle,04-01,U.S. Senate,,LIBERTARIN,Morris W,1,0,1
New Castle,05-01,U.S. Senate,,DEMOCRATIC,Carper T R,574,22,596
New Castle,05-01,U.S. Senate,,REPUBLICAN,Ting J,94,4,98
New Castle,05-01,U.S. Senate,,LIBERTARIN,Morris W,14,0,14
New Castle,06-01,U.S. Senate,,DEMOCRATIC,Carper T R,320,3,323
New Castle,06-01,U.S. Senate,,REPUBLICAN,Ting J,31,0,31
New Castle,06-01,U.S. Senate,,LIBERTARIN,Morris W,4,0,4
New Castle,07-01,U.S. Senate,,DEMOCRATIC,Carper T R,118,8,126
New Castle,07-01,U.S. Senate,,REPUBLICAN,Ting J,22,1,23
New Castle,07-01,U.S. Senate,,LIBERTARIN,Morris W,2,0,2
New Castle,08-01,U.S. Senate,,DEMOCRATIC,Carper T R,67,0,67
New Castle,08-01,U.S. Senate,,REPUBLICAN,Ting J,26,0,26
New Castle,08-01,U.S. Senate,,LIBERTARIN,Morris W,5,0,5
New Castle,09-01,U.S. Senate,,DEMOCRATIC,Carper T R,703,17,720
New Castle,09-01,U.S. Senate,,REPUBLICAN,Ting J,36,2,38
New Castle,09-01,U.S. Senate,,LIBERTARIN,Morris W,4,0,4
New Castle,10-01,U.S. Senate,,DEMOCRATIC,Carper T R,302,7,309
New Castle,10-01,U.S. Senate,,REPUBLICAN,Ting J,38,1,39
New Castle,10-01,U.S. Senate,,LIBERTARIN,Morris W,2,0,2
New Castle,11-01,U.S. Senate,,DEMOCRATIC,Carper T R,398,10,408
New Castle,11-01,U.S. Senate,,REPUBLICAN,Ting J,45,4,49
New Castle,11-01,U.S. Senate,,LIBERTARIN,Morris W,6,0,6
New Castle,01-02,U.S. Senate,,DEMOCRATIC,Carper T R,9,1,10
New Castle,01-02,U.S. Senate,,REPUBLICAN,Ting J,2,0,2
New Castle,01-02,U.S. Senate,,LIBERTARIN,Morris W,1,0,1
New Castle,02-02,U.S. Senate,,DEMOCRATIC,Carper T R,504,10,514
New Castle,02-02,U.S. Senate,,REPUBLICAN,Ting J,12,0,12
New Castle,02-02,U.S. Senate,,LIBERTARIN,Morris W,1,0,1
New Castle,03-02,U.S. Senate,,DEMOCRATIC,Carper T R,101,0,101
New Castle,03-02,U.S. Senate,,REPUBLICAN,Ting J,5,1,6
New Castle,03-02,U.S. Senate,,LIBERTARIN,Morris W,0,0,0
New Castle,04-02,U.S. Senate,,DEMOCRATIC,Carper T R,11,1,12
New Castle,04-02,U.S. Senate,,REPUBLICAN,Ting J,6,0,6
New Castle,04-02,U.S. Senate,,LIBERTARIN,Morris W,0,0,0
New Castle,05-02,U.S. Senate,,DEMOCRATIC,Carper T R,280,6,286
New Castle,05-02,U.S. Senate,,REPUBLICAN,Ting J,39,0,39
New Castle,05-02,U.S. Senate,,LIBERTARIN,Morris W,2,0,2
New Castle,06-02,U.S. Senate,,DEMOCRATIC,Carper T R,252,3,255
New Castle,06-02,U.S. Senate,,REPUBLICAN,Ting J,48,0,48
New Castle,06-02,U.S. Senate,,LIBERTARIN,Morris W,6,0,6
New Castle,07-02,U.S. Senate,,DEMOCRATIC,Carper T R,37,0,37
New Castle,07-02,U.S. Senate,,REPUBLICAN,Ting J,10,0,10
New Castle,07-02,U.S. Senate,,LIBERTARIN,Morris W,6,0,6
New Castle,08-02,U.S. Senate,,DEMOCRATIC,Carper T R,105,2,107
New Castle,08-02,U.S. Senate,,REPUBLICAN,Ting J,2,0,2
New Castle,08-02,U.S. Senate,,LIBERTARIN,Morris W,1,0,1
New Castle,09-02,U.S. Senate,,DEMOCRATIC,Carper T R,195,8,203
New Castle,09-02,U.S. Senate,,REPUBLICAN,Ting J,17,1,18
New Castle,09-02,U.S. Senate,,LIBERTARIN,Morris W,2,0,2
New Castle,10-02,U.S. Senate,,DEMOCRATIC,Carper T R,440,8,448
New Castle,10-02,U.S. Senate,,REPUBLICAN,Ting J,116,0,116
New Castle,10-02,U.S. Senate,,LIBERTARIN,Morris W,10,0,10
New Castle,11-02,U.S. Senate,,DEMOCRATIC,Carper T R,485,9,494
New Castle,11-02,U.S. Senate,,REPUBLICAN,Ting J,11,0,11
New Castle,11-02,U.S. Senate,,LIBERTARIN,Morris W,0,0,0
New Castle,12-02,U.S. Senate,,DEMOCRATIC,Carper T R,210,1,211
New Castle,12-02,U.S. Senate,,REPUBLICAN,Ting J,2,1,3
New Castle,12-02,U.S. Senate,,LIBERTARIN,Morris W,4,0,4
New Castle,13-02,U.S. Senate,,DEMOCRATIC,Carper T R,237,2,239
New Castle,13-02,U.S. Senate,,REPUBLICAN,Ting J,7,1,8
New Castle,13-02,U.S. Senate,,LIBERTARIN,Morris W,1,0,1
New Castle,14-02,U.S. Senate,,DEMOCRATIC,Carper T R,29,0,29
New Castle,14-02,U.S. Senate,,REPUBLICAN,Ting J,0,0,0
New Castle,14-02,U.S. Senate,,LIBERTARIN,Morris W,0,0,0
New Castle,16-02,U.S. Senate,,DEMOCRATIC,Carper T R,182,4,186
New Castle,16-02,U.S. Senate,,REPUBLICAN,Ting J,26,0,26
New Castle,16-02,U.S. Senate,,LIBERTARIN,Morris W,2,0,2
New Castle,17-02,U.S. Senate,,DEMOCRATIC,Carper T R,0,99,99
New Castle,17-02,U.S. Senate,,REPUBLICAN,Ting J,0,16,16
New Castle,17-02,U.S. Senate,,LIBERTARIN,Morris W,0,0,0
New Castle,01-03,U.S. Senate,,DEMOCRATIC,Carper T R,319,3,322
New Castle,01-03,U.S. Senate,,REPUBLICAN,Ting J,21,1,22
New Castle,01-03,U.S. Senate,,LIBERTARIN,Morris W,4,0,4
New Castle,02-03,U.S. Senate,,DEMOCRATIC,Carper T R,488,11,499
New Castle,02-03,U.S. Senate,,REPUBLICAN,Ting J,83,1,84
New Castle,02-03,U.S. Senate,,LIBERTARIN,Morris W,5,0,5
New Castle,03-03,U.S. Senate,,DEMOCRATIC,Carper T R,89,5,94
New Castle,03-03,U.S. Senate,,REPUBLICAN,Ting J,17,1,18
New Castle,03-03,U.S. Senate,,LIBERTARIN,Morris W,0,0,0
New Castle,04-03,U.S. Senate,,DEMOCRATIC,Carper T R,139,3,142
New Castle,04-03,U.S. Senate,,REPUBLICAN,Ting J,9,0,9
New Castle,04-03,U.S. Senate,,LIBERTARIN,Morris W,2,0,2
New Castle,05-03,U.S. Senate,,DEMOCRATIC,Carper T R,266,9,275
New Castle,05-03,U.S. Senate,,REPUBLICAN,Ting J,21,1,22
New Castle,05-03,U.S. Senate,,LIBERTARIN,Morris W,5,0,5
New Castle,06-03,U.S. Senate,,DEMOCRATIC,Carper T R,176,0,176
New Castle,06-03,U.S. Senate,,REPUBLICAN,Ting J,8,0,8
New Castle,06-03,U.S. Senate,,LIBERTARIN,Morris W,0,0,0
New Castle,07-03,U.S. Senate,,DEMOCRATIC,Carper T R,197,2,199
New Castle,07-03,U.S. Senate,,REPUBLICAN,Ting J,26,0,26
New Castle,07-03,U.S. Senate,,LIBERTARIN,Morris W,0,0,0
New Castle,08-03,U.S. Senate,,DEMOCRATIC,Carper T R,270,3,273
New Castle,08-03,U.S. Senate,,REPUBLICAN,Ting J,21,0,21
New Castle,08-03,U.S. Senate,,LIBERTARIN,Morris W,2,0,2
New Castle,09-03,U.S. Senate,,DEMOCRATIC,Carper T R,290,4,294
New Castle,09-03,U.S. Senate,,REPUBLICAN,Ting J,29,0,29
New Castle,09-03,U.S. Senate,,LIBERTARIN,Morris W,2,0,2
New Castle,10-03,U.S. Senate,,DEMOCRATIC,Carper T R,304,8,312
New Castle,10-03,U.S. Senate,,REPUBLICAN,Ting J,14,0,14
New Castle,10-03,U.S. Senate,,LIBERTARIN,Morris W,3,0,3
New Castle,11-03,U.S. Senate,,DEMOCRATIC,Carper T R,153,2,155
New Castle,11-03,U.S. Senate,,REPUBLICAN,Ting J,6,0,6
New Castle,11-03,U.S. Senate,,LIBERTARIN,Morris W,5,0,5
New Castle,12-03,U.S. Senate,,DEMOCRATIC,Carper T R,21,1,22
New Castle,12-03,U.S. Senate,,REPUBLICAN,Ting J,2,0,2
New Castle,12-03,U.S. Senate,,LIBERTARIN,Morris W,1,0,1
New Castle,01-04,U.S. Senate,,DEMOCRATIC,Carper T R,537,43,580
New Castle,01-04,U.S. Senate,,REPUBLICAN,Ting J,233,22,255
New Castle,01-04,U.S. Senate,,LIBERTARIN,Morris W,8,0,8
New Castle,02-04,U.S. Senate,,DEMOCRATIC,Carper T R,204,19,223
New Castle,02-04,U.S. Senate,,REPUBLICAN,Ting J,154,16,170
New Castle,02-04,U.S. Senate,,LIBERTARIN,Morris W,2,0,2
New Castle,03-04,U.S. Senate,,DEMOCRATIC,Carper T R,684,25,709
New Castle,03-04,U.S. Senate,,REPUBLICAN,Ting J,285,29,314
New Castle,03-04,U.S. Senate,,LIBERTARIN,Morris W,8,0,8
New Castle,04-04,U.S. Senate,,DEMOCRATIC,Carper T R,497,28,525
New Castle,04-04,U.S. Senate,,REPUBLICAN,Ting J,145,22,167
New Castle,04-04,U.S. Senate,,LIBERTARIN,Morris W,7,0,7
New Castle,05-04,U.S. Senate,,DEMOCRATIC,Carper T R,253,3,256
New Castle,05-04,U.S. Senate,,REPUBLICAN,Ting J,33,1,34
New Castle,05-04,U.S. Senate,,LIBERTARIN,Morris W,3,0,3
New Castle,06-04,U.S. Senate,,DEMOCRATIC,Carper T R,535,40,575
New Castle,06-04,U.S. Senate,,REPUBLICAN,Ting J,139,8,147
New Castle,06-04,U.S. Senate,,LIBERTARIN,Morris W,9,0,9
New Castle,07-04,U.S. Senate,,DEMOCRATIC,Carper T R,485,17,502
New Castle,07-04,U.S. Senate,,REPUBLICAN,Ting J,139,7,146
New Castle,07-04,U.S. Senate,,LIBERTARIN,Morris W,13,0,13
New Castle,08-04,U.S. Senate,,DEMOCRATIC,Carper T R,14,0,14
New Castle,08-04,U.S. Senate,,REPUBLICAN,Ting J,4,0,4
New Castle,08-04,U.S. Senate,,LIBERTARIN,Morris W,0,0,0
New Castle,09-04,U.S. Senate,,DEMOCRATIC,Carper T R,341,12,353
New Castle,09-04,U.S. Senate,,REPUBLICAN,Ting J,86,0,86
New Castle,09-04,U.S. Senate,,LIBERTARIN,Morris W,7,0,7
New Castle,10-04,U.S. Senate,,DEMOCRATIC,Carper T R,342,10,352
New Castle,10-04,U.S. Senate,,REPUBLICAN,Ting J,77,3,80
New Castle,10-04,U.S. Senate,,LIBERTARIN,Morris W,5,0,5
New Castle,11-04,U.S. Senate,,DEMOCRATIC,Carper T R,417,25,442
New Castle,11-04,U.S. Senate,,REPUBLICAN,Ting J,333,26,359
New Castle,11-04,U.S. Senate,,LIBERTARIN,Morris W,12,0,12
New Castle,12-04,U.S. Senate,,DEMOCRATIC,Carper T R,74,4,78
New Castle,12-04,U.S. Senate,,REPUBLICAN,Ting J,28,4,32
New Castle,12-04,U.S. Senate,,LIBERTARIN,Morris W,2,0,2
New Castle,13-04,U.S. Senate,,DEMOCRATIC,Carper T R,236,10,246
New Castle,13-04,U.S. Senate,,REPUBLICAN,Ting J,73,4,77
New Castle,13-04,U.S. Senate,,LIBERTARIN,Morris W,6,0,6
New Castle,14-04,U.S. Senate,,DEMOCRATIC,Carper T R,99,7,106
New Castle,14-04,U.S. Senate,,REPUBLICAN,Ting J,66,3,69
New Castle,14-04,U.S. Senate,,LIBERTARIN,Morris W,2,0,2
New Castle,15-04,U.S. Senate,,DEMOCRATIC,Carper T R,16,1,17
New Castle,15-04,U.S. Senate,,REPUBLICAN,Ting J,2,0,2
New Castle,15-04,U.S. Senate,,LIBERTARIN,Morris W,3,0,3
New Castle,16-04,U.S. Senate,,DEMOCRATIC,Carper T R,57,5,62
New Castle,16-04,U.S. Senate,,REPUBLICAN,Ting J,93,17,110
New Castle,16-04,U.S. Senate,,LIBERTARIN,Morris W,2,0,2
New Castle,17-04,U.S. Senate,,DEMOCRATIC,Carper T R,84,3,87
New Castle,17-04,U.S. Senate,,REPUBLICAN,Ting J,21,0,21
New Castle,17-04,U.S. Senate,,LIBERTARIN,Morris W,2,0,2
New Castle,18-04,U.S. Senate,,DEMOCRATIC,Carper T R,31,0,31
New Castle,18-04,U.S. Senate,,REPUBLICAN,Ting J,7,1,8
New Castle,18-04,U.S. Senate,,LIBERTARIN,Morris W,1,0,1
New Castle,19-04,U.S. Senate,,DEMOCRATIC,Carper T R,12,0,12
New Castle,19-04,U.S. Senate,,REPUBLICAN,Ting J,0,0,0
New Castle,19-04,U.S. Senate,,LIBERTARIN,Morris W,0,0,0
New Castle,01-05,U.S. Senate,,DEMOCRATIC,Carper T R,415,11,426
New Castle,01-05,U.S. Senate,,REPUBLICAN,Ting J,108,3,111
New Castle,01-05,U.S. Senate,,LIBERTARIN,Morris W,3,0,3
New Castle,02-05,U.S. Senate,,DEMOCRATIC,Carper T R,259,0,259
New Castle,02-05,U.S. Senate,,REPUBLICAN,Ting J,51,0,51
New Castle,02-05,U.S. Senate,,LIBERTARIN,Morris W,3,0,3
New Castle,03-05,U.S. Senate,,DEMOCRATIC,Carper T R,149,1,150
New Castle,03-05,U.S. Senate,,REPUBLICAN,Ting J,29,1,30
New Castle,03-05,U.S. Senate,,LIBERTARIN,Morris W,1,0,1
New Castle,04-05,U.S. Senate,,DEMOCRATIC,Carper T R,232,1,233
New Castle,04-05,U.S. Senate,,REPUBLICAN,Ting J,42,0,42
New Castle,04-05,U.S. Senate,,LIBERTARIN,Morris W,3,0,3
New Castle,05-05,U.S. Senate,,DEMOCRATIC,Carper T R,371,4,375
New Castle,05-05,U.S. Senate,,REPUBLICAN,Ting J,47,1,48
New Castle,05-05,U.S. Senate,,LIBERTARIN,Morris W,4,0,4
New Castle,06-05,U.S. Senate,,DEMOCRATIC,Carper T R,373,4,377
New Castle,06-05,U.S. Senate,,REPUBLICAN,Ting J,39,0,39
New Castle,06-05,U.S. Senate,,LIBERTARIN,Morris W,4,0,4
New Castle,07-05,U.S. Senate,,DEMOCRATIC,Carper T R,298,4,302
New Castle,07-05,U.S. Senate,,REPUBLICAN,Ting J,59,1,60
New Castle,07-05,U.S. Senate,,LIBERTARIN,Morris W,6,0,6
New Castle,08-05,U.S. Senate,,DEMOCRATIC,Carper T R,229,3,232
New Castle,08-05,U.S. Senate,,REPUBLICAN,Ting J,47,1,48
New Castle,08-05,U.S. Senate,,LIBERTARIN,Morris W,4,0,4
New Castle,09-05,U.S. Senate,,DEMOCRATIC,Carper T R,321,8,329
New Castle,09-05,U.S. Senate,,REPUBLICAN,Ting J,71,1,72
New Castle,09-05,U.S. Senate,,LIBERTARIN,Morris W,4,0,4
New Castle,10-05,U.S. Senate,,DEMOCRATIC,Carper T R,335,7,342
New Castle,10-05,U.S. Senate,,REPUBLICAN,Ting J,49,0,49
New Castle,10-05,U.S. Senate,,LIBERTARIN,Morris W,6,0,6
New Castle,11-05,U.S. Senate,,DEMOCRATIC,Carper T R,293,3,296
New Castle,11-05,U.S. Senate,,REPUBLICAN,Ting J,57,1,58
New Castle,11-05,U.S. Senate,,LIBERTARIN,Morris W,4,0,4
New Castle,01-06,U.S. Senate,,DEMOCRATIC,Carper T R,324,7,331
New Castle,01-06,U.S. Senate,,REPUBLICAN,Ting J,149,2,151
New Castle,01-06,U.S. Senate,,LIBERTARIN,Morris W,10,0,10
New Castle,02-06,U.S. Senate,,DEMOCRATIC,Carper T R,656,22,678
New Castle,02-06,U.S. Senate,,REPUBLICAN,Ting J,212,6,218
New Castle,02-06,U.S. Senate,,LIBERTARIN,Morris W,6,1,7
New Castle,03-06,U.S. Senate,,DEMOCRATIC,Carper T R,397,8,405
New Castle,03-06,U.S. Senate,,REPUBLICAN,Ting J,90,0,90
New Castle,03-06,U.S. Senate,,LIBERTARIN,Morris W,15,0,15
New Castle,04-06,U.S. Senate,,DEMOCRATIC,Carper T R,510,14,524
New Castle,04-06,U.S. Senate,,REPUBLICAN,Ting J,168,2,170
New Castle,04-06,U.S. Senate,,LIBERTARIN,Morris W,15,0,15
New Castle,05-06,U.S. Senate,,DEMOCRATIC,Carper T R,323,37,360
New Castle,05-06,U.S. Senate,,REPUBLICAN,Ting J,66,6,72
New Castle,05-06,U.S. Senate,,LIBERTARIN,Morris W,1,0,1
New Castle,06-06,U.S. Senate,,DEMOCRATIC,Carper T R,539,18,557
New Castle,06-06,U.S. Senate,,REPUBLICAN,Ting J,261,13,274
New Castle,06-06,U.S. Senate,,LIBERTARIN,Morris W,10,1,11
New Castle,07-06,U.S. Senate,,DEMOCRATIC,Carper T R,619,21,640
New Castle,07-06,U.S. Senate,,REPUBLICAN,Ting J,262,12,274
New Castle,07-06,U.S. Senate,,LIBERTARIN,Morris W,15,0,15
New Castle,08-06,U.S. Senate,,DEMOCRATIC,Carper T R,774,11,785
New Castle,08-06,U.S. Senate,,REPUBLICAN,Ting J,286,4,290
New Castle,08-06,U.S. Senate,,LIBERTARIN,Morris W,15,1,16
New Castle,09-06,U.S. Senate,,DEMOCRATIC,Carper T R,93,6,99
New Castle,09-06,U.S. Senate,,REPUBLICAN,Ting J,72,2,74
New Castle,09-06,U.S. Senate,,LIBERTARIN,Morris W,2,0,2
New Castle,10-06,U.S. Senate,,DEMOCRATIC,Carper T R,499,6,505
New Castle,10-06,U.S. Senate,,REPUBLICAN,Ting J,167,3,170
New Castle,10-06,U.S. Senate,,LIBERTARIN,Morris W,14,0,14
New Castle,11-06,U.S. Senate,,DEMOCRATIC,Carper T R,301,7,308
New Castle,11-06,U.S. Senate,,REPUBLICAN,Ting J,88,1,89
New Castle,11-06,U.S. Senate,,LIBERTARIN,Morris W,8,0,8
