county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,01-01,U.S. Senate,,REPUBLICAN,O'Donnell,4,0,4
New Castle,01-01,U.S. Senate,,REPUBLICAN,Protack M,4,0,4
New Castle,01-01,U.S. Senate,,REPUBLICAN,Ting J,14,0,14
New Castle,02-01,U.S. Senate,,REPUBLICAN,O'Donnell,7,0,7
New Castle,02-01,U.S. Senate,,REPUBLICAN,Protack M,7,0,7
New Castle,02-01,U.S. Senate,,REPUBLICAN,Ting J,3,0,3
New Castle,04-01,U.S. Senate,,REPUBLICAN,O'Donnell,0,1,1
New Castle,04-01,U.S. Senate,,REPUBLICAN,Protack M,7,0,7
New Castle,04-01,U.S. Senate,,REPUBLICAN,Ting J,1,0,1
New Castle,05-01,U.S. Senate,,REPUBLICAN,O'Donnell,8,0,8
New Castle,05-01,U.S. Senate,,REPUBLICAN,Protack M,8,1,9
New Castle,05-01,U.S. Senate,,REPUBLICAN,Ting J,6,3,9
New Castle,06-01,U.S. Senate,,REPUBLICAN,O'Donnell,5,0,5
New Castle,06-01,U.S. Senate,,REPUBLICAN,Protack M,6,0,6
New Castle,06-01,U.S. Senate,,REPUBLICAN,Ting J,2,0,2
New Castle,07-01,U.S. Senate,,REPUBLICAN,O'Donnell,0,0,0
New Castle,07-01,U.S. Senate,,REPUBLICAN,Protack M,1,0,1
New Castle,07-01,U.S. Senate,,REPUBLICAN,Ting J,6,0,6
New Castle,08-01,U.S. Senate,,REPUBLICAN,O'Donnell,2,0,2
New Castle,08-01,U.S. Senate,,REPUBLICAN,Protack M,2,0,2
New Castle,08-01,U.S. Senate,,REPUBLICAN,Ting J,2,0,2
New Castle,09-01,U.S. Senate,,REPUBLICAN,O'Donnell,3,0,3
New Castle,09-01,U.S. Senate,,REPUBLICAN,Protack M,1,0,1
New Castle,09-01,U.S. Senate,,REPUBLICAN,Ting J,4,0,4
New Castle,10-01,U.S. Senate,,REPUBLICAN,O'Donnell,0,0,0
New Castle,10-01,U.S. Senate,,REPUBLICAN,Protack M,5,0,5
New Castle,10-01,U.S. Senate,,REPUBLICAN,Ting J,3,0,3
New Castle,11-01,U.S. Senate,,REPUBLICAN,O'Donnell,5,1,6
New Castle,11-01,U.S. Senate,,REPUBLICAN,Protack M,4,0,4
New Castle,11-01,U.S. Senate,,REPUBLICAN,Ting J,2,0,2
New Castle,01-02,U.S. Senate,,REPUBLICAN,O'Donnell,1,0,1
New Castle,01-02,U.S. Senate,,REPUBLICAN,Protack M,0,0,0
New Castle,01-02,U.S. Senate,,REPUBLICAN,Ting J,0,0,0
New Castle,02-02,U.S. Senate,,REPUBLICAN,O'Donnell,0,1,1
New Castle,02-02,U.S. Senate,,REPUBLICAN,Protack M,1,0,1
New Castle,02-02,U.S. Senate,,REPUBLICAN,Ting J,1,0,1
New Castle,04-02,U.S. Senate,,REPUBLICAN,O'Donnell,3,0,3
New Castle,04-02,U.S. Senate,,REPUBLICAN,Protack M,1,1,2
New Castle,04-02,U.S. Senate,,REPUBLICAN,Ting J,1,0,1
New Castle,05-02,U.S. Senate,,REPUBLICAN,O'Donnell,1,0,1
New Castle,05-02,U.S. Senate,,REPUBLICAN,Protack M,4,0,4
New Castle,05-02,U.S. Senate,,REPUBLICAN,Ting J,0,0,0
New Castle,06-02,U.S. Senate,,REPUBLICAN,O'Donnell,2,0,2
New Castle,06-02,U.S. Senate,,REPUBLICAN,Protack M,0,0,0
New Castle,06-02,U.S. Senate,,REPUBLICAN,Ting J,3,0,3
New Castle,08-02,U.S. Senate,,REPUBLICAN,O'Donnell,1,0,1
New Castle,08-02,U.S. Senate,,REPUBLICAN,Protack M,0,0,0
New Castle,08-02,U.S. Senate,,REPUBLICAN,Ting J,0,0,0
New Castle,10-02,U.S. Senate,,REPUBLICAN,O'Donnell,5,0,5
New Castle,10-02,U.S. Senate,,REPUBLICAN,Protack M,6,0,6
New Castle,10-02,U.S. Senate,,REPUBLICAN,Ting J,1,0,1
New Castle,11-02,U.S. Senate,,REPUBLICAN,O'Donnell,1,0,1
New Castle,11-02,U.S. Senate,,REPUBLICAN,Protack M,0,0,0
New Castle,11-02,U.S. Senate,,REPUBLICAN,Ting J,1,1,2
New Castle,12-02,U.S. Senate,,REPUBLICAN,O'Donnell,0,0,0
New Castle,12-02,U.S. Senate,,REPUBLICAN,Protack M,1,1,2
New Castle,12-02,U.S. Senate,,REPUBLICAN,Ting J,0,0,0
New Castle,15-02,U.S. Senate,,REPUBLICAN,O'Donnell,0,0,0
New Castle,15-02,U.S. Senate,,REPUBLICAN,Protack M,0,0,0
New Castle,15-02,U.S. Senate,,REPUBLICAN,Ting J,0,0,0
New Castle,16-02,U.S. Senate,,REPUBLICAN,O'Donnell,4,0,4
New Castle,16-02,U.S. Senate,,REPUBLICAN,Protack M,3,0,3
New Castle,16-02,U.S. Senate,,REPUBLICAN,Ting J,2,0,2
