county,party,office,district,candidate,votes
New Castle,DEM,President,,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,195034
New Castle,REP,President,,DONALD J. TRUMP AND MICHAEL R. PENCE,88364
New Castle,GRE,President,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,1282
New Castle,LIB,President,,"JO JORGENSEN AND JEREMY ""SPIKE"" COHEN",2953
New Castle,DEM,U.S. Senate,,CHRISTOPHER A. COONS,191774
New Castle,REP,U.S. Senate,,LAUREN WITZKE,80081
New Castle,Independent Party Of Delaware,U.S. Senate,,MARK W. TURLEY,4277
New Castle,LIB,U.S. Senate,,NADINE M. FROST,3330
New Castle,DEM,U.S. House,1,LISA BLUNT ROCHESTER,184337
New Castle,REP,U.S. House,1,LEE MURPHY,87581
New Castle,Independent Party Of Delaware,U.S. House,1,CATHERINE S. PURCELL,3831
New Castle,LIB,U.S. House,1,DAVID L. ROGERS,2255
New Castle,DEM,Governor,,JOHN C. CARNEY JR.,191678
New Castle,REP,Governor,,JULIANNE E. MURRAY,82545
New Castle,Independent Party Of Delaware,Governor,,KATHY S. DEMATTEIS,3785
New Castle,LIB,Governor,,JOHN J. MACHUREK,2031
New Castle,DEM,Lieutenant Governor,,BETHANY HALL-LONG,186389
New Castle,REP,Lieutenant Governor,,DONYALE HALL,87826
New Castle,DEM,Insurance Commissioner,,TRINIDAD NAVARRO,191088
New Castle,REP,Insurance Commissioner,,JULIA PILLSBURY,83214
New Castle,DEM,State Senate,1,SARAH MCBRIDE,16865
New Castle,REP,State Senate,1,STEVEN WASHINGTON,6144
New Castle,DEM,State Senate,5,KYLE EVANS GAY,13475
New Castle,REP,State Senate,5,CATHERINE A. CLOUTIER,12283
New Castle,DEM,State Senate,7,SPIROS MANTZAVINOS,10399
New Castle,REP,State Senate,7,ANTHONY DELCOLLO,9851
New Castle,DEM,State Senate,8,DAVID P. SOKOLA,13281
New Castle,DEM,State Senate,9,JACK WALSH,12728
New Castle,REP,State Senate,9,TODD RUCKLE,6248
New Castle,DEM,State Senate,12,NICOLE POORE,21606
New Castle,DEM,State Senate,13,MARIE PINKNEY,14044
New Castle,REP,State Senate,13,ALEXANDER M. HOMICH,4475
New Castle,DEM,State Senate,14,BRUCE C. ENNIS,12237
New Castle,REP,State Senate,14,CRAIG PUGH,8524
