county,party,office,district,candidate,votes
Kent,DEM,State Senate,14,BRUCE C. ENNIS,4255
Kent,REP,State Senate,14,CRAIG PUGH,2705
Kent,DEM,President,,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,44552
Kent,REP,President,,DONALD J. TRUMP AND MICHAEL R. PENCE,41009
Kent,GRE,President,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,420
Kent,LIB,President,,"JO JORGENSEN AND JEREMY ""SPIKE"" COHEN",1044
Kent,DEM,U.S. Senate,,CHRISTOPHER A. COONS,43893
Kent,REP,U.S. Senate,,LAUREN WITZKE,38571
Kent,Independent Party Of Delaware,U.S. Senate,,MARK W. TURLEY,1553
Kent,LIB,U.S. Senate,,NADINE M. FROST,958
Kent,DEM,U.S. House,1,LISA BLUNT ROCHESTER,42984
Kent,REP,U.S. House,1,LEE MURPHY,39586
Kent,Independent Party Of Delaware,U.S. House,1,CATHERINE S. PURCELL,1284
Kent,LIB,U.S. House,1,DAVID L. ROGERS,768
Kent,DEM,Governor,,JOHN C. CARNEY JR.,44352
Kent,REP,Governor,,JULIANNE E. MURRAY,39332
Kent,Independent Party Of Delaware,Governor,,KATHY S. DEMATTEIS,1115
Kent,LIB,Governor,,JOHN J. MACHUREK,616
Kent,DEM,Lieutenant Governor,,BETHANY HALL-LONG,42903
Kent,REP,Lieutenant Governor,,DONYALE HALL,41219
Kent,DEM,Insurance Commissioner,,TRINIDAD NAVARRO,42103
Kent,REP,Insurance Commissioner,,JULIA PILLSBURY,41702
Sussex,DEM,President,,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,56682
Sussex,REP,President,,DONALD J. TRUMP AND MICHAEL R. PENCE,71230
Sussex,GRE,President,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,437
Sussex,LIB,President,,"JO JORGENSEN AND JEREMY ""SPIKE"" COHEN",1003
Sussex,DEM,U.S. Senate,,CHRISTOPHER A. COONS,56137
Sussex,REP,U.S. Senate,,LAUREN WITZKE,67402
Sussex,Independent Party Of Delaware,U.S. Senate,,MARK W. TURLEY,2003
Sussex,LIB,U.S. Senate,,NADINE M. FROST,956
Sussex,DEM,U.S. House,1,LISA BLUNT ROCHESTER,54061
Sussex,REP,U.S. House,1,LEE MURPHY,69225
Sussex,Independent Party Of Delaware,U.S. House,1,CATHERINE S. PURCELL,1567
Sussex,LIB,U.S. House,1,DAVID L. ROGERS,791
Sussex,DEM,Governor,,JOHN C. CARNEY JR.,56873
Sussex,REP,Governor,,JULIANNE E. MURRAY,68435
Sussex,Independent Party Of Delaware,Governor,,KATHY S. DEMATTEIS,1250
Sussex,LIB,Governor,,JOHN J. MACHUREK,623
Sussex,DEM,Lieutenant Governor,,BETHANY HALL-LONG,56346
Sussex,REP,Lieutenant Governor,,DONYALE HALL,68298
Sussex,DEM,Insurance Commissioner,,TRINIDAD NAVARRO,53552
Sussex,REP,Insurance Commissioner,,JULIA PILLSBURY,70389
Kent,DEM,State Senate,15,JACI HUGG,11773
Kent,REP,State Senate,15,DAVID LAWSON,14587
Sussex,REP,State Senate,19,BRIAN G. PETTYJOHN,16324
Sussex,REP,State Senate,20,GERALD W. HOCKER,24001
New Castle,DEM,State House,1,NNAMDI O. CHUKWUOCHA,9228
New Castle,DEM,State House,2,STEPHANIE T. BOLDEN,6474
New Castle,DEM,State House,3,SHERRY DORSEY WALKER,5772
New Castle,DEM,State House,4,GERALD L. BRADY,9330
New Castle,REP,State House,4,JORDAN NALLY,3995
New Castle,DEM,State House,5,KENDRA JOHNSON,8738
New Castle,DEM,State House,6,DEBRA HEFFERNAN,10097
New Castle,DEM,State House,7,LARRY LAMBERT,8208
New Castle,REP,State House,7,JAMES W. HAUBRICH,3829
New Castle,LIB,State House,7,SCOTT A. GESTY,186
New Castle,DEM,State House,8,"SHERAE'A ""RAE"" MOORE",7567
New Castle,REP,State House,8,DANIEL ZITOFSKY,5715
New Castle,DEM,State House,9,DEBBIE HARRINGTON,8094
New Castle,REP,State House,9,KEVIN S. HENSLEY,9812
New Castle,DEM,State House,10,SEAN MATTHEWS,8977
New Castle,REP,State House,11,JEFFREY N. SPIEGELMAN,3685
Kent,REP,State House,11,JEFFREY N. SPIEGELMAN,5123
New Castle,DEM,State House,12,KRISTA GRIFFITH,9259
New Castle,REP,State House,12,JEFFREY CRAGG,6183
New Castle,DEM,State House,13,JOHN L. MITCHELL JR.,7546
Sussex,DEM,State House,14,PETE SCHWARTZKOPF,12822
New Castle,DEM,State House,15,VALERIE LONGHURST,9112
New Castle,REP,State House,15,MICHAEL HIGGIN,4091
New Castle,LIB,State House,15,AMY A. MERLINO,227
New Castle,DEM,State House,16,FRANKLIN D. COOKE JR.,7679
New Castle,DEM,State House,17,MELISSA MINOR-BROWN,8001
New Castle,DEM,State House,18,DAVID S. BENTZ,7772
New Castle,DEM,State House,19,KIMBERLY A. WILLIAMS,7374
Sussex,REP,State House,20,STEPHEN T. SMYK,12883
New Castle,DEM,State House,21,STEPHANIE BARRY,6051
New Castle,REP,State House,21,MICHAEL RAMONE,6703
New Castle,DEM,State House,22,LUANN D'AGOSTINO,5437
New Castle,REP,State House,22,MICHAEL F. SMITH,9383
New Castle,DEM,State House,23,PAUL BAUMBACH,6783
New Castle,DEM,State House,24,EDWARD OSIENSKI,7181
New Castle,REP,State House,24,GREGORY WILPS,3052
New Castle,DEM,State House,25,JOHN KOWALKO JR.,6041
New Castle,DEM,State House,26,MADINAH WILSON-ANTON,6933
New Castle,REP,State House,26,TIMOTHY S. CONRAD,2754
New Castle,DEM,State House,27,ERIC A. MORRISON,7847
New Castle,REP,State House,27,"DONALD CARL ""TRIPP"" KEISTER III",4700
New Castle,LIB,State House,27,WILLIAM M. HINDS,225
Kent,DEM,State House,28,WILLIAM CARSON,8167
Kent,DEM,State House,29,WILLIAM BUSH,7687
Kent,REP,State House,29,ROBIN R. HAYES,6081
Kent,DEM,State House,30,CHUCK GROCE,3328
Kent,REP,State House,30,SHANNON W. MORRIS,7105
Kent,DEM,State House,31,SEAN M. LYNN,6889
Kent,REP,State House,31,RICHARD HARPSTER,3065
Kent,DEM,State House,32,ANDRIA BENNETT,5291
Kent,REP,State House,32,CHERYL PRECOURT,3078
Kent,DEM,State House,33,RACHAEL KING,4841
Kent,REP,State House,33,CHARLES S. POSTLES JR.,6813
Kent,DEM,State House,34,"ADEWUNMI ""ADE"" KUFORIJI",5472
Kent,REP,State House,34,LYNDON D. YEARICK,7350
Sussex,DEM,State House,35,DARRYNN HARRIS,3253
Sussex,REP,State House,35,JESSE R. VANDERWENDE,7093
Sussex,DEM,State House,36,GREG FULLER,4043
Sussex,REP,State House,36,BRYAN W. SHUPE,7099
Sussex,REP,State House,37,RUTH BRIGGS KING,9760
Sussex,REP,State House,38,RONALD E. GRAY,15409
Sussex,REP,State House,39,DANIEL B. SHORT,7420
Sussex,REP,State House,40,TIMOTHY D. DUKES,8534
Sussex,REP,State House,41,RICHARD G. COLLINS,8983
