county,precinct,office,district,party,candidate,election_day,absentee,votes
New Castle,01~01,President and Vice President,1,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,450,275,725
New Castle,01~02,President and Vice President,1,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,818,358,1176
New Castle,01~03,President and Vice President,1,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,578,200,778
New Castle,01~04,President and Vice President,1,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,793,286,1079
New Castle,01~05,President and Vice President,1,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,621,433,1054
New Castle,01~06,President and Vice President,1,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,304,105,409
New Castle,01~07,President and Vice President,1,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,318,137,455
New Castle,01~08,President and Vice President,1,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,77,46,123
New Castle,01~09,President and Vice President,1,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,551,311,862
New Castle,01~10,President and Vice President,1,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,811,252,1063
New Castle,01~11,President and Vice President,1,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,373,208,581
New Castle,01~12,President and Vice President,1,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,191,143,334
New Castle,01~13,President and Vice President,1,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,383,274,657
New Castle,01~14,President and Vice President,1,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,274,262,536
New Castle,02~01,President and Vice President,2,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,884,220,1104
New Castle,02~02,President and Vice President,2,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,340,107,447
New Castle,02~03,President and Vice President,2,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,96,105,201
New Castle,02~04,President and Vice President,2,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,38,38,76
New Castle,02~05,President and Vice President,2,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,413,142,555
New Castle,02~06,President and Vice President,2,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,362,231,593
New Castle,02~07,President and Vice President,2,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,380,110,490
New Castle,02~08,President and Vice President,2,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,473,97,570
New Castle,02~09,President and Vice President,2,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,254,158,412
New Castle,02~10,President and Vice President,2,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,566,364,930
New Castle,02~11,President and Vice President,2,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,772,196,968
New Castle,02~12,President and Vice President,2,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,438,76,514
New Castle,02~17,President and Vice President,2,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,0,557,557
NA,02~18,President and Vice President,2,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,1,0,1
New Castle,03~01,President and Vice President,3,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,457,137,594
New Castle,03~02,President and Vice President,3,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,564,310,874
New Castle,03~03,President and Vice President,3,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,338,124,462
New Castle,03~04,President and Vice President,3,Democratic Party,JOSEPH R. BIDEN JR. AND KAMALA D. HARRIS,565,187,752
