county,election_district,office,district,party,candidate,votes
New Castle,03-05,President,,NATURAL LW,Hagelin J,0
New Castle,03-05,President,,REFORM,Buchanan P,2
New Castle,04-05,President,,DEMOCRATIC,Gore A,439
New Castle,04-05,President,,REPUBLICAN,Bush G W,37
New Castle,04-05,President,,CONSTITUTN,Phillips H,0
New Castle,04-05,President,,GREEN,Nader R,1
New Castle,04-05,President,,LIBERTARIN,Browne H,1
New Castle,04-05,President,,NATURAL LW,Hagelin J,0
New Castle,04-05,President,,REFORM,Buchanan P,0
New Castle,05-05,President,,DEMOCRATIC,Gore A,392
New Castle,05-05,President,,REPUBLICAN,Bush G W,52
New Castle,05-05,President,,CONSTITUTN,Phillips H,0
New Castle,05-05,President,,GREEN,Nader R,2
New Castle,05-05,President,,LIBERTARIN,Browne H,1
New Castle,05-05,President,,NATURAL LW,Hagelin J,0
New Castle,05-05,President,,REFORM,Buchanan P,1
New Castle,06-05,President,,DEMOCRATIC,Gore A,765
New Castle,06-05,President,,REPUBLICAN,Bush G W,164
New Castle,06-05,President,,CONSTITUTN,Phillips H,0
New Castle,06-05,President,,GREEN,Nader R,27
New Castle,06-05,President,,LIBERTARIN,Browne H,3
New Castle,06-05,President,,NATURAL LW,Hagelin J,0
New Castle,06-05,President,,REFORM,Buchanan P,0
New Castle,07-05,President,,DEMOCRATIC,Gore A,202
New Castle,07-05,President,,REPUBLICAN,Bush G W,6
New Castle,07-05,President,,CONSTITUTN,Phillips H,0
New Castle,07-05,President,,GREEN,Nader R,0
New Castle,07-05,President,,LIBERTARIN,Browne H,0
New Castle,07-05,President,,NATURAL LW,Hagelin J,0
New Castle,07-05,President,,REFORM,Buchanan P,0
New Castle,08-05,President,,DEMOCRATIC,Gore A,418
New Castle,08-05,President,,REPUBLICAN,Bush G W,33
New Castle,08-05,President,,CONSTITUTN,Phillips H,0
New Castle,08-05,President,,GREEN,Nader R,7
New Castle,08-05,President,,LIBERTARIN,Browne H,2
New Castle,08-05,President,,NATURAL LW,Hagelin J,0
New Castle,08-05,President,,REFORM,Buchanan P,0
New Castle,09-05,President,,DEMOCRATIC,Gore A,408
New Castle,09-05,President,,REPUBLICAN,Bush G W,23
New Castle,09-05,President,,CONSTITUTN,Phillips H,0
New Castle,09-05,President,,GREEN,Nader R,9
New Castle,09-05,President,,LIBERTARIN,Browne H,1
New Castle,09-05,President,,NATURAL LW,Hagelin J,0
New Castle,09-05,President,,REFORM,Buchanan P,0
New Castle,01-06,President,,DEMOCRATIC,Gore A,293
New Castle,01-06,President,,REPUBLICAN,Bush G W,201
New Castle,01-06,President,,CONSTITUTN,Phillips H,0
New Castle,01-06,President,,GREEN,Nader R,20
New Castle,01-06,President,,LIBERTARIN,Browne H,2
New Castle,01-06,President,,NATURAL LW,Hagelin J,1
New Castle,01-06,President,,REFORM,Buchanan P,1
New Castle,02-06,President,,DEMOCRATIC,Gore A,483
New Castle,02-06,President,,REPUBLICAN,Bush G W,290
New Castle,02-06,President,,CONSTITUTN,Phillips H,0
New Castle,02-06,President,,GREEN,Nader R,24
New Castle,02-06,President,,LIBERTARIN,Browne H,3
New Castle,02-06,President,,NATURAL LW,Hagelin J,0
New Castle,02-06,President,,REFORM,Buchanan P,0
New Castle,03-06,President,,DEMOCRATIC,Gore A,529
New Castle,03-06,President,,REPUBLICAN,Bush G W,199
New Castle,03-06,President,,CONSTITUTN,Phillips H,1
New Castle,03-06,President,,GREEN,Nader R,16
New Castle,03-06,President,,LIBERTARIN,Browne H,0
New Castle,03-06,President,,NATURAL LW,Hagelin J,0
New Castle,03-06,President,,REFORM,Buchanan P,1
New Castle,04-06,President,,DEMOCRATIC,Gore A,506
New Castle,04-06,President,,REPUBLICAN,Bush G W,356
New Castle,04-06,President,,CONSTITUTN,Phillips H,0
New Castle,04-06,President,,GREEN,Nader R,34
New Castle,04-06,President,,LIBERTARIN,Browne H,3
New Castle,04-06,President,,NATURAL LW,Hagelin J,0
New Castle,04-06,President,,REFORM,Buchanan P,2
New Castle,05-06,President,,DEMOCRATIC,Gore A,695
New Castle,05-06,President,,REPUBLICAN,Bush G W,424
New Castle,05-06,President,,CONSTITUTN,Phillips H,0
New Castle,05-06,President,,GREEN,Nader R,43
New Castle,05-06,President,,LIBERTARIN,Browne H,4
New Castle,05-06,President,,NATURAL LW,Hagelin J,0
New Castle,05-06,President,,REFORM,Buchanan P,2
New Castle,06-06,President,,DEMOCRATIC,Gore A,294
New Castle,06-06,President,,REPUBLICAN,Bush G W,310
New Castle,06-06,President,,CONSTITUTN,Phillips H,0
New Castle,06-06,President,,GREEN,Nader R,5
New Castle,06-06,President,,LIBERTARIN,Browne H,0
New Castle,06-06,President,,NATURAL LW,Hagelin J,1
New Castle,06-06,President,,REFORM,Buchanan P,0
New Castle,07-06,President,,DEMOCRATIC,Gore A,629
New Castle,07-06,President,,REPUBLICAN,Bush G W,584
New Castle,07-06,President,,CONSTITUTN,Phillips H,0
New Castle,07-06,President,,GREEN,Nader R,28
New Castle,07-06,President,,LIBERTARIN,Browne H,2
New Castle,07-06,President,,NATURAL LW,Hagelin J,0
New Castle,07-06,President,,REFORM,Buchanan P,3
New Castle,08-06,President,,DEMOCRATIC,Gore A,490
New Castle,08-06,President,,REPUBLICAN,Bush G W,378
New Castle,08-06,President,,CONSTITUTN,Phillips H,0
New Castle,08-06,President,,GREEN,Nader R,39
New Castle,08-06,President,,LIBERTARIN,Browne H,0
New Castle,08-06,President,,NATURAL LW,Hagelin J,1
