county,election_district,office,district,party,candidate,votes
New Castle,01-01,President,,DEMOCRATIC,Gore A,744
New Castle,01-01,President,,REPUBLICAN,Bush G W,134
New Castle,01-01,President,,CONSTITUTN,Phillips H,0
New Castle,01-01,President,,GREEN,Nader R,10
New Castle,01-01,President,,LIBERTARIN,Browne H,3
New Castle,01-01,President,,NATURAL LW,Hagelin J,0
New Castle,01-01,President,,REFORM,Buchanan P,2
New Castle,02-01,President,,DEMOCRATIC,Gore A,663
New Castle,02-01,President,,REPUBLICAN,Bush G W,64
New Castle,02-01,President,,CONSTITUTN,Phillips H,0
New Castle,02-01,President,,GREEN,Nader R,11
New Castle,02-01,President,,LIBERTARIN,Browne H,1
New Castle,02-01,President,,NATURAL LW,Hagelin J,0
New Castle,02-01,President,,REFORM,Buchanan P,0
New Castle,03-01,President,,DEMOCRATIC,Gore A,526
New Castle,03-01,President,,REPUBLICAN,Bush G W,25
New Castle,03-01,President,,CONSTITUTN,Phillips H,0
New Castle,03-01,President,,GREEN,Nader R,8
New Castle,03-01,President,,LIBERTARIN,Browne H,2
New Castle,03-01,President,,NATURAL LW,Hagelin J,0
New Castle,03-01,President,,REFORM,Buchanan P,2
New Castle,04-01,President,,DEMOCRATIC,Gore A,522
New Castle,04-01,President,,REPUBLICAN,Bush G W,20
New Castle,04-01,President,,CONSTITUTN,Phillips H,3
New Castle,04-01,President,,GREEN,Nader R,4
New Castle,04-01,President,,LIBERTARIN,Browne H,0
New Castle,04-01,President,,NATURAL LW,Hagelin J,1
New Castle,04-01,President,,REFORM,Buchanan P,0
New Castle,05-01,President,,DEMOCRATIC,Gore A,559
New Castle,05-01,President,,REPUBLICAN,Bush G W,222
New Castle,05-01,President,,CONSTITUTN,Phillips H,0
New Castle,05-01,President,,GREEN,Nader R,46
New Castle,05-01,President,,LIBERTARIN,Browne H,2
New Castle,05-01,President,,NATURAL LW,Hagelin J,2
New Castle,05-01,President,,REFORM,Buchanan P,0
New Castle,06-01,President,,DEMOCRATIC,Gore A,647
New Castle,06-01,President,,REPUBLICAN,Bush G W,367
New Castle,06-01,President,,CONSTITUTN,Phillips H,0
New Castle,06-01,President,,GREEN,Nader R,44
New Castle,06-01,President,,LIBERTARIN,Browne H,3
New Castle,06-01,President,,NATURAL LW,Hagelin J,0
New Castle,06-01,President,,REFORM,Buchanan P,2
New Castle,07-01,President,,DEMOCRATIC,Gore A,312
New Castle,07-01,President,,REPUBLICAN,Bush G W,156
New Castle,07-01,President,,CONSTITUTN,Phillips H,0
New Castle,07-01,President,,GREEN,Nader R,22
New Castle,07-01,President,,LIBERTARIN,Browne H,0
New Castle,07-01,President,,NATURAL LW,Hagelin J,0
New Castle,07-01,President,,REFORM,Buchanan P,0
New Castle,08-01,President,,DEMOCRATIC,Gore A,73
New Castle,08-01,President,,REPUBLICAN,Bush G W,2
New Castle,08-01,President,,CONSTITUTN,Phillips H,0
New Castle,08-01,President,,GREEN,Nader R,0
New Castle,08-01,President,,LIBERTARIN,Browne H,1
New Castle,08-01,President,,NATURAL LW,Hagelin J,0
New Castle,08-01,President,,REFORM,Buchanan P,0
New Castle,09-01,President,,DEMOCRATIC,Gore A,152
New Castle,09-01,President,,REPUBLICAN,Bush G W,15
New Castle,09-01,President,,CONSTITUTN,Phillips H,0
New Castle,09-01,President,,GREEN,Nader R,2
New Castle,09-01,President,,LIBERTARIN,Browne H,0
New Castle,09-01,President,,NATURAL LW,Hagelin J,0
New Castle,09-01,President,,REFORM,Buchanan P,0
New Castle,10-01,President,,DEMOCRATIC,Gore A,215
New Castle,10-01,President,,REPUBLICAN,Bush G W,31
New Castle,10-01,President,,CONSTITUTN,Phillips H,0
New Castle,10-01,President,,GREEN,Nader R,7
New Castle,10-01,President,,LIBERTARIN,Browne H,0
New Castle,10-01,President,,NATURAL LW,Hagelin J,0
New Castle,10-01,President,,REFORM,Buchanan P,1
New Castle,11-01,President,,DEMOCRATIC,Gore A,80
New Castle,11-01,President,,REPUBLICAN,Bush G W,42
New Castle,11-01,President,,CONSTITUTN,Phillips H,0
New Castle,11-01,President,,GREEN,Nader R,1
New Castle,11-01,President,,LIBERTARIN,Browne H,1
New Castle,11-01,President,,NATURAL LW,Hagelin J,0
New Castle,11-01,President,,REFORM,Buchanan P,0
New Castle,12-01,President,,DEMOCRATIC,Gore A,504
New Castle,12-01,President,,REPUBLICAN,Bush G W,109
New Castle,12-01,President,,CONSTITUTN,Phillips H,0
New Castle,12-01,President,,GREEN,Nader R,16
New Castle,12-01,President,,LIBERTARIN,Browne H,0
New Castle,12-01,President,,NATURAL LW,Hagelin J,0
New Castle,12-01,President,,REFORM,Buchanan P,2
New Castle,13-01,President,,DEMOCRATIC,Gore A,432
New Castle,13-01,President,,REPUBLICAN,Bush G W,49
New Castle,13-01,President,,CONSTITUTN,Phillips H,1
New Castle,13-01,President,,GREEN,Nader R,9
New Castle,13-01,President,,LIBERTARIN,Browne H,2
New Castle,13-01,President,,NATURAL LW,Hagelin J,0
New Castle,13-01,President,,REFORM,Buchanan P,0
New Castle,01-02,President,,DEMOCRATIC,Gore A,967
New Castle,01-02,President,,REPUBLICAN,Bush G W,55
New Castle,01-02,President,,CONSTITUTN,Phillips H,0
New Castle,01-02,President,,GREEN,Nader R,3
New Castle,01-02,President,,LIBERTARIN,Browne H,0
New Castle,01-02,President,,NATURAL LW,Hagelin J,0
New Castle,01-02,President,,REFORM,Buchanan P,0
New Castle,02-02,President,,DEMOCRATIC,Gore A,724
New Castle,02-02,President,,REPUBLICAN,Bush G W,14
New Castle,02-02,President,,CONSTITUTN,Phillips H,2
New Castle,02-02,President,,GREEN,Nader R,1
New Castle,02-02,President,,LIBERTARIN,Browne H,0
New Castle,02-02,President,,NATURAL LW,Hagelin J,0
New Castle,02-02,President,,REFORM,Buchanan P,1
New Castle,03-02,President,,DEMOCRATIC,Gore A,41
New Castle,03-02,President,,REPUBLICAN,Bush G W,11
New Castle,03-02,President,,CONSTITUTN,Phillips H,1
New Castle,03-02,President,,GREEN,Nader R,2
New Castle,03-02,President,,LIBERTARIN,Browne H,0
New Castle,03-02,President,,NATURAL LW,Hagelin J,0
New Castle,03-02,President,,REFORM,Buchanan P,0
New Castle,04-02,President,,DEMOCRATIC,Gore A,103
New Castle,04-02,President,,REPUBLICAN,Bush G W,52
New Castle,04-02,President,,CONSTITUTN,Phillips H,0
New Castle,04-02,President,,GREEN,Nader R,5
New Castle,04-02,President,,LIBERTARIN,Browne H,0
New Castle,04-02,President,,NATURAL LW,Hagelin J,0
New Castle,04-02,President,,REFORM,Buchanan P,0
New Castle,05-02,President,,DEMOCRATIC,Gore A,80
New Castle,05-02,President,,REPUBLICAN,Bush G W,4
New Castle,05-02,President,,CONSTITUTN,Phillips H,0
New Castle,05-02,President,,GREEN,Nader R,0
New Castle,05-02,President,,LIBERTARIN,Browne H,0
New Castle,05-02,President,,NATURAL LW,Hagelin J,0
New Castle,05-02,President,,REFORM,Buchanan P,0
New Castle,06-02,President,,DEMOCRATIC,Gore A,223
New Castle,06-02,President,,REPUBLICAN,Bush G W,54
New Castle,06-02,President,,CONSTITUTN,Phillips H,0
New Castle,06-02,President,,GREEN,Nader R,14
New Castle,06-02,President,,LIBERTARIN,Browne H,3
New Castle,06-02,President,,NATURAL LW,Hagelin J,0
New Castle,06-02,President,,REFORM,Buchanan P,2
New Castle,07-02,President,,DEMOCRATIC,Gore A,37
New Castle,07-02,President,,REPUBLICAN,Bush G W,12
New Castle,07-02,President,,CONSTITUTN,Phillips H,0
New Castle,07-02,President,,GREEN,Nader R,0
New Castle,07-02,President,,LIBERTARIN,Browne H,0
New Castle,07-02,President,,NATURAL LW,Hagelin J,0
New Castle,07-02,President,,REFORM,Buchanan P,0
New Castle,08-02,President,,DEMOCRATIC,Gore A,345
New Castle,08-02,President,,REPUBLICAN,Bush G W,7
New Castle,08-02,President,,CONSTITUTN,Phillips H,0
New Castle,08-02,President,,GREEN,Nader R,4
New Castle,08-02,President,,LIBERTARIN,Browne H,0
New Castle,08-02,President,,NATURAL LW,Hagelin J,0
New Castle,08-02,President,,REFORM,Buchanan P,0
New Castle,09-02,President,,DEMOCRATIC,Gore A,474
New Castle,09-02,President,,REPUBLICAN,Bush G W,130
New Castle,09-02,President,,CONSTITUTN,Phillips H,1
New Castle,09-02,President,,GREEN,Nader R,9
New Castle,09-02,President,,LIBERTARIN,Browne H,0
New Castle,09-02,President,,NATURAL LW,Hagelin J,0
New Castle,09-02,President,,REFORM,Buchanan P,0
New Castle,10-02,President,,DEMOCRATIC,Gore A,574
New Castle,10-02,President,,REPUBLICAN,Bush G W,55
New Castle,10-02,President,,CONSTITUTN,Phillips H,0
New Castle,10-02,President,,GREEN,Nader R,8
New Castle,10-02,President,,LIBERTARIN,Browne H,0
New Castle,10-02,President,,NATURAL LW,Hagelin J,0
New Castle,10-02,President,,REFORM,Buchanan P,1
New Castle,11-02,President,,DEMOCRATIC,Gore A,390
New Castle,11-02,President,,REPUBLICAN,Bush G W,8
New Castle,11-02,President,,CONSTITUTN,Phillips H,0
New Castle,11-02,President,,GREEN,Nader R,3
New Castle,11-02,President,,LIBERTARIN,Browne H,1
New Castle,11-02,President,,NATURAL LW,Hagelin J,1
New Castle,11-02,President,,REFORM,Buchanan P,1
New Castle,12-02,President,,DEMOCRATIC,Gore A,387
New Castle,12-02,President,,REPUBLICAN,Bush G W,11
New Castle,12-02,President,,CONSTITUTN,Phillips H,0
New Castle,12-02,President,,GREEN,Nader R,2
New Castle,12-02,President,,LIBERTARIN,Browne H,1
New Castle,12-02,President,,NATURAL LW,Hagelin J,0
New Castle,12-02,President,,REFORM,Buchanan P,0
New Castle,13-02,President,,DEMOCRATIC,Gore A,78
New Castle,13-02,President,,REPUBLICAN,Bush G W,3
New Castle,13-02,President,,CONSTITUTN,Phillips H,0
New Castle,13-02,President,,GREEN,Nader R,3
New Castle,13-02,President,,LIBERTARIN,Browne H,0
New Castle,13-02,President,,NATURAL LW,Hagelin J,0
New Castle,13-02,President,,REFORM,Buchanan P,0
New Castle,16-02,President,,DEMOCRATIC,Gore A,100
New Castle,16-02,President,,REPUBLICAN,Bush G W,78
New Castle,16-02,President,,CONSTITUTN,Phillips H,0
New Castle,16-02,President,,GREEN,Nader R,4
New Castle,16-02,President,,LIBERTARIN,Browne H,0
New Castle,16-02,President,,NATURAL LW,Hagelin J,0
New Castle,16-02,President,,REFORM,Buchanan P,0
New Castle,01-03,President,,DEMOCRATIC,Gore A,136
New Castle,01-03,President,,REPUBLICAN,Bush G W,42
New Castle,01-03,President,,CONSTITUTN,Phillips H,0
New Castle,01-03,President,,GREEN,Nader R,3
New Castle,01-03,President,,LIBERTARIN,Browne H,0
New Castle,01-03,President,,NATURAL LW,Hagelin J,0
New Castle,01-03,President,,REFORM,Buchanan P,1
New Castle,02-03,President,,DEMOCRATIC,Gore A,580
New Castle,02-03,President,,REPUBLICAN,Bush G W,37
New Castle,02-03,President,,CONSTITUTN,Phillips H,0
New Castle,02-03,President,,GREEN,Nader R,3
New Castle,02-03,President,,LIBERTARIN,Browne H,0
New Castle,02-03,President,,NATURAL LW,Hagelin J,0
New Castle,02-03,President,,REFORM,Buchanan P,1
New Castle,03-03,President,,DEMOCRATIC,Gore A,1159
New Castle,03-03,President,,REPUBLICAN,Bush G W,45
New Castle,03-03,President,,CONSTITUTN,Phillips H,1
New Castle,03-03,President,,GREEN,Nader R,2
New Castle,03-03,President,,LIBERTARIN,Browne H,0
New Castle,03-03,President,,NATURAL LW,Hagelin J,0
New Castle,03-03,President,,REFORM,Buchanan P,2
New Castle,04-03,President,,DEMOCRATIC,Gore A,571
New Castle,04-03,President,,REPUBLICAN,Bush G W,34
New Castle,04-03,President,,CONSTITUTN,Phillips H,1
New Castle,04-03,President,,GREEN,Nader R,4
New Castle,04-03,President,,LIBERTARIN,Browne H,1
New Castle,04-03,President,,NATURAL LW,Hagelin J,1
New Castle,04-03,President,,REFORM,Buchanan P,3
New Castle,05-03,President,,DEMOCRATIC,Gore A,90
New Castle,05-03,President,,REPUBLICAN,Bush G W,11
New Castle,05-03,President,,CONSTITUTN,Phillips H,0
New Castle,05-03,President,,GREEN,Nader R,2
New Castle,05-03,President,,LIBERTARIN,Browne H,0
New Castle,05-03,President,,NATURAL LW,Hagelin J,0
New Castle,05-03,President,,REFORM,Buchanan P,1
New Castle,06-03,President,,DEMOCRATIC,Gore A,209
New Castle,06-03,President,,REPUBLICAN,Bush G W,90
New Castle,06-03,President,,CONSTITUTN,Phillips H,1
New Castle,06-03,President,,GREEN,Nader R,9
New Castle,06-03,President,,LIBERTARIN,Browne H,0
New Castle,06-03,President,,NATURAL LW,Hagelin J,0
New Castle,06-03,President,,REFORM,Buchanan P,0
New Castle,07-03,President,,DEMOCRATIC,Gore A,106
New Castle,07-03,President,,REPUBLICAN,Bush G W,30
New Castle,07-03,President,,CONSTITUTN,Phillips H,0
New Castle,07-03,President,,GREEN,Nader R,4
New Castle,07-03,President,,LIBERTARIN,Browne H,0
New Castle,07-03,President,,NATURAL LW,Hagelin J,0
New Castle,07-03,President,,REFORM,Buchanan P,0
New Castle,08-03,President,,DEMOCRATIC,Gore A,480
New Castle,08-03,President,,REPUBLICAN,Bush G W,12
New Castle,08-03,President,,CONSTITUTN,Phillips H,0
New Castle,08-03,President,,GREEN,Nader R,2
New Castle,08-03,President,,LIBERTARIN,Browne H,1
New Castle,08-03,President,,NATURAL LW,Hagelin J,2
New Castle,08-03,President,,REFORM,Buchanan P,0
New Castle,09-03,President,,DEMOCRATIC,Gore A,430
New Castle,09-03,President,,REPUBLICAN,Bush G W,105
New Castle,09-03,President,,CONSTITUTN,Phillips H,0
New Castle,09-03,President,,GREEN,Nader R,10
New Castle,09-03,President,,LIBERTARIN,Browne H,2
New Castle,09-03,President,,NATURAL LW,Hagelin J,1
New Castle,09-03,President,,REFORM,Buchanan P,2
New Castle,10-03,President,,DEMOCRATIC,Gore A,649
New Castle,10-03,President,,REPUBLICAN,Bush G W,18
New Castle,10-03,President,,CONSTITUTN,Phillips H,1
New Castle,10-03,President,,GREEN,Nader R,4
New Castle,10-03,President,,LIBERTARIN,Browne H,0
New Castle,10-03,President,,NATURAL LW,Hagelin J,0
New Castle,10-03,President,,REFORM,Buchanan P,0
New Castle,11-03,President,,DEMOCRATIC,Gore A,281
New Castle,11-03,President,,REPUBLICAN,Bush G W,8
New Castle,11-03,President,,CONSTITUTN,Phillips H,0
New Castle,11-03,President,,GREEN,Nader R,0
New Castle,11-03,President,,LIBERTARIN,Browne H,2
New Castle,11-03,President,,NATURAL LW,Hagelin J,0
New Castle,11-03,President,,REFORM,Buchanan P,0
New Castle,12-03,President,,DEMOCRATIC,Gore A,106
New Castle,12-03,President,,REPUBLICAN,Bush G W,1
New Castle,12-03,President,,CONSTITUTN,Phillips H,0
New Castle,12-03,President,,GREEN,Nader R,1
New Castle,12-03,President,,LIBERTARIN,Browne H,0
New Castle,12-03,President,,NATURAL LW,Hagelin J,0
New Castle,12-03,President,,REFORM,Buchanan P,0
New Castle,01-04,President,,DEMOCRATIC,Gore A,445
New Castle,01-04,President,,REPUBLICAN,Bush G W,394
New Castle,01-04,President,,CONSTITUTN,Phillips H,0
New Castle,01-04,President,,GREEN,Nader R,20
New Castle,01-04,President,,LIBERTARIN,Browne H,4
New Castle,01-04,President,,NATURAL LW,Hagelin J,0
New Castle,01-04,President,,REFORM,Buchanan P,0
New Castle,02-04,President,,DEMOCRATIC,Gore A,108
New Castle,02-04,President,,REPUBLICAN,Bush G W,97
New Castle,02-04,President,,CONSTITUTN,Phillips H,0
New Castle,02-04,President,,GREEN,Nader R,2
New Castle,02-04,President,,LIBERTARIN,Browne H,0
New Castle,02-04,President,,NATURAL LW,Hagelin J,0
New Castle,02-04,President,,REFORM,Buchanan P,0
New Castle,03-04,President,,DEMOCRATIC,Gore A,569
New Castle,03-04,President,,REPUBLICAN,Bush G W,466
New Castle,03-04,President,,CONSTITUTN,Phillips H,1
New Castle,03-04,President,,GREEN,Nader R,35
New Castle,03-04,President,,LIBERTARIN,Browne H,2
New Castle,03-04,President,,NATURAL LW,Hagelin J,0
New Castle,03-04,President,,REFORM,Buchanan P,1
New Castle,04-04,President,,DEMOCRATIC,Gore A,659
New Castle,04-04,President,,REPUBLICAN,Bush G W,359
New Castle,04-04,President,,CONSTITUTN,Phillips H,1
New Castle,04-04,President,,GREEN,Nader R,21
New Castle,04-04,President,,LIBERTARIN,Browne H,1
New Castle,04-04,President,,NATURAL LW,Hagelin J,0
New Castle,04-04,President,,REFORM,Buchanan P,1
New Castle,05-04,President,,DEMOCRATIC,Gore A,433
New Castle,05-04,President,,REPUBLICAN,Bush G W,116
New Castle,05-04,President,,CONSTITUTN,Phillips H,0
New Castle,05-04,President,,GREEN,Nader R,14
New Castle,05-04,President,,LIBERTARIN,Browne H,1
New Castle,05-04,President,,NATURAL LW,Hagelin J,1
New Castle,05-04,President,,REFORM,Buchanan P,1
New Castle,06-04,President,,DEMOCRATIC,Gore A,111
New Castle,06-04,President,,REPUBLICAN,Bush G W,32
New Castle,06-04,President,,CONSTITUTN,Phillips H,0
New Castle,06-04,President,,GREEN,Nader R,4
New Castle,06-04,President,,LIBERTARIN,Browne H,1
New Castle,06-04,President,,NATURAL LW,Hagelin J,0
New Castle,06-04,President,,REFORM,Buchanan P,1
New Castle,07-04,President,,DEMOCRATIC,Gore A,110
New Castle,07-04,President,,REPUBLICAN,Bush G W,14
New Castle,07-04,President,,CONSTITUTN,Phillips H,0
New Castle,07-04,President,,GREEN,Nader R,0
New Castle,07-04,President,,LIBERTARIN,Browne H,0
New Castle,07-04,President,,NATURAL LW,Hagelin J,0
New Castle,07-04,President,,REFORM,Buchanan P,0
New Castle,08-04,President,,DEMOCRATIC,Gore A,451
New Castle,08-04,President,,REPUBLICAN,Bush G W,35
New Castle,08-04,President,,CONSTITUTN,Phillips H,1
New Castle,08-04,President,,GREEN,Nader R,9
New Castle,08-04,President,,LIBERTARIN,Browne H,2
New Castle,08-04,President,,NATURAL LW,Hagelin J,0
New Castle,08-04,President,,REFORM,Buchanan P,0
New Castle,09-04,President,,DEMOCRATIC,Gore A,460
New Castle,09-04,President,,REPUBLICAN,Bush G W,144
New Castle,09-04,President,,CONSTITUTN,Phillips H,0
New Castle,09-04,President,,GREEN,Nader R,19
New Castle,09-04,President,,LIBERTARIN,Browne H,1
New Castle,09-04,President,,NATURAL LW,Hagelin J,0
New Castle,09-04,President,,REFORM,Buchanan P,2
New Castle,10-04,President,,DEMOCRATIC,Gore A,442
New Castle,10-04,President,,REPUBLICAN,Bush G W,107
New Castle,10-04,President,,CONSTITUTN,Phillips H,0
New Castle,10-04,President,,GREEN,Nader R,11
New Castle,10-04,President,,LIBERTARIN,Browne H,3
New Castle,10-04,President,,NATURAL LW,Hagelin J,0
New Castle,10-04,President,,REFORM,Buchanan P,0
New Castle,11-04,President,,DEMOCRATIC,Gore A,309
New Castle,11-04,President,,REPUBLICAN,Bush G W,559
New Castle,11-04,President,,CONSTITUTN,Phillips H,1
New Castle,11-04,President,,GREEN,Nader R,21
New Castle,11-04,President,,LIBERTARIN,Browne H,3
New Castle,11-04,President,,NATURAL LW,Hagelin J,1
New Castle,11-04,President,,REFORM,Buchanan P,0
New Castle,12-04,President,,DEMOCRATIC,Gore A,74
New Castle,12-04,President,,REPUBLICAN,Bush G W,57
New Castle,12-04,President,,CONSTITUTN,Phillips H,0
New Castle,12-04,President,,GREEN,Nader R,3
New Castle,12-04,President,,LIBERTARIN,Browne H,0
New Castle,12-04,President,,NATURAL LW,Hagelin J,0
New Castle,12-04,President,,REFORM,Buchanan P,0
New Castle,13-04,President,,DEMOCRATIC,Gore A,129
New Castle,13-04,President,,REPUBLICAN,Bush G W,21
New Castle,13-04,President,,CONSTITUTN,Phillips H,0
New Castle,13-04,President,,GREEN,Nader R,1
New Castle,13-04,President,,LIBERTARIN,Browne H,1
New Castle,13-04,President,,NATURAL LW,Hagelin J,0
New Castle,13-04,President,,REFORM,Buchanan P,0
New Castle,14-04,President,,DEMOCRATIC,Gore A,128
New Castle,14-04,President,,REPUBLICAN,Bush G W,180
New Castle,14-04,President,,CONSTITUTN,Phillips H,0
New Castle,14-04,President,,GREEN,Nader R,8
New Castle,14-04,President,,LIBERTARIN,Browne H,1
New Castle,14-04,President,,NATURAL LW,Hagelin J,0
New Castle,14-04,President,,REFORM,Buchanan P,0
New Castle,15-04,President,,DEMOCRATIC,Gore A,215
New Castle,15-04,President,,REPUBLICAN,Bush G W,156
New Castle,15-04,President,,CONSTITUTN,Phillips H,0
New Castle,15-04,President,,GREEN,Nader R,14
New Castle,15-04,President,,LIBERTARIN,Browne H,0
New Castle,15-04,President,,NATURAL LW,Hagelin J,0
New Castle,15-04,President,,REFORM,Buchanan P,1
New Castle,16-04,President,,DEMOCRATIC,Gore A,130
New Castle,16-04,President,,REPUBLICAN,Bush G W,30
New Castle,16-04,President,,CONSTITUTN,Phillips H,1
New Castle,16-04,President,,GREEN,Nader R,4
New Castle,16-04,President,,LIBERTARIN,Browne H,0
New Castle,16-04,President,,NATURAL LW,Hagelin J,1
New Castle,16-04,President,,REFORM,Buchanan P,0
New Castle,01-05,President,,DEMOCRATIC,Gore A,369
New Castle,01-05,President,,REPUBLICAN,Bush G W,78
New Castle,01-05,President,,CONSTITUTN,Phillips H,0
New Castle,01-05,President,,GREEN,Nader R,5
New Castle,01-05,President,,LIBERTARIN,Browne H,1
New Castle,01-05,President,,NATURAL LW,Hagelin J,0
New Castle,01-05,President,,REFORM,Buchanan P,0
New Castle,02-05,President,,DEMOCRATIC,Gore A,425
New Castle,02-05,President,,REPUBLICAN,Bush G W,187
New Castle,02-05,President,,CONSTITUTN,Phillips H,0
New Castle,02-05,President,,GREEN,Nader R,26
New Castle,02-05,President,,LIBERTARIN,Browne H,0
New Castle,02-05,President,,NATURAL LW,Hagelin J,2
New Castle,02-05,President,,REFORM,Buchanan P,2
New Castle,03-05,President,,DEMOCRATIC,Gore A,661
New Castle,03-05,President,,REPUBLICAN,Bush G W,148
New Castle,03-05,President,,CONSTITUTN,Phillips H,0
New Castle,03-05,President,,GREEN,Nader R,27
New Castle,03-05,President,,LIBERTARIN,Browne H,2
