county,election_district,office,district,party,candidate,votes
New Castle,01-01,Governor,,REPUBLICAN,Burris J M,32
New Castle,01-01,Governor,,REPUBLICAN,Lee W S,18
New Castle,02-01,Governor,,REPUBLICAN,Burris J M,15
New Castle,02-01,Governor,,REPUBLICAN,Lee W S,11
New Castle,03-01,Governor,,REPUBLICAN,Burris J M,7
New Castle,03-01,Governor,,REPUBLICAN,Lee W S,4
New Castle,04-01,Governor,,REPUBLICAN,Burris J M,12
New Castle,04-01,Governor,,REPUBLICAN,Lee W S,7
New Castle,05-01,Governor,,REPUBLICAN,Burris J M,27
New Castle,05-01,Governor,,REPUBLICAN,Lee W S,40
New Castle,06-01,Governor,,REPUBLICAN,Burris J M,49
New Castle,06-01,Governor,,REPUBLICAN,Lee W S,53
New Castle,09-01,Governor,,REPUBLICAN,Burris J M,2
New Castle,09-01,Governor,,REPUBLICAN,Lee W S,7
New Castle,11-01,Governor,,REPUBLICAN,Burris J M,1
New Castle,11-01,Governor,,REPUBLICAN,Lee W S,0
New Castle,12-01,Governor,,REPUBLICAN,Burris J M,8
New Castle,12-01,Governor,,REPUBLICAN,Lee W S,15
New Castle,13-01,Governor,,REPUBLICAN,Burris J M,17
New Castle,13-01,Governor,,REPUBLICAN,Lee W S,7
New Castle,01-02,Governor,,REPUBLICAN,Burris J M,6
New Castle,01-02,Governor,,REPUBLICAN,Lee W S,6
New Castle,02-02,Governor,,REPUBLICAN,Burris J M,3
New Castle,02-02,Governor,,REPUBLICAN,Lee W S,7
New Castle,03-02,Governor,,REPUBLICAN,Burris J M,0
New Castle,03-02,Governor,,REPUBLICAN,Lee W S,0
New Castle,04-02,Governor,,REPUBLICAN,Burris J M,14
New Castle,04-02,Governor,,REPUBLICAN,Lee W S,4
New Castle,05-02,Governor,,REPUBLICAN,Burris J M,3
New Castle,05-02,Governor,,REPUBLICAN,Lee W S,3
New Castle,06-02,Governor,,REPUBLICAN,Burris J M,9
New Castle,06-02,Governor,,REPUBLICAN,Lee W S,7
New Castle,08-02,Governor,,REPUBLICAN,Burris J M,1
New Castle,08-02,Governor,,REPUBLICAN,Lee W S,5
New Castle,09-02,Governor,,REPUBLICAN,Burris J M,7
New Castle,09-02,Governor,,REPUBLICAN,Lee W S,12
New Castle,10-02,Governor,,REPUBLICAN,Burris J M,14
New Castle,10-02,Governor,,REPUBLICAN,Lee W S,17
New Castle,11-02,Governor,,REPUBLICAN,Burris J M,3
New Castle,11-02,Governor,,REPUBLICAN,Lee W S,2
New Castle,12-02,Governor,,REPUBLICAN,Burris J M,2
New Castle,12-02,Governor,,REPUBLICAN,Lee W S,3
