county,election_district,office,district,party,candidate,election_day,absentee,votes
Sussex,01-35,State Senate,19,DEMOCRATIC,Mervine P,289,5,294
Sussex,01-35,State Senate,19,REPUBLICAN,Booth J W,370,9,379
Sussex,01-35,State Senate,19,IND OF DEL,Opaliski M,83,3,86
Sussex,01-35,State Senate,19,LIBERTARIN,Jones G M,2,0,2
Sussex,02-35,State Senate,19,DEMOCRATIC,Mervine P,506,31,537
Sussex,02-35,State Senate,19,REPUBLICAN,Booth J W,663,26,689
Sussex,02-35,State Senate,19,IND OF DEL,Opaliski M,62,0,62
Sussex,02-35,State Senate,19,LIBERTARIN,Jones G M,7,1,8
Sussex,03-35,State Senate,19,DEMOCRATIC,Mervine P,59,5,64
Sussex,03-35,State Senate,19,REPUBLICAN,Booth J W,75,4,79
Sussex,03-35,State Senate,19,IND OF DEL,Opaliski M,7,0,7
Sussex,03-35,State Senate,19,LIBERTARIN,Jones G M,1,0,1
Sussex,04-35,State Senate,19,DEMOCRATIC,Mervine P,155,5,160
Sussex,04-35,State Senate,19,REPUBLICAN,Booth J W,309,25,334
Sussex,04-35,State Senate,19,IND OF DEL,Opaliski M,48,0,48
Sussex,04-35,State Senate,19,LIBERTARIN,Jones G M,3,0,3
Sussex,06-35,State Senate,19,DEMOCRATIC,Mervine P,82,5,87
Sussex,06-35,State Senate,19,REPUBLICAN,Booth J W,153,5,158
Sussex,06-35,State Senate,19,IND OF DEL,Opaliski M,25,1,26
Sussex,06-35,State Senate,19,LIBERTARIN,Jones G M,5,0,5
Sussex,07-35,State Senate,19,DEMOCRATIC,Mervine P,26,1,27
Sussex,07-35,State Senate,19,REPUBLICAN,Booth J W,90,3,93
Sussex,07-35,State Senate,19,IND OF DEL,Opaliski M,4,0,4
Sussex,07-35,State Senate,19,LIBERTARIN,Jones G M,0,2,2
Sussex,04-36,State Senate,19,DEMOCRATIC,Mervine P,134,2,136
Sussex,04-36,State Senate,19,REPUBLICAN,Booth J W,214,5,219
Sussex,04-36,State Senate,19,IND OF DEL,Opaliski M,27,0,27
Sussex,04-36,State Senate,19,LIBERTARIN,Jones G M,9,0,9
Sussex,05-36,State Senate,19,DEMOCRATIC,Mervine P,48,1,49
Sussex,05-36,State Senate,19,REPUBLICAN,Booth J W,85,4,89
Sussex,05-36,State Senate,19,IND OF DEL,Opaliski M,12,0,12
Sussex,05-36,State Senate,19,LIBERTARIN,Jones G M,0,0,0
Sussex,06-36,State Senate,19,DEMOCRATIC,Mervine P,176,19,195
Sussex,06-36,State Senate,19,REPUBLICAN,Booth J W,319,16,335
Sussex,06-36,State Senate,19,IND OF DEL,Opaliski M,31,0,31
Sussex,06-36,State Senate,19,LIBERTARIN,Jones G M,13,0,13
Sussex,08-36,State Senate,19,DEMOCRATIC,Mervine P,86,9,95
Sussex,08-36,State Senate,19,REPUBLICAN,Booth J W,140,6,146
Sussex,08-36,State Senate,19,IND OF DEL,Opaliski M,17,0,17
Sussex,08-36,State Senate,19,LIBERTARIN,Jones G M,3,0,3
Sussex,04-37,State Senate,19,DEMOCRATIC,Mervine P,32,2,34
Sussex,04-37,State Senate,19,REPUBLICAN,Booth J W,109,4,113
Sussex,04-37,State Senate,19,IND OF DEL,Opaliski M,22,0,22
Sussex,04-37,State Senate,19,LIBERTARIN,Jones G M,0,0,0
Sussex,05-37,State Senate,19,DEMOCRATIC,Mervine P,77,3,80
Sussex,05-37,State Senate,19,REPUBLICAN,Booth J W,416,38,454
Sussex,05-37,State Senate,19,IND OF DEL,Opaliski M,12,0,12
Sussex,05-37,State Senate,19,LIBERTARIN,Jones G M,3,1,4
Sussex,06-37,State Senate,19,DEMOCRATIC,Mervine P,140,13,153
Sussex,06-37,State Senate,19,REPUBLICAN,Booth J W,692,64,756
Sussex,06-37,State Senate,19,IND OF DEL,Opaliski M,29,0,29
Sussex,06-37,State Senate,19,LIBERTARIN,Jones G M,3,2,5
Sussex,08-37,State Senate,19,DEMOCRATIC,Mervine P,20,1,21
Sussex,08-37,State Senate,19,REPUBLICAN,Booth J W,75,4,79
Sussex,08-37,State Senate,19,IND OF DEL,Opaliski M,3,0,3
Sussex,08-37,State Senate,19,LIBERTARIN,Jones G M,0,0,0
Sussex,01-39,State Senate,19,DEMOCRATIC,Mervine P,67,5,72
Sussex,01-39,State Senate,19,REPUBLICAN,Booth J W,132,8,140
Sussex,01-39,State Senate,19,IND OF DEL,Opaliski M,12,0,12
Sussex,01-39,State Senate,19,LIBERTARIN,Jones G M,1,0,1
Sussex,03-39,State Senate,19,DEMOCRATIC,Mervine P,79,2,81
Sussex,03-39,State Senate,19,REPUBLICAN,Booth J W,263,9,272
Sussex,03-39,State Senate,19,IND OF DEL,Opaliski M,10,0,10
Sussex,03-39,State Senate,19,LIBERTARIN,Jones G M,0,0,0
Sussex,Total,State Senate,19,DEMOCRATIC,Mervine P,1976,109,2085
Sussex,Total,State Senate,19,REPUBLICAN,Booth J W,4105,230,4335
Sussex,Total,State Senate,19,IND OF DEL,Opaliski M,404,4,408
Sussex,Total,State Senate,19,LIBERTARIN,Jones G M,50,6,56
