county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,01-07,State Assembly,7,DEMOCRATIC,Short B,127,1,128
New Castle,01-07,State Assembly,7,REPUBLICAN,Bowers J,125,0,125
New Castle,02-07,State Assembly,7,DEMOCRATIC,Short B,173,6,179
New Castle,02-07,State Assembly,7,REPUBLICAN,Bowers J,220,9,229
New Castle,03-07,State Assembly,7,DEMOCRATIC,Short B,198,7,205
New Castle,03-07,State Assembly,7,REPUBLICAN,Bowers J,213,7,220
New Castle,04-07,State Assembly,7,DEMOCRATIC,Short B,131,2,133
New Castle,04-07,State Assembly,7,REPUBLICAN,Bowers J,38,1,39
New Castle,05-07,State Assembly,7,DEMOCRATIC,Short B,273,8,281
New Castle,05-07,State Assembly,7,REPUBLICAN,Bowers J,38,2,40
New Castle,06-07,State Assembly,7,DEMOCRATIC,Short B,273,5,278
New Castle,06-07,State Assembly,7,REPUBLICAN,Bowers J,186,12,198
New Castle,07-07,State Assembly,7,DEMOCRATIC,Short B,183,3,186
New Castle,07-07,State Assembly,7,REPUBLICAN,Bowers J,85,1,86
New Castle,08-07,State Assembly,7,DEMOCRATIC,Short B,149,5,154
New Castle,08-07,State Assembly,7,REPUBLICAN,Bowers J,156,8,164
New Castle,09-07,State Assembly,7,DEMOCRATIC,Short B,72,3,75
New Castle,09-07,State Assembly,7,REPUBLICAN,Bowers J,79,1,80
New Castle,10-07,State Assembly,7,DEMOCRATIC,Short B,139,5,144
New Castle,10-07,State Assembly,7,REPUBLICAN,Bowers J,148,7,155
New Castle,11-07,State Assembly,7,DEMOCRATIC,Short B,124,5,129
New Castle,11-07,State Assembly,7,REPUBLICAN,Bowers J,173,4,177
New Castle,12-07,State Assembly,7,DEMOCRATIC,Short B,166,9,175
New Castle,12-07,State Assembly,7,REPUBLICAN,Bowers J,278,8,286
New Castle,13-07,State Assembly,7,DEMOCRATIC,Short B,189,5,194
New Castle,13-07,State Assembly,7,REPUBLICAN,Bowers J,215,12,227
New Castle,14-07,State Assembly,7,DEMOCRATIC,Short B,14,0,14
New Castle,14-07,State Assembly,7,REPUBLICAN,Bowers J,21,1,22
New Castle,Total,State Assembly,7,DEMOCRATIC,Short B,2211,64,2275
New Castle,Total,State Assembly,7,REPUBLICAN,Bowers J,1975,73,2048
