county,election_district,office,district,party,candidate,votes
Sussex,01-41,State Assembly,41,DEMOCRATIC,Bullock Lynn R,185
Sussex,02-41,State Assembly,41,DEMOCRATIC,Bullock Lynn R,163
Sussex,03-41,State Assembly,41,DEMOCRATIC,Bullock Lynn R,130
Sussex,04-41,State Assembly,41,DEMOCRATIC,Bullock Lynn R,189
Sussex,05-41,State Assembly,41,DEMOCRATIC,Bullock Lynn R,256
Sussex,06-41,State Assembly,41,DEMOCRATIC,Bullock Lynn R,116
Sussex,07-41,State Assembly,41,DEMOCRATIC,Bullock Lynn R,244
Sussex,08-41,State Assembly,41,DEMOCRATIC,Bullock Lynn R,251
Sussex,09-41,State Assembly,41,DEMOCRATIC,Bullock Lynn R,42
Sussex,Total,State Assembly,41,DEMOCRATIC,Bullock Lynn R,1576
Sussex,01-41,State Assembly,41,REPUBLICAN,HASTINGS GREGORY A.,262
Sussex,02-41,State Assembly,41,REPUBLICAN,HASTINGS GREGORY A.,223
Sussex,03-41,State Assembly,41,REPUBLICAN,HASTINGS GREGORY A.,121
Sussex,04-41,State Assembly,41,REPUBLICAN,HASTINGS GREGORY A.,182
Sussex,05-41,State Assembly,41,REPUBLICAN,HASTINGS GREGORY A.,277
Sussex,06-41,State Assembly,41,REPUBLICAN,HASTINGS GREGORY A.,123
Sussex,07-41,State Assembly,41,REPUBLICAN,HASTINGS GREGORY A.,298
Sussex,08-41,State Assembly,41,REPUBLICAN,HASTINGS GREGORY A.,237
Sussex,09-41,State Assembly,41,REPUBLICAN,HASTINGS GREGORY A.,47
Sussex,Total,State Assembly,41,REPUBLICAN,HASTINGS GREGORY A.,1770
Sussex,01-41,State Assembly,41,INDEPENDENT,BURTON JR. JOHN M.,19
Sussex,02-41,State Assembly,41,INDEPENDENT,BURTON JR. JOHN M.,20
Sussex,03-41,State Assembly,41,INDEPENDENT,BURTON JR. JOHN M.,6
Sussex,04-41,State Assembly,41,INDEPENDENT,BURTON JR. JOHN M.,11
Sussex,05-41,State Assembly,41,INDEPENDENT,BURTON JR. JOHN M.,28
Sussex,06-41,State Assembly,41,INDEPENDENT,BURTON JR. JOHN M.,28
Sussex,07-41,State Assembly,41,INDEPENDENT,BURTON JR. JOHN M.,49
Sussex,08-41,State Assembly,41,INDEPENDENT,BURTON JR. JOHN M.,57
Sussex,09-41,State Assembly,41,INDEPENDENT,BURTON JR. JOHN M.,7
Sussex,Total,State Assembly,41,INDEPENDENT,BURTON JR. JOHN M.,225
Sussex,01-41,State Assembly,41,Write-in,John Adkins,150
Sussex,02-41,State Assembly,41,Write-in,John Adkins,84
Sussex,03-41,State Assembly,41,Write-in,John Adkins,32
Sussex,04-41,State Assembly,41,Write-in,John Adkins,93
Sussex,05-41,State Assembly,41,Write-in,John Adkins,96
Sussex,06-41,State Assembly,41,Write-in,John Adkins,43
Sussex,07-41,State Assembly,41,Write-in,John Adkins,50
Sussex,08-41,State Assembly,41,Write-in,John Adkins,29
Sussex,09-41,State Assembly,41,Write-in,John Adkins,7
Sussex,Total,State Assembly,41,Write-in,John Adkins,584
Sussex,04-41,State Assembly,41,Write-in,Robert Johnson,1
Sussex,05-41,State Assembly,41,Write-in,Bruce Collum,1
Sussex,08-41,State Assembly,41,Write-in,Henry Mc Goul,1
Sussex,01-41,State Assembly,41,Write-in,G. G. Messick,1
Sussex,01-41,State Assembly,41,Write-in,Greg Hastings,1
Sussex,01-41,State Assembly,41,Write-in,Greg Hastings,1
