county,election_district,office,district,party,candidate,votes
New Castle,01-18,State Assembly,18,DEMOCRATIC,BENTZ D,89
New Castle,01-18,State Assembly,18,REPUBLICAN,OSHAUGHNES,103
New Castle,01-18,State Assembly,18,,Total,192
New Castle,02-18,State Assembly,18,DEMOCRATIC,BENTZ D,71
New Castle,02-18,State Assembly,18,REPUBLICAN,OSHAUGHNES,115
New Castle,02-18,State Assembly,18,,Total,186
New Castle,03-18,State Assembly,18,DEMOCRATIC,BENTZ D,52
New Castle,03-18,State Assembly,18,REPUBLICAN,OSHAUGHNES,20
New Castle,03-18,State Assembly,18,,Total,72
New Castle,04-18,State Assembly,18,DEMOCRATIC,BENTZ D,173
New Castle,04-18,State Assembly,18,REPUBLICAN,OSHAUGHNES,116
New Castle,04-18,State Assembly,18,,Total,289
New Castle,05-18,State Assembly,18,DEMOCRATIC,BENTZ D,87
New Castle,05-18,State Assembly,18,REPUBLICAN,OSHAUGHNES,64
New Castle,05-18,State Assembly,18,,Total,151
New Castle,06-18,State Assembly,18,DEMOCRATIC,BENTZ D,93
New Castle,06-18,State Assembly,18,REPUBLICAN,OSHAUGHNES,60
New Castle,06-18,State Assembly,18,,Total,153
New Castle,07-18,State Assembly,18,DEMOCRATIC,BENTZ D,68
New Castle,07-18,State Assembly,18,REPUBLICAN,OSHAUGHNES,56
New Castle,07-18,State Assembly,18,,Total,124
New Castle,08-18,State Assembly,18,DEMOCRATIC,BENTZ D,85
New Castle,08-18,State Assembly,18,REPUBLICAN,OSHAUGHNES,69
New Castle,08-18,State Assembly,18,,Total,154
New Castle,09-18,State Assembly,18,DEMOCRATIC,BENTZ D,155
New Castle,09-18,State Assembly,18,REPUBLICAN,OSHAUGHNES,63
New Castle,09-18,State Assembly,18,,Total,218
New Castle,10-18,State Assembly,18,DEMOCRATIC,BENTZ D,21
New Castle,10-18,State Assembly,18,REPUBLICAN,OSHAUGHNES,17
New Castle,10-18,State Assembly,18,,Total,38
