county,election_district,,,,,
Sussex,01-35,,,,,
Sussex,02-35,,,,,
Sussex,03-35,,,,,
Sussex,04-35,,,,,
Sussex,05-35,,,,,
Sussex,06-35,,,,,
Sussex,07-35,,,,,
Sussex,01-36,,,,,
Sussex,02-36,,,,,
Sussex,03-36,,,,,
Sussex,04-36,,,,,
Sussex,05-36,,,,,
Sussex,06-36,,,,,
Sussex,07-36,,,,,
Sussex,08-36,,,,,
Sussex,01-37,,,,,
Sussex,02-37,,,,,
Sussex,03-37,,,,,
Sussex,04-37,,,,,
Sussex,05-37,,,,,
Sussex,06-37,,,,,
Sussex,07-37,,,,,
Sussex,08-37,,,,,
Sussex,01-38,,,,,
Sussex,02-38,,,,,
Sussex,03-38,,,,,
Sussex,04-38,,,,,
Sussex,05-38,,,,,
Sussex,06-38,,,,,
Sussex,07-38,,,,,
Sussex,08-38,,,,,
Sussex,01-39,,,,,
Sussex,02-39,,,,,
Sussex,03-39,,,,,
Sussex,04-39,,,,,
Sussex,05-39,,,,,
Sussex,06-39,,,,,
Sussex,07-39,,,,,
Sussex,01-40,,,,,
Sussex,02-40,,,,,
Sussex,03-40,,,,,
Sussex,04-40,,,,,
Sussex,05-40,,,,,
Sussex,06-40,,,,,
Sussex,07-40,,,,,
Sussex,01-41,,,,,
Sussex,02-41,,,,,
Sussex,03-41,,,,,
Sussex,04-41,,,,,
Sussex,05-41,,,,,
Sussex,06-41,,,,,
Sussex,07-41,,,,,
Sussex,08-41,,,,,
Sussex,09-41,,,,,
Sussex,16-41,,,,,
