county,election_district,,,,,
New Castle,01-01,,,,,
New Castle,02-01,,,,,
New Castle,03-01,,,,,
New Castle,04-01,,,,,
New Castle,05-01,,,,,
New Castle,06-01,,,,,
New Castle,07-01,,,,,
New Castle,08-01,,,,,
New Castle,09-01,,,,,
New Castle,10-01,,,,,
New Castle,11-01,,,,,
New Castle,01-02,,,,,
New Castle,02-02,,,,,
New Castle,03-02,,,,,
New Castle,04-02,,,,,
New Castle,05-02,,,,,
New Castle,06-02,,,,,
New Castle,07-02,,,,,
New Castle,08-02,,,,,
New Castle,09-02,,,,,
New Castle,10-02,,,,,
New Castle,11-02,,,,,
New Castle,12-02,,,,,
New Castle,13-02,,,,,
New Castle,14-02,,,,,
New Castle,15-02,,,,,
New Castle,16-02,,,,,
New Castle,17-02,,,,,
New Castle,01-03,,,,,
New Castle,02-03,,,,,
New Castle,03-03,,,,,
New Castle,04-03,,,,,
New Castle,05-03,,,,,
New Castle,06-03,,,,,
New Castle,07-03,,,,,
New Castle,08-03,,,,,
New Castle,09-03,,,,,
New Castle,10-03,,,,,
New Castle,11-03,,,,,
New Castle,12-03,,,,,
New Castle,01-04,,,,,
New Castle,02-04,,,,,
New Castle,03-04,,,,,
New Castle,04-04,,,,,
New Castle,05-04,,,,,
New Castle,06-04,,,,,
New Castle,07-04,,,,,
New Castle,08-04,,,,,
New Castle,09-04,,,,,
New Castle,10-04,,,,,
New Castle,11-04,,,,,
New Castle,12-04,,,,,
New Castle,13-04,,,,,
New Castle,14-04,,,,,
New Castle,15-04,,,,,
New Castle,16-04,,,,,
New Castle,17-04,,,,,
New Castle,18-04,,,,,
New Castle,19-04,,,,,
New Castle,01-05,,,,,
New Castle,02-05,,,,,
New Castle,03-05,,,,,
New Castle,04-05,,,,,
New Castle,05-05,,,,,
New Castle,06-05,,,,,
New Castle,07-05,,,,,
New Castle,08-05,,,,,
New Castle,09-05,,,,,
New Castle,10-05,,,,,
New Castle,11-05,,,,,
New Castle,01-06,,,,,
New Castle,02-06,,,,,
New Castle,03-06,,,,,
New Castle,04-06,,,,,
New Castle,05-06,,,,,
New Castle,06-06,,,,,
New Castle,07-06,,,,,
New Castle,08-06,,,,,
New Castle,09-06,,,,,
New Castle,10-06,,,,,
New Castle,11-06,,,,,
New Castle,12-06,,,,,
New Castle,01-07,,,,,
New Castle,02-07,,,,,
New Castle,03-07,,,,,
New Castle,04-07,,,,,
New Castle,05-07,,,,,
New Castle,06-07,,,,,
New Castle,07-07,,,,,
New Castle,08-07,,,,,
New Castle,09-07,,,,,
New Castle,10-07,,,,,
New Castle,11-07,,,,,
New Castle,12-07,,,,,
New Castle,13-07,,,,,
New Castle,14-07,,,,,
New Castle,01-08,,,,,
New Castle,02-08,,,,,
New Castle,03-08,,,,,
New Castle,04-08,,,,,
New Castle,05-08,,,,,
New Castle,06-08,,,,,
New Castle,07-08,,,,,
New Castle,08-08,,,,,
New Castle,01-09,,,,,
New Castle,02-09,,,,,
New Castle,03-09,,,,,
New Castle,04-09,,,,,
New Castle,05-09,,,,,
New Castle,06-09,,,,,
New Castle,07-09,,,,,
New Castle,08-09,,,,,
New Castle,09-09,,,,,
New Castle,10-09,,,,,
New Castle,01-10,,,,,
New Castle,02-10,,,,,
New Castle,03-10,,,,,
New Castle,04-10,,,,,
New Castle,05-10,,,,,
New Castle,06-10,,,,,
New Castle,07-10,,,,,
New Castle,08-10,,,,,
New Castle,09-10,,,,,
New Castle,10-10,,,,,
New Castle,11-10,,,,,
New Castle,12-10,,,,,
New Castle,01-11,,,,,
New Castle,02-11,,,,,
New Castle,03-11,,,,,
New Castle,04-11,,,,,
New Castle,05-11,,,,,
New Castle,06-11,,,,,
New Castle,07-11,,,,,
New Castle,08-11,,,,,
New Castle,09-11,,,,,
New Castle,10-11,,,,,
New Castle,11-11,,,,,
New Castle,12-11,,,,,
New Castle,13-11,,,,,
New Castle,14-11,,,,,
New Castle,01-12,,,,,
New Castle,02-12,,,,,
New Castle,03-12,,,,,
New Castle,04-12,,,,,
New Castle,05-12,,,,,
New Castle,06-12,,,,,
New Castle,07-12,,,,,
New Castle,08-12,,,,,
New Castle,09-12,,,,,
New Castle,10-12,,,,,
New Castle,11-12,,,,,
New Castle,12-12,,,,,
New Castle,01-13,,,,,
New Castle,02-13,,,,,
New Castle,03-13,,,,,
New Castle,04-13,,,,,
New Castle,05-13,,,,,
New Castle,06-13,,,,,
New Castle,07-13,,,,,
New Castle,08-13,,,,,
New Castle,09-13,,,,,
New Castle,10-13,,,,,
New Castle,11-13,,,,,
New Castle,12-13,,,,,
New Castle,01-15,,,,,
New Castle,02-15,,,,,
New Castle,03-15,,,,,
New Castle,04-15,,,,,
New Castle,05-15,,,,,
New Castle,06-15,,,,,
New Castle,07-15,,,,,
New Castle,08-15,,,,,
New Castle,09-15,,,,,
New Castle,01-16,,,,,
New Castle,02-16,,,,,
New Castle,03-16,,,,,
New Castle,04-16,,,,,
New Castle,05-16,,,,,
New Castle,06-16,,,,,
New Castle,07-16,,,,,
New Castle,08-16,,,,,
New Castle,09-16,,,,,
New Castle,10-16,,,,,
New Castle,11-16,,,,,
New Castle,01-17,,,,,
New Castle,02-17,,,,,
New Castle,03-17,,,,,
New Castle,04-17,,,,,
New Castle,05-17,,,,,
New Castle,06-17,,,,,
New Castle,07-17,,,,,
New Castle,08-17,,,,,
New Castle,09-17,,,,,
New Castle,10-17,,,,,
New Castle,11-17,,,,,
New Castle,12-17,,,,,
New Castle,01-18,,,,,
New Castle,02-18,,,,,
New Castle,03-18,,,,,
New Castle,04-18,,,,,
New Castle,05-18,,,,,
New Castle,06-18,,,,,
New Castle,07-18,,,,,
New Castle,08-18,,,,,
New Castle,09-18,,,,,
New Castle,10-18,,,,,
New Castle,11-18,,,,,
New Castle,01-19,,,,,
New Castle,02-19,,,,,
New Castle,03-19,,,,,
New Castle,04-19,,,,,
New Castle,05-19,,,,,
New Castle,06-19,,,,,
New Castle,07-19,,,,,
New Castle,08-19,,,,,
New Castle,09-19,,,,,
New Castle,10-19,,,,,
New Castle,11-19,,,,,
New Castle,01-20,,,,,
New Castle,02-20,,,,,
New Castle,03-20,,,,,
New Castle,04-20,,,,,
New Castle,05-20,,,,,
New Castle,06-20,,,,,
New Castle,07-20,,,,,
New Castle,08-20,,,,,
New Castle,09-20,,,,,
New Castle,10-20,,,,,
New Castle,11-20,,,,,
New Castle,12-20,,,,,
New Castle,13-20,,,,,
New Castle,01-21,,,,,
New Castle,02-21,,,,,
New Castle,03-21,,,,,
New Castle,04-21,,,,,
New Castle,05-21,,,,,
New Castle,06-21,,,,,
New Castle,07-21,,,,,
New Castle,08-21,,,,,
New Castle,09-21,,,,,
New Castle,10-21,,,,,
New Castle,11-21,,,,,
New Castle,12-21,,,,,
New Castle,13-21,,,,,
New Castle,14-21,,,,,
New Castle,01-22,,,,,
New Castle,02-22,,,,,
New Castle,03-22,,,,,
New Castle,04-22,,,,,
New Castle,05-22,,,,,
New Castle,06-22,,,,,
New Castle,07-22,,,,,
New Castle,08-22,,,,,
New Castle,09-22,,,,,
New Castle,10-22,,,,,
New Castle,11-22,,,,,
New Castle,12-22,,,,,
New Castle,13-22,,,,,
New Castle,14-22,,,,,
New Castle,01-23,,,,,
New Castle,02-23,,,,,
New Castle,03-23,,,,,
New Castle,04-23,,,,,
New Castle,05-23,,,,,
New Castle,06-23,,,,,
New Castle,07-23,,,,,
New Castle,08-23,,,,,
New Castle,09-23,,,,,
New Castle,10-23,,,,,
New Castle,01-24,,,,,
New Castle,02-24,,,,,
New Castle,03-24,,,,,
New Castle,04-24,,,,,
New Castle,05-24,,,,,
New Castle,06-24,,,,,
New Castle,07-24,,,,,
New Castle,08-24,,,,,
New Castle,09-24,,,,,
New Castle,01-25,,,,,
New Castle,02-25,,,,,
New Castle,03-25,,,,,
New Castle,04-25,,,,,
New Castle,05-25,,,,,
New Castle,06-25,,,,,
New Castle,07-25,,,,,
New Castle,08-25,,,,,
New Castle,09-25,,,,,
New Castle,01-26,,,,,
New Castle,02-26,,,,,
New Castle,03-26,,,,,
New Castle,04-26,,,,,
New Castle,05-26,,,,,
New Castle,06-26,,,,,
New Castle,07-26,,,,,
New Castle,08-26,,,,,
New Castle,09-26,,,,,
New Castle,01-27,,,,,
New Castle,02-27,,,,,
New Castle,03-27,,,,,
New Castle,04-27,,,,,
New Castle,05-27,,,,,
New Castle,06-27,,,,,
New Castle,07-27,,,,,
New Castle,08-27,,,,,
New Castle,09-27,,,,,
New Castle,10-27,,,,,
Kent,09-08,,,,,
Kent,10-08,,,,,
Kent,11-08,,,,,
Kent,12-08,,,,,
Kent,01-28,,,,,
Kent,02-28,,,,,
Kent,03-28,,,,,
Kent,04-28,,,,,
Kent,05-28,,,,,
Kent,06-28,,,,,
Kent,07-28,,,,,
Kent,08-28,,,,,
Kent,09-28,,,,,
Kent,10-28,,,,,
Kent,11-28,,,,,
Kent,12-28,,,,,
Kent,13-28,,,,,
Kent,14-28,,,,,
Kent,01-29,,,,,
Kent,02-29,,,,,
Kent,03-29,,,,,
Kent,04-29,,,,,
Kent,05-29,,,,,
Kent,06-29,,,,,
Kent,07-29,,,,,
Kent,01-30,,,,,
Kent,02-30,,,,,
Kent,03-30,,,,,
Kent,04-30,,,,,
Kent,05-30,,,,,
Kent,06-30,,,,,
Kent,07-30,,,,,
Kent,01-31,,,,,
Kent,02-31,,,,,
Kent,03-31,,,,,
Kent,04-31,,,,,
Kent,05-31,,,,,
Kent,06-31,,,,,
Kent,07-31,,,,,
Kent,16-31,,,,,
Kent,01-32,,,,,
Kent,02-32,,,,,
Kent,03-32,,,,,
Kent,04-32,,,,,
Kent,05-32,,,,,
Kent,06-32,,,,,
Kent,07-32,,,,,
Kent,08-32,,,,,
Kent,09-32,,,,,
Kent,10-32,,,,,
Kent,01-33,,,,,
Kent,02-33,,,,,
Kent,03-33,,,,,
Kent,04-33,,,,,
Kent,05-33,,,,,
Kent,06-33,,,,,
Kent,07-33,,,,,
Kent,08-33,,,,,
Kent,01-34,,,,,
Kent,02-34,,,,,
Kent,03-34,,,,,
Kent,04-34,,,,,
Kent,05-34,,,,,
Kent,06-34,,,,,
Kent,07-34,,,,,
Kent,08-34,,,,,
Kent,09-34,,,,,
Kent,10-34,,,,,
Sussex,01-14,,,,,
Sussex,02-14,,,,,
Sussex,03-14,,,,,
Sussex,04-14,,,,,
Sussex,05-14,,,,,
Sussex,06-14,,,,,
Sussex,07-14,,,,,
Sussex,08-30,,,,,
Sussex,09-33,,,,,
Sussex,10-33,,,,,
