county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,01-01,President,,REPUBLICAN,Gingrich N,11,0,11
New Castle,01-01,President,,REPUBLICAN,Paul R,11,0,11
New Castle,01-01,President,,REPUBLICAN,Romney M,14,2,16
New Castle,01-01,President,,REPUBLICAN,Santorum R,2,0,2
New Castle,02-01,President,,REPUBLICAN,Gingrich N,5,0,5
New Castle,02-01,President,,REPUBLICAN,Paul R,4,2,6
New Castle,02-01,President,,REPUBLICAN,Romney M,10,0,10
New Castle,02-01,President,,REPUBLICAN,Santorum R,5,0,5
New Castle,05-01,President,,REPUBLICAN,Gingrich N,3,1,4
New Castle,05-01,President,,REPUBLICAN,Paul R,5,0,5
New Castle,05-01,President,,REPUBLICAN,Romney M,22,0,22
New Castle,05-01,President,,REPUBLICAN,Santorum R,2,0,2
New Castle,07-01,President,,REPUBLICAN,Gingrich N,1,0,1
New Castle,07-01,President,,REPUBLICAN,Paul R,6,2,8
New Castle,07-01,President,,REPUBLICAN,Romney M,17,0,17
New Castle,07-01,President,,REPUBLICAN,Santorum R,1,0,1
New Castle,09-01,President,,REPUBLICAN,Gingrich N,7,0,7
New Castle,09-01,President,,REPUBLICAN,Paul R,3,0,3
New Castle,09-01,President,,REPUBLICAN,Romney M,3,0,3
New Castle,09-01,President,,REPUBLICAN,Santorum R,3,0,3
New Castle,01-02,President,,REPUBLICAN,Gingrich N,3,0,3
New Castle,01-02,President,,REPUBLICAN,Paul R,1,1,2
New Castle,01-02,President,,REPUBLICAN,Romney M,3,1,4
New Castle,01-02,President,,REPUBLICAN,Santorum R,0,0,0
New Castle,06-02,President,,REPUBLICAN,Gingrich N,5,0,5
New Castle,06-02,President,,REPUBLICAN,Paul R,3,0,3
New Castle,06-02,President,,REPUBLICAN,Romney M,6,0,6
New Castle,06-02,President,,REPUBLICAN,Santorum R,3,0,3
New Castle,10-02,President,,REPUBLICAN,Gingrich N,7,0,7
New Castle,10-02,President,,REPUBLICAN,Paul R,8,0,8
New Castle,10-02,President,,REPUBLICAN,Romney M,23,1,24
New Castle,10-02,President,,REPUBLICAN,Santorum R,4,0,4
New Castle,12-02,President,,REPUBLICAN,Gingrich N,1,0,1
New Castle,12-02,President,,REPUBLICAN,Paul R,1,2,3
New Castle,12-02,President,,REPUBLICAN,Romney M,6,0,6
New Castle,12-02,President,,REPUBLICAN,Santorum R,0,0,0
New Castle,17-02,President,,REPUBLICAN,Gingrich N,0,4,4
New Castle,17-02,President,,REPUBLICAN,Paul R,0,0,0
New Castle,17-02,President,,REPUBLICAN,Romney M,0,5,5
New Castle,17-02,President,,REPUBLICAN,Santorum R,0,2,2
New Castle,01-03,President,,REPUBLICAN,Gingrich N,0,0,0
New Castle,01-03,President,,REPUBLICAN,Paul R,0,0,0
New Castle,01-03,President,,REPUBLICAN,Romney M,3,0,3
New Castle,01-03,President,,REPUBLICAN,Santorum R,0,0,0
New Castle,02-03,President,,REPUBLICAN,Gingrich N,5,0,5
New Castle,02-03,President,,REPUBLICAN,Paul R,0,0,0
New Castle,02-03,President,,REPUBLICAN,Romney M,9,2,11
New Castle,02-03,President,,REPUBLICAN,Santorum R,3,0,3
New Castle,05-03,President,,REPUBLICAN,Gingrich N,0,0,0
New Castle,05-03,President,,REPUBLICAN,Paul R,3,1,4
New Castle,05-03,President,,REPUBLICAN,Romney M,1,0,1
New Castle,05-03,President,,REPUBLICAN,Santorum R,0,0,0
New Castle,08-03,President,,REPUBLICAN,Gingrich N,1,0,1
New Castle,08-03,President,,REPUBLICAN,Paul R,3,0,3
New Castle,08-03,President,,REPUBLICAN,Romney M,7,1,8
New Castle,08-03,President,,REPUBLICAN,Santorum R,2,0,2
New Castle,02-04,President,,REPUBLICAN,Gingrich N,36,2,38
New Castle,02-04,President,,REPUBLICAN,Paul R,34,0,34
New Castle,02-04,President,,REPUBLICAN,Romney M,209,4,213
New Castle,02-04,President,,REPUBLICAN,Santorum R,8,1,9
New Castle,04-04,President,,REPUBLICAN,Gingrich N,15,0,15
New Castle,04-04,President,,REPUBLICAN,Paul R,7,0,7
New Castle,04-04,President,,REPUBLICAN,Romney M,34,5,39
New Castle,04-04,President,,REPUBLICAN,Santorum R,5,2,7
New Castle,05-04,President,,REPUBLICAN,Gingrich N,13,0,13
New Castle,05-04,President,,REPUBLICAN,Paul R,11,1,12
New Castle,05-04,President,,REPUBLICAN,Romney M,150,5,155
New Castle,05-04,President,,REPUBLICAN,Santorum R,4,0,4
New Castle,07-04,President,,REPUBLICAN,Gingrich N,19,1,20
New Castle,07-04,President,,REPUBLICAN,Paul R,17,0,17
New Castle,07-04,President,,REPUBLICAN,Romney M,44,4,48
New Castle,07-04,President,,REPUBLICAN,Santorum R,5,3,8
New Castle,08-04,President,,REPUBLICAN,Gingrich N,3,0,3
New Castle,08-04,President,,REPUBLICAN,Paul R,7,1,8
New Castle,08-04,President,,REPUBLICAN,Romney M,8,0,8
New Castle,08-04,President,,REPUBLICAN,Santorum R,1,0,1
New Castle,10-04,President,,REPUBLICAN,Gingrich N,4,0,4
New Castle,10-04,President,,REPUBLICAN,Paul R,3,0,3
New Castle,10-04,President,,REPUBLICAN,Romney M,10,1,11
New Castle,10-04,President,,REPUBLICAN,Santorum R,0,0,0
New Castle,13-04,President,,REPUBLICAN,Gingrich N,6,2,8
New Castle,13-04,President,,REPUBLICAN,Paul R,4,0,4
New Castle,13-04,President,,REPUBLICAN,Romney M,26,2,28
New Castle,13-04,President,,REPUBLICAN,Santorum R,1,0,1
New Castle,16-04,President,,REPUBLICAN,Gingrich N,14,0,14
New Castle,16-04,President,,REPUBLICAN,Paul R,11,0,11
New Castle,16-04,President,,REPUBLICAN,Romney M,102,3,105
New Castle,16-04,President,,REPUBLICAN,Santorum R,3,1,4
New Castle,01-05,President,,REPUBLICAN,Gingrich N,19,0,19
New Castle,01-05,President,,REPUBLICAN,Paul R,15,0,15
New Castle,01-05,President,,REPUBLICAN,Romney M,37,2,39
New Castle,01-05,President,,REPUBLICAN,Santorum R,5,1,6
New Castle,03-05,President,,REPUBLICAN,Gingrich N,14,0,14
New Castle,03-05,President,,REPUBLICAN,Paul R,14,0,14
New Castle,03-05,President,,REPUBLICAN,Romney M,24,2,26
New Castle,03-05,President,,REPUBLICAN,Santorum R,5,0,5
New Castle,06-05,President,,REPUBLICAN,Gingrich N,31,0,31
New Castle,06-05,President,,REPUBLICAN,Paul R,12,0,12
