county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,01-01,U.S. Senate,,DEMOCRATIC,Carper T,312,12,324
New Castle,01-01,U.S. Senate,,DEMOCRATIC,Spanarelli,16,1,17
New Castle,02-01,U.S. Senate,,DEMOCRATIC,Carper T,528,12,540
New Castle,02-01,U.S. Senate,,DEMOCRATIC,Spanarelli,25,1,26
New Castle,03-01,U.S. Senate,,DEMOCRATIC,Carper T,315,4,319
New Castle,03-01,U.S. Senate,,DEMOCRATIC,Spanarelli,15,0,15
New Castle,04-01,U.S. Senate,,DEMOCRATIC,Carper T,388,5,393
New Castle,04-01,U.S. Senate,,DEMOCRATIC,Spanarelli,28,0,28
New Castle,05-01,U.S. Senate,,DEMOCRATIC,Carper T,444,16,460
New Castle,05-01,U.S. Senate,,DEMOCRATIC,Spanarelli,47,0,47
New Castle,06-01,U.S. Senate,,DEMOCRATIC,Carper T,154,4,158
New Castle,06-01,U.S. Senate,,DEMOCRATIC,Spanarelli,14,1,15
New Castle,07-01,U.S. Senate,,DEMOCRATIC,Carper T,137,9,146
New Castle,07-01,U.S. Senate,,DEMOCRATIC,Spanarelli,7,0,7
New Castle,08-01,U.S. Senate,,DEMOCRATIC,Carper T,21,0,21
New Castle,08-01,U.S. Senate,,DEMOCRATIC,Spanarelli,4,0,4
New Castle,09-01,U.S. Senate,,DEMOCRATIC,Carper T,382,15,397
New Castle,09-01,U.S. Senate,,DEMOCRATIC,Spanarelli,24,1,25
New Castle,10-01,U.S. Senate,,DEMOCRATIC,Carper T,357,15,372
New Castle,10-01,U.S. Senate,,DEMOCRATIC,Spanarelli,27,1,28
New Castle,11-01,U.S. Senate,,DEMOCRATIC,Carper T,256,4,260
New Castle,11-01,U.S. Senate,,DEMOCRATIC,Spanarelli,16,0,16
New Castle,12-01,U.S. Senate,,DEMOCRATIC,Carper T,64,6,70
New Castle,12-01,U.S. Senate,,DEMOCRATIC,Spanarelli,5,0,5
New Castle,13-01,U.S. Senate,,DEMOCRATIC,Carper T,111,1,112
New Castle,13-01,U.S. Senate,,DEMOCRATIC,Spanarelli,14,0,14
New Castle,14-01,U.S. Senate,,DEMOCRATIC,Carper T,133,4,137
New Castle,14-01,U.S. Senate,,DEMOCRATIC,Spanarelli,19,0,19
New Castle,01-02,U.S. Senate,,DEMOCRATIC,Carper T,445,15,460
New Castle,01-02,U.S. Senate,,DEMOCRATIC,Spanarelli,42,0,42
New Castle,02-02,U.S. Senate,,DEMOCRATIC,Carper T,197,5,202
New Castle,02-02,U.S. Senate,,DEMOCRATIC,Spanarelli,9,0,9
New Castle,03-02,U.S. Senate,,DEMOCRATIC,Carper T,78,4,82
New Castle,03-02,U.S. Senate,,DEMOCRATIC,Spanarelli,12,1,13
New Castle,04-02,U.S. Senate,,DEMOCRATIC,Carper T,16,1,17
New Castle,04-02,U.S. Senate,,DEMOCRATIC,Spanarelli,4,0,4
New Castle,05-02,U.S. Senate,,DEMOCRATIC,Carper T,208,6,214
New Castle,05-02,U.S. Senate,,DEMOCRATIC,Spanarelli,28,1,29
New Castle,06-02,U.S. Senate,,DEMOCRATIC,Carper T,140,16,156
New Castle,06-02,U.S. Senate,,DEMOCRATIC,Spanarelli,14,2,16
New Castle,07-02,U.S. Senate,,DEMOCRATIC,Carper T,147,4,151
New Castle,07-02,U.S. Senate,,DEMOCRATIC,Spanarelli,16,0,16
New Castle,08-02,U.S. Senate,,DEMOCRATIC,Carper T,205,3,208
New Castle,08-02,U.S. Senate,,DEMOCRATIC,Spanarelli,16,0,16
New Castle,11-02,U.S. Senate,,DEMOCRATIC,Carper T,320,7,327
New Castle,11-02,U.S. Senate,,DEMOCRATIC,Spanarelli,32,1,33
New Castle,12-02,U.S. Senate,,DEMOCRATIC,Carper T,190,6,196
New Castle,12-02,U.S. Senate,,DEMOCRATIC,Spanarelli,20,2,22
New Castle,17-02,U.S. Senate,,DEMOCRATIC,Carper T,0,65,65
New Castle,17-02,U.S. Senate,,DEMOCRATIC,Spanarelli,0,8,8
New Castle,01-03,U.S. Senate,,DEMOCRATIC,Carper T,383,5,388
New Castle,01-03,U.S. Senate,,DEMOCRATIC,Spanarelli,24,0,24
New Castle,02-03,U.S. Senate,,DEMOCRATIC,Carper T,383,14,397
New Castle,02-03,U.S. Senate,,DEMOCRATIC,Spanarelli,47,1,48
New Castle,03-03,U.S. Senate,,DEMOCRATIC,Carper T,161,2,163
New Castle,03-03,U.S. Senate,,DEMOCRATIC,Spanarelli,10,0,10
New Castle,04-03,U.S. Senate,,DEMOCRATIC,Carper T,209,6,215
New Castle,04-03,U.S. Senate,,DEMOCRATIC,Spanarelli,21,0,21
New Castle,05-03,U.S. Senate,,DEMOCRATIC,Carper T,26,1,27
New Castle,05-03,U.S. Senate,,DEMOCRATIC,Spanarelli,5,0,5
New Castle,07-03,U.S. Senate,,DEMOCRATIC,Carper T,322,8,330
New Castle,07-03,U.S. Senate,,DEMOCRATIC,Spanarelli,35,1,36
New Castle,08-03,U.S. Senate,,DEMOCRATIC,Carper T,314,8,322
New Castle,08-03,U.S. Senate,,DEMOCRATIC,Spanarelli,52,4,56
New Castle,09-03,U.S. Senate,,DEMOCRATIC,Carper T,232,6,238
New Castle,09-03,U.S. Senate,,DEMOCRATIC,Spanarelli,31,0,31
New Castle,10-03,U.S. Senate,,DEMOCRATIC,Carper T,69,5,74
New Castle,10-03,U.S. Senate,,DEMOCRATIC,Spanarelli,3,1,4
New Castle,01-04,U.S. Senate,,DEMOCRATIC,Carper T,384,36,420
New Castle,01-04,U.S. Senate,,DEMOCRATIC,Spanarelli,41,3,44
New Castle,02-04,U.S. Senate,,DEMOCRATIC,Carper T,124,11,135
New Castle,02-04,U.S. Senate,,DEMOCRATIC,Spanarelli,15,2,17
New Castle,03-04,U.S. Senate,,DEMOCRATIC,Carper T,344,25,369
New Castle,03-04,U.S. Senate,,DEMOCRATIC,Spanarelli,39,1,40
New Castle,04-04,U.S. Senate,,DEMOCRATIC,Carper T,152,8,160
New Castle,04-04,U.S. Senate,,DEMOCRATIC,Spanarelli,13,1,14
New Castle,05-04,U.S. Senate,,DEMOCRATIC,Carper T,12,0,12
New Castle,05-04,U.S. Senate,,DEMOCRATIC,Spanarelli,2,0,2
New Castle,06-04,U.S. Senate,,DEMOCRATIC,Carper T,146,11,157
New Castle,06-04,U.S. Senate,,DEMOCRATIC,Spanarelli,20,0,20
New Castle,07-04,U.S. Senate,,DEMOCRATIC,Carper T,230,18,248
New Castle,07-04,U.S. Senate,,DEMOCRATIC,Spanarelli,41,4,45
New Castle,08-04,U.S. Senate,,DEMOCRATIC,Carper T,159,11,170
New Castle,08-04,U.S. Senate,,DEMOCRATIC,Spanarelli,30,1,31
New Castle,09-04,U.S. Senate,,DEMOCRATIC,Carper T,154,18,172
New Castle,09-04,U.S. Senate,,DEMOCRATIC,Spanarelli,26,1,27
New Castle,10-04,U.S. Senate,,DEMOCRATIC,Carper T,103,3,106
New Castle,10-04,U.S. Senate,,DEMOCRATIC,Spanarelli,17,2,19
New Castle,11-04,U.S. Senate,,DEMOCRATIC,Carper T,87,1,88
New Castle,11-04,U.S. Senate,,DEMOCRATIC,Spanarelli,9,0,9
New Castle,12-04,U.S. Senate,,DEMOCRATIC,Carper T,134,10,144
New Castle,12-04,U.S. Senate,,DEMOCRATIC,Spanarelli,21,1,22
New Castle,13-04,U.S. Senate,,DEMOCRATIC,Carper T,68,2,70
New Castle,13-04,U.S. Senate,,DEMOCRATIC,Spanarelli,11,0,11
New Castle,15-04,U.S. Senate,,DEMOCRATIC,Carper T,37,4,41
New Castle,15-04,U.S. Senate,,DEMOCRATIC,Spanarelli,4,0,4
New Castle,16-04,U.S. Senate,,DEMOCRATIC,Carper T,27,1,28
New Castle,16-04,U.S. Senate,,DEMOCRATIC,Spanarelli,1,0,1
New Castle,01-05,U.S. Senate,,DEMOCRATIC,Carper T,260,6,266
New Castle,01-05,U.S. Senate,,DEMOCRATIC,Spanarelli,26,1,27
New Castle,02-05,U.S. Senate,,DEMOCRATIC,Carper T,145,2,147
New Castle,02-05,U.S. Senate,,DEMOCRATIC,Spanarelli,24,2,26
New Castle,04-05,U.S. Senate,,DEMOCRATIC,Carper T,185,2,187
New Castle,04-05,U.S. Senate,,DEMOCRATIC,Spanarelli,14,0,14
New Castle,06-05,U.S. Senate,,DEMOCRATIC,Carper T,124,5,129
New Castle,06-05,U.S. Senate,,DEMOCRATIC,Spanarelli,20,2,22
New Castle,07-05,U.S. Senate,,DEMOCRATIC,Carper T,76,0,76
New Castle,07-05,U.S. Senate,,DEMOCRATIC,Spanarelli,5,2,7
New Castle,09-05,U.S. Senate,,DEMOCRATIC,Carper T,214,4,218
New Castle,09-05,U.S. Senate,,DEMOCRATIC,Spanarelli,16,0,16
New Castle,01-06,U.S. Senate,,DEMOCRATIC,Carper T,292,8,300
New Castle,01-06,U.S. Senate,,DEMOCRATIC,Spanarelli,39,1,40
New Castle,02-06,U.S. Senate,,DEMOCRATIC,Carper T,126,1,127
New Castle,02-06,U.S. Senate,,DEMOCRATIC,Spanarelli,11,2,13
New Castle,03-06,U.S. Senate,,DEMOCRATIC,Carper T,28,0,28
New Castle,03-06,U.S. Senate,,DEMOCRATIC,Spanarelli,5,1,6
New Castle,04-06,U.S. Senate,,DEMOCRATIC,Carper T,189,3,192
New Castle,04-06,U.S. Senate,,DEMOCRATIC,Spanarelli,19,1,20
New Castle,05-06,U.S. Senate,,DEMOCRATIC,Carper T,142,4,146
New Castle,05-06,U.S. Senate,,DEMOCRATIC,Spanarelli,12,1,13
New Castle,06-06,U.S. Senate,,DEMOCRATIC,Carper T,58,3,61
New Castle,06-06,U.S. Senate,,DEMOCRATIC,Spanarelli,5,2,7
New Castle,07-06,U.S. Senate,,DEMOCRATIC,Carper T,124,7,131
New Castle,07-06,U.S. Senate,,DEMOCRATIC,Spanarelli,13,0,13
New Castle,09-06,U.S. Senate,,DEMOCRATIC,Carper T,201,3,204
New Castle,09-06,U.S. Senate,,DEMOCRATIC,Spanarelli,39,0,39
New Castle,10-06,U.S. Senate,,DEMOCRATIC,Carper T,120,7,127
New Castle,10-06,U.S. Senate,,DEMOCRATIC,Spanarelli,18,0,18
New Castle,11-06,U.S. Senate,,DEMOCRATIC,Carper T,115,2,117
New Castle,11-06,U.S. Senate,,DEMOCRATIC,Spanarelli,16,1,17
New Castle,12-06,U.S. Senate,,DEMOCRATIC,Carper T,156,2,158
New Castle,12-06,U.S. Senate,,DEMOCRATIC,Spanarelli,19,1,20
New Castle,01-07,U.S. Senate,,DEMOCRATIC,Carper T,197,5,202
New Castle,01-07,U.S. Senate,,DEMOCRATIC,Spanarelli,43,1,44
New Castle,02-07,U.S. Senate,,DEMOCRATIC,Carper T,156,10,166
New Castle,02-07,U.S. Senate,,DEMOCRATIC,Spanarelli,6,0,6
New Castle,03-07,U.S. Senate,,DEMOCRATIC,Carper T,104,4,108
New Castle,03-07,U.S. Senate,,DEMOCRATIC,Spanarelli,11,0,11
New Castle,04-07,U.S. Senate,,DEMOCRATIC,Carper T,157,6,163
New Castle,04-07,U.S. Senate,,DEMOCRATIC,Spanarelli,16,2,18
New Castle,05-07,U.S. Senate,,DEMOCRATIC,Carper T,131,2,133
New Castle,05-07,U.S. Senate,,DEMOCRATIC,Spanarelli,13,0,13
New Castle,06-07,U.S. Senate,,DEMOCRATIC,Carper T,96,1,97
New Castle,06-07,U.S. Senate,,DEMOCRATIC,Spanarelli,7,0,7
New Castle,07-07,U.S. Senate,,DEMOCRATIC,Carper T,119,5,124
New Castle,07-07,U.S. Senate,,DEMOCRATIC,Spanarelli,19,0,19
New Castle,08-07,U.S. Senate,,DEMOCRATIC,Carper T,121,7,128
New Castle,08-07,U.S. Senate,,DEMOCRATIC,Spanarelli,14,1,15
New Castle,10-07,U.S. Senate,,DEMOCRATIC,Carper T,145,1,146
New Castle,10-07,U.S. Senate,,DEMOCRATIC,Spanarelli,8,0,8
New Castle,01-08,U.S. Senate,,DEMOCRATIC,Carper T,114,1,115
New Castle,01-08,U.S. Senate,,DEMOCRATIC,Spanarelli,24,0,24
New Castle,02-08,U.S. Senate,,DEMOCRATIC,Carper T,97,8,105
New Castle,02-08,U.S. Senate,,DEMOCRATIC,Spanarelli,25,0,25
New Castle,03-08,U.S. Senate,,DEMOCRATIC,Carper T,61,5,66
New Castle,03-08,U.S. Senate,,DEMOCRATIC,Spanarelli,8,0,8
New Castle,04-08,U.S. Senate,,DEMOCRATIC,Carper T,85,4,89
New Castle,04-08,U.S. Senate,,DEMOCRATIC,Spanarelli,15,0,15
New Castle,05-08,U.S. Senate,,DEMOCRATIC,Carper T,161,2,163
New Castle,05-08,U.S. Senate,,DEMOCRATIC,Spanarelli,13,1,14
New Castle,06-08,U.S. Senate,,DEMOCRATIC,Carper T,86,8,94
New Castle,06-08,U.S. Senate,,DEMOCRATIC,Spanarelli,14,0,14
New Castle,07-08,U.S. Senate,,DEMOCRATIC,Carper T,78,2,80
New Castle,07-08,U.S. Senate,,DEMOCRATIC,Spanarelli,12,0,12
New Castle,10-08,U.S. Senate,,DEMOCRATIC,Carper T,73,0,73
New Castle,10-08,U.S. Senate,,DEMOCRATIC,Spanarelli,23,1,24
New Castle,01-09,U.S. Senate,,DEMOCRATIC,Carper T,76,2,78
New Castle,01-09,U.S. Senate,,DEMOCRATIC,Spanarelli,12,0,12
New Castle,02-09,U.S. Senate,,DEMOCRATIC,Carper T,98,2,100
New Castle,02-09,U.S. Senate,,DEMOCRATIC,Spanarelli,19,0,19
New Castle,03-09,U.S. Senate,,DEMOCRATIC,Carper T,132,0,132
New Castle,03-09,U.S. Senate,,DEMOCRATIC,Spanarelli,12,0,12
New Castle,04-09,U.S. Senate,,DEMOCRATIC,Carper T,40,1,41
