county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,01-01,President,,DEMOCRATIC,Obama B,694,38,732
New Castle,01-01,President,,REPUBLICAN,Romney M,50,1,51
New Castle,01-01,President,,GREEN,Stein J,3,0,3
New Castle,01-01,President,,LIBERTARIN,Johnson G,5,0,5
New Castle,02-01,President,,DEMOCRATIC,Obama B,1192,53,1245
New Castle,02-01,President,,REPUBLICAN,Romney M,36,3,39
New Castle,02-01,President,,GREEN,Stein J,2,0,2
New Castle,02-01,President,,LIBERTARIN,Johnson G,0,0,0
New Castle,03-01,President,,DEMOCRATIC,Obama B,864,29,893
New Castle,03-01,President,,REPUBLICAN,Romney M,15,0,15
New Castle,03-01,President,,GREEN,Stein J,1,0,1
New Castle,03-01,President,,LIBERTARIN,Johnson G,1,0,1
New Castle,04-01,President,,DEMOCRATIC,Obama B,1142,19,1161
New Castle,04-01,President,,REPUBLICAN,Romney M,34,0,34
New Castle,04-01,President,,GREEN,Stein J,2,0,2
New Castle,04-01,President,,LIBERTARIN,Johnson G,3,0,3
New Castle,05-01,President,,DEMOCRATIC,Obama B,969,36,1005
New Castle,05-01,President,,REPUBLICAN,Romney M,195,9,204
New Castle,05-01,President,,GREEN,Stein J,9,2,11
New Castle,05-01,President,,LIBERTARIN,Johnson G,4,1,5
New Castle,06-01,President,,DEMOCRATIC,Obama B,430,20,450
New Castle,06-01,President,,REPUBLICAN,Romney M,9,1,10
New Castle,06-01,President,,GREEN,Stein J,0,0,0
New Castle,06-01,President,,LIBERTARIN,Johnson G,3,0,3
New Castle,07-01,President,,DEMOCRATIC,Obama B,451,15,466
New Castle,07-01,President,,REPUBLICAN,Romney M,25,3,28
New Castle,07-01,President,,GREEN,Stein J,0,0,0
New Castle,07-01,President,,LIBERTARIN,Johnson G,0,0,0
New Castle,08-01,President,,DEMOCRATIC,Obama B,112,4,116
New Castle,08-01,President,,REPUBLICAN,Romney M,36,2,38
New Castle,08-01,President,,GREEN,Stein J,1,0,1
New Castle,08-01,President,,LIBERTARIN,Johnson G,4,0,4
New Castle,09-01,President,,DEMOCRATIC,Obama B,764,46,810
New Castle,09-01,President,,REPUBLICAN,Romney M,83,5,88
New Castle,09-01,President,,GREEN,Stein J,1,0,1
New Castle,09-01,President,,LIBERTARIN,Johnson G,4,0,4
New Castle,10-01,President,,DEMOCRATIC,Obama B,1092,38,1130
New Castle,10-01,President,,REPUBLICAN,Romney M,7,0,7
New Castle,10-01,President,,GREEN,Stein J,0,0,0
New Castle,10-01,President,,LIBERTARIN,Johnson G,1,0,1
New Castle,11-01,President,,DEMOCRATIC,Obama B,583,20,603
New Castle,11-01,President,,REPUBLICAN,Romney M,50,0,50
New Castle,11-01,President,,GREEN,Stein J,2,1,3
New Castle,11-01,President,,LIBERTARIN,Johnson G,5,0,5
New Castle,12-01,President,,DEMOCRATIC,Obama B,296,21,317
New Castle,12-01,President,,REPUBLICAN,Romney M,83,2,85
New Castle,12-01,President,,GREEN,Stein J,2,0,2
New Castle,12-01,President,,LIBERTARIN,Johnson G,4,0,4
New Castle,13-01,President,,DEMOCRATIC,Obama B,494,17,511
New Castle,13-01,President,,REPUBLICAN,Romney M,76,2,78
New Castle,13-01,President,,GREEN,Stein J,3,0,3
New Castle,13-01,President,,LIBERTARIN,Johnson G,3,0,3
New Castle,14-01,President,,DEMOCRATIC,Obama B,448,15,463
New Castle,14-01,President,,REPUBLICAN,Romney M,204,13,217
New Castle,14-01,President,,GREEN,Stein J,2,0,2
New Castle,14-01,President,,LIBERTARIN,Johnson G,12,0,12
New Castle,01-02,President,,DEMOCRATIC,Obama B,1286,38,1324
New Castle,01-02,President,,REPUBLICAN,Romney M,17,0,17
New Castle,01-02,President,,GREEN,Stein J,0,0,0
New Castle,01-02,President,,LIBERTARIN,Johnson G,4,0,4
New Castle,02-02,President,,DEMOCRATIC,Obama B,500,11,511
New Castle,02-02,President,,REPUBLICAN,Romney M,4,0,4
New Castle,02-02,President,,GREEN,Stein J,0,0,0
New Castle,02-02,President,,LIBERTARIN,Johnson G,0,0,0
New Castle,03-02,President,,DEMOCRATIC,Obama B,146,8,154
New Castle,03-02,President,,REPUBLICAN,Romney M,31,1,32
New Castle,03-02,President,,GREEN,Stein J,0,0,0
New Castle,03-02,President,,LIBERTARIN,Johnson G,5,0,5
New Castle,04-02,President,,DEMOCRATIC,Obama B,55,3,58
New Castle,04-02,President,,REPUBLICAN,Romney M,32,0,32
New Castle,04-02,President,,GREEN,Stein J,1,0,1
New Castle,04-02,President,,LIBERTARIN,Johnson G,1,0,1
New Castle,05-02,President,,DEMOCRATIC,Obama B,584,9,593
New Castle,05-02,President,,REPUBLICAN,Romney M,60,0,60
New Castle,05-02,President,,GREEN,Stein J,1,0,1
New Castle,05-02,President,,LIBERTARIN,Johnson G,4,1,5
New Castle,06-02,President,,DEMOCRATIC,Obama B,510,30,540
New Castle,06-02,President,,REPUBLICAN,Romney M,68,4,72
New Castle,06-02,President,,GREEN,Stein J,0,0,0
New Castle,06-02,President,,LIBERTARIN,Johnson G,7,0,7
New Castle,07-02,President,,DEMOCRATIC,Obama B,476,9,485
New Castle,07-02,President,,REPUBLICAN,Romney M,50,0,50
New Castle,07-02,President,,GREEN,Stein J,1,0,1
New Castle,07-02,President,,LIBERTARIN,Johnson G,2,0,2
New Castle,08-02,President,,DEMOCRATIC,Obama B,634,13,647
New Castle,08-02,President,,REPUBLICAN,Romney M,12,0,12
New Castle,08-02,President,,GREEN,Stein J,1,0,1
