county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,01-01,U.S. Senate,,REPUBLICAN,Smink C,3,3,6
New Castle,01-01,U.S. Senate,,REPUBLICAN,Wade K,7,3,10
New Castle,02-01,U.S. Senate,,REPUBLICAN,Smink C,0,0,0
New Castle,02-01,U.S. Senate,,REPUBLICAN,Wade K,4,1,5
New Castle,04-01,U.S. Senate,,REPUBLICAN,Smink C,1,0,1
New Castle,04-01,U.S. Senate,,REPUBLICAN,Wade K,5,0,5
New Castle,05-01,U.S. Senate,,REPUBLICAN,Smink C,5,1,6
New Castle,05-01,U.S. Senate,,REPUBLICAN,Wade K,16,2,18
New Castle,06-01,U.S. Senate,,REPUBLICAN,Smink C,0,0,0
New Castle,06-01,U.S. Senate,,REPUBLICAN,Wade K,0,0,0
New Castle,07-01,U.S. Senate,,REPUBLICAN,Smink C,2,0,2
New Castle,07-01,U.S. Senate,,REPUBLICAN,Wade K,2,0,2
New Castle,08-01,U.S. Senate,,REPUBLICAN,Smink C,5,1,6
New Castle,08-01,U.S. Senate,,REPUBLICAN,Wade K,7,2,9
New Castle,09-01,U.S. Senate,,REPUBLICAN,Smink C,4,0,4
New Castle,09-01,U.S. Senate,,REPUBLICAN,Wade K,10,0,10
New Castle,10-01,U.S. Senate,,REPUBLICAN,Smink C,1,0,1
New Castle,10-01,U.S. Senate,,REPUBLICAN,Wade K,2,0,2
New Castle,12-01,U.S. Senate,,REPUBLICAN,Smink C,0,0,0
New Castle,12-01,U.S. Senate,,REPUBLICAN,Wade K,4,0,4
New Castle,14-01,U.S. Senate,,REPUBLICAN,Smink C,2,0,2
New Castle,14-01,U.S. Senate,,REPUBLICAN,Wade K,19,1,20
New Castle,01-02,U.S. Senate,,REPUBLICAN,Smink C,2,0,2
New Castle,01-02,U.S. Senate,,REPUBLICAN,Wade K,2,0,2
New Castle,02-02,U.S. Senate,,REPUBLICAN,Smink C,0,0,0
New Castle,02-02,U.S. Senate,,REPUBLICAN,Wade K,0,0,0
New Castle,03-02,U.S. Senate,,REPUBLICAN,Smink C,0,0,0
New Castle,03-02,U.S. Senate,,REPUBLICAN,Wade K,1,0,1
New Castle,04-02,U.S. Senate,,REPUBLICAN,Smink C,0,0,0
New Castle,04-02,U.S. Senate,,REPUBLICAN,Wade K,6,0,6
New Castle,05-02,U.S. Senate,,REPUBLICAN,Smink C,3,1,4
New Castle,05-02,U.S. Senate,,REPUBLICAN,Wade K,5,0,5
New Castle,06-02,U.S. Senate,,REPUBLICAN,Smink C,0,0,0
New Castle,06-02,U.S. Senate,,REPUBLICAN,Wade K,3,0,3
New Castle,07-02,U.S. Senate,,REPUBLICAN,Smink C,5,0,5
New Castle,07-02,U.S. Senate,,REPUBLICAN,Wade K,12,1,13
New Castle,08-02,U.S. Senate,,REPUBLICAN,Smink C,0,0,0
New Castle,08-02,U.S. Senate,,REPUBLICAN,Wade K,1,0,1
New Castle,10-02,U.S. Senate,,REPUBLICAN,Smink C,1,0,1
New Castle,10-02,U.S. Senate,,REPUBLICAN,Wade K,1,1,2
New Castle,11-02,U.S. Senate,,REPUBLICAN,Smink C,0,0,0
New Castle,11-02,U.S. Senate,,REPUBLICAN,Wade K,0,0,0
New Castle,12-02,U.S. Senate,,REPUBLICAN,Smink C,0,0,0
New Castle,12-02,U.S. Senate,,REPUBLICAN,Wade K,1,0,1
New Castle,17-02,U.S. Senate,,REPUBLICAN,Smink C,0,0,0
New Castle,17-02,U.S. Senate,,REPUBLICAN,Wade K,0,2,2
New Castle,01-03,U.S. Senate,,REPUBLICAN,Smink C,1,0,1
New Castle,01-03,U.S. Senate,,REPUBLICAN,Wade K,4,0,4
New Castle,02-03,U.S. Senate,,REPUBLICAN,Smink C,2,0,2
New Castle,02-03,U.S. Senate,,REPUBLICAN,Wade K,14,0,14
New Castle,03-03,U.S. Senate,,REPUBLICAN,Smink C,3,0,3
New Castle,03-03,U.S. Senate,,REPUBLICAN,Wade K,2,0,2
New Castle,04-03,U.S. Senate,,REPUBLICAN,Smink C,2,0,2
New Castle,04-03,U.S. Senate,,REPUBLICAN,Wade K,2,1,3
New Castle,05-03,U.S. Senate,,REPUBLICAN,Smink C,0,0,0
New Castle,05-03,U.S. Senate,,REPUBLICAN,Wade K,0,0,0
New Castle,07-03,U.S. Senate,,REPUBLICAN,Smink C,1,0,1
New Castle,07-03,U.S. Senate,,REPUBLICAN,Wade K,7,1,8
New Castle,08-03,U.S. Senate,,REPUBLICAN,Smink C,1,0,1
New Castle,08-03,U.S. Senate,,REPUBLICAN,Wade K,6,2,8
New Castle,10-03,U.S. Senate,,REPUBLICAN,Smink C,0,1,1
New Castle,10-03,U.S. Senate,,REPUBLICAN,Wade K,4,0,4
New Castle,01-04,U.S. Senate,,REPUBLICAN,Smink C,19,0,19
New Castle,01-04,U.S. Senate,,REPUBLICAN,Wade K,44,3,47
New Castle,02-04,U.S. Senate,,REPUBLICAN,Smink C,18,4,22
New Castle,02-04,U.S. Senate,,REPUBLICAN,Wade K,84,1,85
New Castle,03-04,U.S. Senate,,REPUBLICAN,Smink C,9,1,10
New Castle,03-04,U.S. Senate,,REPUBLICAN,Wade K,71,7,78
New Castle,04-04,U.S. Senate,,REPUBLICAN,Smink C,2,0,2
New Castle,04-04,U.S. Senate,,REPUBLICAN,Wade K,18,1,19
New Castle,05-04,U.S. Senate,,REPUBLICAN,Smink C,0,0,0
New Castle,05-04,U.S. Senate,,REPUBLICAN,Wade K,0,0,0
New Castle,06-04,U.S. Senate,,REPUBLICAN,Smink C,7,0,7
New Castle,06-04,U.S. Senate,,REPUBLICAN,Wade K,20,2,22
New Castle,07-04,U.S. Senate,,REPUBLICAN,Smink C,7,0,7
New Castle,07-04,U.S. Senate,,REPUBLICAN,Wade K,21,1,22
New Castle,08-04,U.S. Senate,,REPUBLICAN,Smink C,19,3,22
New Castle,08-04,U.S. Senate,,REPUBLICAN,Wade K,71,8,79
