county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,02-01,State Senate,2,DEMOCRATIC,Henry M,613,26,639
New Castle,02-01,State Senate,2,REPUBLICAN,Martin R,35,0,35
New Castle,03-01,State Senate,2,DEMOCRATIC,Henry M,361,7,368
New Castle,03-01,State Senate,2,REPUBLICAN,Martin R,17,3,20
New Castle,04-01,State Senate,2,DEMOCRATIC,Henry M,487,14,501
New Castle,04-01,State Senate,2,REPUBLICAN,Martin R,39,2,41
New Castle,06-01,State Senate,2,DEMOCRATIC,Henry M,201,3,204
New Castle,06-01,State Senate,2,REPUBLICAN,Martin R,13,1,14
New Castle,07-01,State Senate,2,DEMOCRATIC,Henry M,181,3,184
New Castle,07-01,State Senate,2,REPUBLICAN,Martin R,17,1,18
New Castle,08-01,State Senate,2,DEMOCRATIC,Henry M,44,2,46
New Castle,08-01,State Senate,2,REPUBLICAN,Martin R,26,0,26
New Castle,09-01,State Senate,2,DEMOCRATIC,Henry M,425,13,438
New Castle,09-01,State Senate,2,REPUBLICAN,Martin R,53,1,54
New Castle,10-01,State Senate,2,DEMOCRATIC,Henry M,430,13,443
New Castle,10-01,State Senate,2,REPUBLICAN,Martin R,17,0,17
New Castle,12-01,State Senate,2,DEMOCRATIC,Henry M,139,3,142
New Castle,12-01,State Senate,2,REPUBLICAN,Martin R,52,0,52
New Castle,12-01,State Senate,2,DEMOCRATIC,Henry M,2881,84,2965
New Castle,12-01,State Senate,2,REPUBLICAN,Martin R,269,8,277
New Castle,02-02,State Senate,2,DEMOCRATIC,Henry M,221,6,227
New Castle,02-02,State Senate,2,REPUBLICAN,Martin R,5,0,5
New Castle,03-02,State Senate,2,DEMOCRATIC,Henry M,70,5,75
New Castle,03-02,State Senate,2,REPUBLICAN,Martin R,18,0,18
New Castle,11-02,State Senate,2,DEMOCRATIC,Henry M,380,10,390
New Castle,11-02,State Senate,2,REPUBLICAN,Martin R,29,0,29
New Castle,12-02,State Senate,2,DEMOCRATIC,Henry M,203,4,207
New Castle,12-02,State Senate,2,REPUBLICAN,Martin R,9,1,10
New Castle,12-02,State Senate,2,DEMOCRATIC,Henry M,874,25,899
New Castle,12-02,State Senate,2,REPUBLICAN,Martin R,61,1,62
New Castle,06-06,State Senate,2,DEMOCRATIC,Henry M,186,2,188
New Castle,06-06,State Senate,2,REPUBLICAN,Martin R,60,1,61
New Castle,06-06,State Senate,2,DEMOCRATIC,Henry M,186,2,188
New Castle,06-06,State Senate,2,REPUBLICAN,Martin R,60,1,61
New Castle,01-16,State Senate,2,DEMOCRATIC,Henry M,383,14,397
New Castle,01-16,State Senate,2,REPUBLICAN,Martin R,141,4,145
New Castle,02-16,State Senate,2,DEMOCRATIC,Henry M,454,6,460
New Castle,02-16,State Senate,2,REPUBLICAN,Martin R,63,0,63
New Castle,03-16,State Senate,2,DEMOCRATIC,Henry M,485,10,495
New Castle,03-16,State Senate,2,REPUBLICAN,Martin R,25,0,25
New Castle,05-16,State Senate,2,DEMOCRATIC,Henry M,544,4,548
New Castle,05-16,State Senate,2,REPUBLICAN,Martin R,25,0,25
New Castle,06-16,State Senate,2,DEMOCRATIC,Henry M,247,9,256
New Castle,06-16,State Senate,2,REPUBLICAN,Martin R,50,3,53
New Castle,07-16,State Senate,2,DEMOCRATIC,Henry M,356,6,362
New Castle,07-16,State Senate,2,REPUBLICAN,Martin R,72,0,72
New Castle,08-16,State Senate,2,DEMOCRATIC,Henry M,550,7,557
New Castle,08-16,State Senate,2,REPUBLICAN,Martin R,141,0,141
New Castle,08-16,State Senate,2,DEMOCRATIC,Henry M,3019,56,3075
New Castle,08-16,State Senate,2,REPUBLICAN,Martin R,517,7,524
New Castle,01-17,State Senate,2,DEMOCRATIC,Henry M,192,5,197
New Castle,01-17,State Senate,2,REPUBLICAN,Martin R,86,0,86
New Castle,01-17,State Senate,2,DEMOCRATIC,Henry M,192,5,197
New Castle,01-17,State Senate,2,REPUBLICAN,Martin R,86,0,86
New Castle,Total,State Senate,2,DEMOCRATIC,Henry M,7152,172,7324
New Castle,Total,State Senate,2,REPUBLICAN,Martin R,993,17,1010
New Castle,01-02,State Senate,3,DEMOCRATIC,Marshall R,411,12,423
New Castle,04-02,State Senate,3,DEMOCRATIC,Marshall R,41,2,43
New Castle,05-02,State Senate,3,DEMOCRATIC,Marshall R,247,6,253
New Castle,06-02,State Senate,3,DEMOCRATIC,Marshall R,193,19,212
New Castle,07-02,State Senate,3,DEMOCRATIC,Marshall R,133,4,137
New Castle,08-02,State Senate,3,DEMOCRATIC,Marshall R,212,4,216
New Castle,09-02,State Senate,3,DEMOCRATIC,Marshall R,224,1,225
New Castle,10-02,State Senate,3,DEMOCRATIC,Marshall R,193,4,197
New Castle,13-02,State Senate,3,DEMOCRATIC,Marshall R,0,0,0
New Castle,13-02,State Senate,3,DEMOCRATIC,Marshall R,1654,52,1706
New Castle,01-03,State Senate,3,DEMOCRATIC,Marshall R,264,1,265
New Castle,02-03,State Senate,3,DEMOCRATIC,Marshall R,492,17,509
New Castle,03-03,State Senate,3,DEMOCRATIC,Marshall R,171,4,175
New Castle,04-03,State Senate,3,DEMOCRATIC,Marshall R,273,7,280
New Castle,05-03,State Senate,3,DEMOCRATIC,Marshall R,21,0,21
New Castle,06-03,State Senate,3,DEMOCRATIC,Marshall R,143,4,147
New Castle,07-03,State Senate,3,DEMOCRATIC,Marshall R,401,8,409
New Castle,08-03,State Senate,3,DEMOCRATIC,Marshall R,361,3,364
New Castle,09-03,State Senate,3,DEMOCRATIC,Marshall R,310,7,317
New Castle,09-03,State Senate,3,DEMOCRATIC,Marshall R,2436,51,2487
New Castle,04-04,State Senate,3,DEMOCRATIC,Marshall R,223,11,234
New Castle,05-04,State Senate,3,DEMOCRATIC,Marshall R,28,0,28
New Castle,09-04,State Senate,3,DEMOCRATIC,Marshall R,228,5,233
New Castle,16-04,State Senate,3,DEMOCRATIC,Marshall R,33,1,34
New Castle,16-04,State Senate,3,DEMOCRATIC,Marshall R,512,17,529
New Castle,03-13,State Senate,3,DEMOCRATIC,Marshall R,116,3,119
New Castle,07-13,State Senate,3,DEMOCRATIC,Marshall R,163,1,164
New Castle,11-13,State Senate,3,DEMOCRATIC,Marshall R,169,1,170
New Castle,12-13,State Senate,3,DEMOCRATIC,Marshall R,1,0,1
New Castle,13-13,State Senate,3,DEMOCRATIC,Marshall R,38,0,38
New Castle,14-13,State Senate,3,DEMOCRATIC,Marshall R,0,0,0
New Castle,14-13,State Senate,3,DEMOCRATIC,Marshall R,487,5,492
New Castle,Total,State Senate,3,DEMOCRATIC,Marshall R,5089,125,5214
New Castle,02-04,State Senate,4,DEMOCRATIC,Buttner S,247,27,274
New Castle,02-04,State Senate,4,REPUBLICAN,Lavelle G,489,36,525
New Castle,11-04,State Senate,4,DEMOCRATIC,Buttner S,237,2,239
New Castle,11-04,State Senate,4,REPUBLICAN,Lavelle G,387,24,411
New Castle,15-04,State Senate,4,DEMOCRATIC,Buttner S,88,5,93
New Castle,15-04,State Senate,4,REPUBLICAN,Lavelle G,166,4,170
New Castle,15-04,State Senate,4,DEMOCRATIC,Buttner S,572,34,606
New Castle,15-04,State Senate,4,REPUBLICAN,Lavelle G,1042,64,1106
New Castle,01-12,State Senate,4,DEMOCRATIC,Buttner S,286,4,290
