county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,06-02,U.S. Senate,,IND OF DEL,Miller G,4,0,4
New Castle,06-02,U.S. Senate,,LIBERTARIN,Rash J,2,0,2
New Castle,07-02,U.S. Senate,,DEMOCRATIC,Coons C,87,4,91
New Castle,07-02,U.S. Senate,,REPUBLICAN,O'Donnell,21,0,21
New Castle,07-02,U.S. Senate,,IND OF DEL,Miller G,0,1,1
New Castle,07-02,U.S. Senate,,LIBERTARIN,Rash J,2,0,2
New Castle,08-02,U.S. Senate,,DEMOCRATIC,Coons C,163,2,165
New Castle,08-02,U.S. Senate,,REPUBLICAN,O'Donnell,7,0,7
New Castle,08-02,U.S. Senate,,IND OF DEL,Miller G,2,0,2
New Castle,08-02,U.S. Senate,,LIBERTARIN,Rash J,3,0,3
New Castle,09-02,U.S. Senate,,DEMOCRATIC,Coons C,257,14,271
New Castle,09-02,U.S. Senate,,REPUBLICAN,O'Donnell,15,0,15
New Castle,09-02,U.S. Senate,,IND OF DEL,Miller G,4,0,4
New Castle,09-02,U.S. Senate,,LIBERTARIN,Rash J,0,0,0
New Castle,10-02,U.S. Senate,,DEMOCRATIC,Coons C,489,8,497
New Castle,10-02,U.S. Senate,,REPUBLICAN,O'Donnell,157,3,160
New Castle,10-02,U.S. Senate,,IND OF DEL,Miller G,15,0,15
New Castle,10-02,U.S. Senate,,LIBERTARIN,Rash J,4,0,4
New Castle,11-02,U.S. Senate,,DEMOCRATIC,Coons C,681,8,689
New Castle,11-02,U.S. Senate,,REPUBLICAN,O'Donnell,11,0,11
New Castle,11-02,U.S. Senate,,IND OF DEL,Miller G,10,0,10
New Castle,11-02,U.S. Senate,,LIBERTARIN,Rash J,2,0,2
New Castle,12-02,U.S. Senate,,DEMOCRATIC,Coons C,337,8,345
New Castle,12-02,U.S. Senate,,REPUBLICAN,O'Donnell,12,0,12
New Castle,12-02,U.S. Senate,,IND OF DEL,Miller G,7,0,7
New Castle,12-02,U.S. Senate,,LIBERTARIN,Rash J,0,0,0
New Castle,13-02,U.S. Senate,,DEMOCRATIC,Coons C,327,14,341
New Castle,13-02,U.S. Senate,,REPUBLICAN,O'Donnell,12,0,12
New Castle,13-02,U.S. Senate,,IND OF DEL,Miller G,1,0,1
New Castle,13-02,U.S. Senate,,LIBERTARIN,Rash J,0,0,0
New Castle,14-02,U.S. Senate,,DEMOCRATIC,Coons C,24,0,24
New Castle,14-02,U.S. Senate,,REPUBLICAN,O'Donnell,0,0,0
New Castle,14-02,U.S. Senate,,IND OF DEL,Miller G,0,0,0
New Castle,14-02,U.S. Senate,,LIBERTARIN,Rash J,0,0,0
New Castle,16-02,U.S. Senate,,DEMOCRATIC,Coons C,266,3,269
New Castle,16-02,U.S. Senate,,REPUBLICAN,O'Donnell,43,0,43
New Castle,16-02,U.S. Senate,,IND OF DEL,Miller G,5,0,5
New Castle,16-02,U.S. Senate,,LIBERTARIN,Rash J,0,0,0
New Castle,17-02,U.S. Senate,,DEMOCRATIC,Coons C,0,159,159
New Castle,17-02,U.S. Senate,,REPUBLICAN,O'Donnell,0,31,31
New Castle,17-02,U.S. Senate,,IND OF DEL,Miller G,0,2,2
New Castle,17-02,U.S. Senate,,LIBERTARIN,Rash J,0,0,0
New Castle,01-03,U.S. Senate,,DEMOCRATIC,Coons C,265,14,279
New Castle,01-03,U.S. Senate,,REPUBLICAN,O'Donnell,13,0,13
New Castle,01-03,U.S. Senate,,IND OF DEL,Miller G,3,0,3
New Castle,01-03,U.S. Senate,,LIBERTARIN,Rash J,0,0,0
New Castle,02-03,U.S. Senate,,DEMOCRATIC,Coons C,575,17,592
New Castle,02-03,U.S. Senate,,REPUBLICAN,O'Donnell,120,1,121
New Castle,02-03,U.S. Senate,,IND OF DEL,Miller G,19,1,20
New Castle,02-03,U.S. Senate,,LIBERTARIN,Rash J,5,0,5
New Castle,03-03,U.S. Senate,,DEMOCRATIC,Coons C,115,5,120
New Castle,03-03,U.S. Senate,,REPUBLICAN,O'Donnell,18,2,20
New Castle,03-03,U.S. Senate,,IND OF DEL,Miller G,2,0,2
New Castle,03-03,U.S. Senate,,LIBERTARIN,Rash J,1,0,1
New Castle,04-03,U.S. Senate,,DEMOCRATIC,Coons C,224,2,226
New Castle,04-03,U.S. Senate,,REPUBLICAN,O'Donnell,13,1,14
New Castle,04-03,U.S. Senate,,IND OF DEL,Miller G,2,1,3
New Castle,04-03,U.S. Senate,,LIBERTARIN,Rash J,2,0,2
New Castle,05-03,U.S. Senate,,DEMOCRATIC,Coons C,389,8,397
New Castle,05-03,U.S. Senate,,REPUBLICAN,O'Donnell,30,2,32
New Castle,05-03,U.S. Senate,,IND OF DEL,Miller G,6,0,6
New Castle,05-03,U.S. Senate,,LIBERTARIN,Rash J,6,0,6
New Castle,06-03,U.S. Senate,,DEMOCRATIC,Coons C,436,4,440
New Castle,06-03,U.S. Senate,,REPUBLICAN,O'Donnell,32,2,34
New Castle,06-03,U.S. Senate,,IND OF DEL,Miller G,5,0,5
New Castle,06-03,U.S. Senate,,LIBERTARIN,Rash J,2,0,2
New Castle,07-03,U.S. Senate,,DEMOCRATIC,Coons C,265,5,270
New Castle,07-03,U.S. Senate,,REPUBLICAN,O'Donnell,22,0,22
New Castle,07-03,U.S. Senate,,IND OF DEL,Miller G,5,0,5
New Castle,07-03,U.S. Senate,,LIBERTARIN,Rash J,1,0,1
New Castle,08-03,U.S. Senate,,DEMOCRATIC,Coons C,321,5,326
New Castle,08-03,U.S. Senate,,REPUBLICAN,O'Donnell,57,1,58
New Castle,08-03,U.S. Senate,,IND OF DEL,Miller G,9,0,9
New Castle,08-03,U.S. Senate,,LIBERTARIN,Rash J,4,0,4
New Castle,09-03,U.S. Senate,,DEMOCRATIC,Coons C,438,12,450
New Castle,09-03,U.S. Senate,,REPUBLICAN,O'Donnell,43,2,45
New Castle,09-03,U.S. Senate,,IND OF DEL,Miller G,2,0,2
New Castle,09-03,U.S. Senate,,LIBERTARIN,Rash J,3,1,4
New Castle,10-03,U.S. Senate,,DEMOCRATIC,Coons C,396,18,414
New Castle,10-03,U.S. Senate,,REPUBLICAN,O'Donnell,11,0,11
New Castle,10-03,U.S. Senate,,IND OF DEL,Miller G,1,0,1
New Castle,10-03,U.S. Senate,,LIBERTARIN,Rash J,2,0,2
New Castle,11-03,U.S. Senate,,DEMOCRATIC,Coons C,241,7,248
New Castle,11-03,U.S. Senate,,REPUBLICAN,O'Donnell,2,0,2
New Castle,11-03,U.S. Senate,,IND OF DEL,Miller G,1,0,1
New Castle,11-03,U.S. Senate,,LIBERTARIN,Rash J,0,0,0
New Castle,12-03,U.S. Senate,,DEMOCRATIC,Coons C,32,0,32
New Castle,12-03,U.S. Senate,,REPUBLICAN,O'Donnell,1,0,1
New Castle,12-03,U.S. Senate,,IND OF DEL,Miller G,1,0,1
New Castle,12-03,U.S. Senate,,LIBERTARIN,Rash J,1,0,1
New Castle,01-04,U.S. Senate,,DEMOCRATIC,Coons C,628,49,677
New Castle,01-04,U.S. Senate,,REPUBLICAN,O'Donnell,204,9,213
New Castle,01-04,U.S. Senate,,IND OF DEL,Miller G,10,1,11
New Castle,01-04,U.S. Senate,,LIBERTARIN,Rash J,4,0,4
New Castle,02-04,U.S. Senate,,DEMOCRATIC,Coons C,230,15,245
New Castle,02-04,U.S. Senate,,REPUBLICAN,O'Donnell,196,6,202
New Castle,02-04,U.S. Senate,,IND OF DEL,Miller G,4,1,5
New Castle,02-04,U.S. Senate,,LIBERTARIN,Rash J,2,0,2
New Castle,03-04,U.S. Senate,,DEMOCRATIC,Coons C,739,46,785
New Castle,03-04,U.S. Senate,,REPUBLICAN,O'Donnell,285,18,303
New Castle,03-04,U.S. Senate,,IND OF DEL,Miller G,16,2,18
New Castle,03-04,U.S. Senate,,LIBERTARIN,Rash J,9,1,10
New Castle,04-04,U.S. Senate,,DEMOCRATIC,Coons C,542,52,594
New Castle,04-04,U.S. Senate,,REPUBLICAN,O'Donnell,146,20,166
New Castle,04-04,U.S. Senate,,IND OF DEL,Miller G,12,0,12
New Castle,04-04,U.S. Senate,,LIBERTARIN,Rash J,7,0,7
New Castle,05-04,U.S. Senate,,DEMOCRATIC,Coons C,310,11,321
New Castle,05-04,U.S. Senate,,REPUBLICAN,O'Donnell,50,0,50
New Castle,05-04,U.S. Senate,,IND OF DEL,Miller G,2,1,3
New Castle,05-04,U.S. Senate,,LIBERTARIN,Rash J,4,0,4
New Castle,06-04,U.S. Senate,,DEMOCRATIC,Coons C,531,28,559
New Castle,06-04,U.S. Senate,,REPUBLICAN,O'Donnell,168,8,176
New Castle,06-04,U.S. Senate,,IND OF DEL,Miller G,12,1,13
New Castle,06-04,U.S. Senate,,LIBERTARIN,Rash J,6,0,6
New Castle,07-04,U.S. Senate,,DEMOCRATIC,Coons C,546,13,559
New Castle,07-04,U.S. Senate,,REPUBLICAN,O'Donnell,162,4,166
New Castle,07-04,U.S. Senate,,IND OF DEL,Miller G,19,0,19
New Castle,07-04,U.S. Senate,,LIBERTARIN,Rash J,5,1,6
New Castle,08-04,U.S. Senate,,DEMOCRATIC,Coons C,14,0,14
New Castle,08-04,U.S. Senate,,REPUBLICAN,O'Donnell,3,0,3
New Castle,08-04,U.S. Senate,,IND OF DEL,Miller G,0,0,0
New Castle,08-04,U.S. Senate,,LIBERTARIN,Rash J,0,0,0
New Castle,09-04,U.S. Senate,,DEMOCRATIC,Coons C,351,17,368
New Castle,09-04,U.S. Senate,,REPUBLICAN,O'Donnell,90,2,92
New Castle,09-04,U.S. Senate,,IND OF DEL,Miller G,7,0,7
New Castle,09-04,U.S. Senate,,LIBERTARIN,Rash J,8,1,9
New Castle,10-04,U.S. Senate,,DEMOCRATIC,Coons C,410,10,420
New Castle,10-04,U.S. Senate,,REPUBLICAN,O'Donnell,94,3,97
New Castle,10-04,U.S. Senate,,IND OF DEL,Miller G,11,0,11
New Castle,10-04,U.S. Senate,,LIBERTARIN,Rash J,7,0,7
New Castle,11-04,U.S. Senate,,DEMOCRATIC,Coons C,446,31,477
New Castle,11-04,U.S. Senate,,REPUBLICAN,O'Donnell,364,22,386
New Castle,11-04,U.S. Senate,,IND OF DEL,Miller G,14,2,16
New Castle,11-04,U.S. Senate,,LIBERTARIN,Rash J,8,1,9
New Castle,12-04,U.S. Senate,,DEMOCRATIC,Coons C,85,25,110
New Castle,12-04,U.S. Senate,,REPUBLICAN,O'Donnell,24,3,27
New Castle,12-04,U.S. Senate,,IND OF DEL,Miller G,2,1,3
