county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,01-01,U.S. Senate,,REPUBLICAN,Castle M,27,3,30
New Castle,01-01,U.S. Senate,,REPUBLICAN,O'Donnell,13,2,15
New Castle,02-01,U.S. Senate,,REPUBLICAN,Castle M,14,0,14
New Castle,02-01,U.S. Senate,,REPUBLICAN,O'Donnell,9,0,9
New Castle,04-01,U.S. Senate,,REPUBLICAN,Castle M,8,0,8
New Castle,04-01,U.S. Senate,,REPUBLICAN,O'Donnell,4,0,4
New Castle,05-01,U.S. Senate,,REPUBLICAN,Castle M,48,4,52
New Castle,05-01,U.S. Senate,,REPUBLICAN,O'Donnell,14,1,15
New Castle,06-01,U.S. Senate,,REPUBLICAN,Castle M,11,0,11
New Castle,06-01,U.S. Senate,,REPUBLICAN,O'Donnell,13,0,13
New Castle,07-01,U.S. Senate,,REPUBLICAN,Castle M,7,1,8
New Castle,07-01,U.S. Senate,,REPUBLICAN,O'Donnell,5,0,5
New Castle,08-01,U.S. Senate,,REPUBLICAN,Castle M,10,0,10
New Castle,08-01,U.S. Senate,,REPUBLICAN,O'Donnell,10,0,10
New Castle,09-01,U.S. Senate,,REPUBLICAN,Castle M,7,0,7
New Castle,09-01,U.S. Senate,,REPUBLICAN,O'Donnell,13,0,13
New Castle,10-01,U.S. Senate,,REPUBLICAN,Castle M,12,0,12
New Castle,10-01,U.S. Senate,,REPUBLICAN,O'Donnell,9,1,10
New Castle,11-01,U.S. Senate,,REPUBLICAN,Castle M,11,0,11
New Castle,11-01,U.S. Senate,,REPUBLICAN,O'Donnell,11,0,11
New Castle,01-02,U.S. Senate,,REPUBLICAN,Castle M,3,1,4
New Castle,01-02,U.S. Senate,,REPUBLICAN,O'Donnell,0,0,0
New Castle,02-02,U.S. Senate,,REPUBLICAN,Castle M,4,0,4
New Castle,02-02,U.S. Senate,,REPUBLICAN,O'Donnell,0,0,0
New Castle,04-02,U.S. Senate,,REPUBLICAN,Castle M,7,0,7
New Castle,04-02,U.S. Senate,,REPUBLICAN,O'Donnell,3,0,3
New Castle,05-02,U.S. Senate,,REPUBLICAN,Castle M,10,0,10
New Castle,05-02,U.S. Senate,,REPUBLICAN,O'Donnell,8,0,8
New Castle,06-02,U.S. Senate,,REPUBLICAN,Castle M,17,0,17
New Castle,06-02,U.S. Senate,,REPUBLICAN,O'Donnell,11,0,11
New Castle,08-02,U.S. Senate,,REPUBLICAN,Castle M,1,0,1
New Castle,08-02,U.S. Senate,,REPUBLICAN,O'Donnell,5,0,5
New Castle,10-02,U.S. Senate,,REPUBLICAN,Castle M,30,0,30
New Castle,10-02,U.S. Senate,,REPUBLICAN,O'Donnell,16,1,17
New Castle,11-02,U.S. Senate,,REPUBLICAN,Castle M,1,0,1
New Castle,11-02,U.S. Senate,,REPUBLICAN,O'Donnell,3,0,3
New Castle,12-02,U.S. Senate,,REPUBLICAN,Castle M,2,1,3
New Castle,12-02,U.S. Senate,,REPUBLICAN,O'Donnell,0,0,0
New Castle,16-02,U.S. Senate,,REPUBLICAN,Castle M,6,1,7
New Castle,16-02,U.S. Senate,,REPUBLICAN,O'Donnell,4,0,4
New Castle,17-02,U.S. Senate,,REPUBLICAN,Castle M,0,8,8
New Castle,17-02,U.S. Senate,,REPUBLICAN,O'Donnell,0,1,1
New Castle,01-03,U.S. Senate,,REPUBLICAN,Castle M,7,0,7
New Castle,01-03,U.S. Senate,,REPUBLICAN,O'Donnell,6,0,6
New Castle,02-03,U.S. Senate,,REPUBLICAN,Castle M,40,1,41
New Castle,02-03,U.S. Senate,,REPUBLICAN,O'Donnell,15,0,15
New Castle,04-03,U.S. Senate,,REPUBLICAN,Castle M,1,0,1
New Castle,04-03,U.S. Senate,,REPUBLICAN,O'Donnell,3,1,4
New Castle,05-03,U.S. Senate,,REPUBLICAN,Castle M,5,0,5
New Castle,05-03,U.S. Senate,,REPUBLICAN,O'Donnell,1,0,1
New Castle,07-03,U.S. Senate,,REPUBLICAN,Castle M,4,0,4
New Castle,07-03,U.S. Senate,,REPUBLICAN,O'Donnell,2,0,2
New Castle,08-03,U.S. Senate,,REPUBLICAN,Castle M,18,0,18
New Castle,08-03,U.S. Senate,,REPUBLICAN,O'Donnell,9,0,9
New Castle,10-03,U.S. Senate,,REPUBLICAN,Castle M,3,1,4
New Castle,10-03,U.S. Senate,,REPUBLICAN,O'Donnell,2,0,2
New Castle,01-04,U.S. Senate,,REPUBLICAN,Castle M,162,10,172
New Castle,01-04,U.S. Senate,,REPUBLICAN,O'Donnell,25,1,26
New Castle,02-04,U.S. Senate,,REPUBLICAN,Castle M,134,2,136
New Castle,02-04,U.S. Senate,,REPUBLICAN,O'Donnell,34,0,34
New Castle,03-04,U.S. Senate,,REPUBLICAN,Castle M,203,8,211
New Castle,03-04,U.S. Senate,,REPUBLICAN,O'Donnell,44,1,45
New Castle,04-04,U.S. Senate,,REPUBLICAN,Castle M,85,5,90
New Castle,04-04,U.S. Senate,,REPUBLICAN,O'Donnell,38,0,38
New Castle,05-04,U.S. Senate,,REPUBLICAN,Castle M,344,15,359
New Castle,05-04,U.S. Senate,,REPUBLICAN,O'Donnell,78,4,82
New Castle,06-04,U.S. Senate,,REPUBLICAN,Castle M,70,2,72
New Castle,06-04,U.S. Senate,,REPUBLICAN,O'Donnell,27,0,27
New Castle,07-04,U.S. Senate,,REPUBLICAN,Castle M,67,2,69
New Castle,07-04,U.S. Senate,,REPUBLICAN,O'Donnell,26,0,26
New Castle,08-04,U.S. Senate,,REPUBLICAN,Castle M,24,3,27
New Castle,08-04,U.S. Senate,,REPUBLICAN,O'Donnell,12,0,12
New Castle,10-04,U.S. Senate,,REPUBLICAN,Castle M,32,2,34
New Castle,10-04,U.S. Senate,,REPUBLICAN,O'Donnell,6,0,6
New Castle,13-04,U.S. Senate,,REPUBLICAN,Castle M,20,2,22
New Castle,13-04,U.S. Senate,,REPUBLICAN,O'Donnell,27,0,27
New Castle,16-04,U.S. Senate,,REPUBLICAN,Castle M,97,3,100
New Castle,16-04,U.S. Senate,,REPUBLICAN,O'Donnell,4,0,4
New Castle,19-04,U.S. Senate,,REPUBLICAN,Castle M,0,0,0
New Castle,19-04,U.S. Senate,,REPUBLICAN,O'Donnell,1,0,1
New Castle,01-05,U.S. Senate,,REPUBLICAN,Castle M,50,0,50
New Castle,01-05,U.S. Senate,,REPUBLICAN,O'Donnell,46,2,48
New Castle,03-05,U.S. Senate,,REPUBLICAN,Castle M,28,2,30
New Castle,03-05,U.S. Senate,,REPUBLICAN,O'Donnell,55,0,55
New Castle,04-05,U.S. Senate,,REPUBLICAN,Castle M,26,0,26
New Castle,04-05,U.S. Senate,,REPUBLICAN,O'Donnell,26,0,26
New Castle,06-05,U.S. Senate,,REPUBLICAN,Castle M,9,0,9
New Castle,06-05,U.S. Senate,,REPUBLICAN,O'Donnell,25,0,25
New Castle,09-05,U.S. Senate,,REPUBLICAN,Castle M,28,0,28
New Castle,09-05,U.S. Senate,,REPUBLICAN,O'Donnell,37,3,40
New Castle,11-05,U.S. Senate,,REPUBLICAN,Castle M,13,0,13
New Castle,11-05,U.S. Senate,,REPUBLICAN,O'Donnell,25,0,25
