county,election_district,office,district,party,candidate,votes
New Castle,01-01,President,,DEMOCRATIC,Kerry J F,825
New Castle,01-01,President,,REPUBLICAN,Bush G W,168
New Castle,01-01,President,,CONSTITUTN,Peroutka M,0
New Castle,01-01,President,,GREEN,Cobb D K,0
New Castle,01-01,President,,IND OF DEL,Nader R,6
New Castle,01-01,President,,LIBERTARIN,Badnarik M,3
New Castle,01-01,President,,NATURAL LW,Brown W F,0
New Castle,02-01,President,,DEMOCRATIC,Kerry J F,760
New Castle,02-01,President,,REPUBLICAN,Bush G W,70
New Castle,02-01,President,,CONSTITUTN,Peroutka M,0
New Castle,02-01,President,,GREEN,Cobb D K,2
New Castle,02-01,President,,IND OF DEL,Nader R,2
New Castle,02-01,President,,LIBERTARIN,Badnarik M,1
New Castle,02-01,President,,NATURAL LW,Brown W F,0
New Castle,03-01,President,,DEMOCRATIC,Kerry J F,703
New Castle,03-01,President,,REPUBLICAN,Bush G W,43
New Castle,03-01,President,,CONSTITUTN,Peroutka M,0
New Castle,03-01,President,,GREEN,Cobb D K,2
New Castle,03-01,President,,IND OF DEL,Nader R,2
New Castle,03-01,President,,LIBERTARIN,Badnarik M,2
New Castle,03-01,President,,NATURAL LW,Brown W F,1
New Castle,04-01,President,,DEMOCRATIC,Kerry J F,905
New Castle,04-01,President,,REPUBLICAN,Bush G W,84
New Castle,04-01,President,,CONSTITUTN,Peroutka M,0
New Castle,04-01,President,,GREEN,Cobb D K,1
New Castle,04-01,President,,IND OF DEL,Nader R,2
New Castle,04-01,President,,LIBERTARIN,Badnarik M,0
New Castle,04-01,President,,NATURAL LW,Brown W F,2
New Castle,05-01,President,,DEMOCRATIC,Kerry J F,757
New Castle,05-01,President,,REPUBLICAN,Bush G W,232
New Castle,05-01,President,,CONSTITUTN,Peroutka M,0
New Castle,05-01,President,,GREEN,Cobb D K,3
New Castle,05-01,President,,IND OF DEL,Nader R,3
New Castle,05-01,President,,LIBERTARIN,Badnarik M,3
New Castle,05-01,President,,NATURAL LW,Brown W F,0
New Castle,06-01,President,,DEMOCRATIC,Kerry J F,484
New Castle,06-01,President,,REPUBLICAN,Bush G W,70
New Castle,06-01,President,,CONSTITUTN,Peroutka M,0
New Castle,06-01,President,,GREEN,Cobb D K,0
New Castle,06-01,President,,IND OF DEL,Nader R,1
New Castle,06-01,President,,LIBERTARIN,Badnarik M,0
New Castle,06-01,President,,NATURAL LW,Brown W F,0
New Castle,07-01,President,,DEMOCRATIC,Kerry J F,212
New Castle,07-01,President,,REPUBLICAN,Bush G W,48
New Castle,07-01,President,,CONSTITUTN,Peroutka M,0
New Castle,07-01,President,,GREEN,Cobb D K,1
New Castle,07-01,President,,IND OF DEL,Nader R,0
New Castle,07-01,President,,LIBERTARIN,Badnarik M,0
New Castle,07-01,President,,NATURAL LW,Brown W F,0
New Castle,08-01,President,,DEMOCRATIC,Kerry J F,110
New Castle,08-01,President,,REPUBLICAN,Bush G W,54
New Castle,08-01,President,,CONSTITUTN,Peroutka M,3
New Castle,08-01,President,,GREEN,Cobb D K,0
New Castle,08-01,President,,IND OF DEL,Nader R,1
New Castle,08-01,President,,LIBERTARIN,Badnarik M,1
New Castle,08-01,President,,NATURAL LW,Brown W F,0
New Castle,09-01,President,,DEMOCRATIC,Kerry J F,1226
New Castle,09-01,President,,REPUBLICAN,Bush G W,105
New Castle,09-01,President,,CONSTITUTN,Peroutka M,2
New Castle,09-01,President,,GREEN,Cobb D K,0
New Castle,09-01,President,,IND OF DEL,Nader R,3
New Castle,09-01,President,,LIBERTARIN,Badnarik M,0
New Castle,09-01,President,,NATURAL LW,Brown W F,1
New Castle,10-01,President,,DEMOCRATIC,Kerry J F,502
New Castle,10-01,President,,REPUBLICAN,Bush G W,140
New Castle,10-01,President,,CONSTITUTN,Peroutka M,0
New Castle,10-01,President,,GREEN,Cobb D K,1
New Castle,10-01,President,,IND OF DEL,Nader R,4
New Castle,10-01,President,,LIBERTARIN,Badnarik M,1
New Castle,10-01,President,,NATURAL LW,Brown W F,0
New Castle,11-01,President,,DEMOCRATIC,Kerry J F,607
New Castle,11-01,President,,REPUBLICAN,Bush G W,107
New Castle,11-01,President,,CONSTITUTN,Peroutka M,0
New Castle,11-01,President,,GREEN,Cobb D K,2
New Castle,11-01,President,,IND OF DEL,Nader R,3
New Castle,11-01,President,,LIBERTARIN,Badnarik M,1
New Castle,11-01,President,,NATURAL LW,Brown W F,0
New Castle,01-02,President,,DEMOCRATIC,Kerry J F,18
New Castle,01-02,President,,REPUBLICAN,Bush G W,5
New Castle,01-02,President,,CONSTITUTN,Peroutka M,0
New Castle,01-02,President,,GREEN,Cobb D K,0
New Castle,01-02,President,,IND OF DEL,Nader R,0
New Castle,01-02,President,,LIBERTARIN,Badnarik M,0
New Castle,01-02,President,,NATURAL LW,Brown W F,0
New Castle,02-02,President,,DEMOCRATIC,Kerry J F,839
New Castle,02-02,President,,REPUBLICAN,Bush G W,38
New Castle,02-02,President,,CONSTITUTN,Peroutka M,1
New Castle,02-02,President,,GREEN,Cobb D K,0
New Castle,02-02,President,,IND OF DEL,Nader R,3
New Castle,02-02,President,,LIBERTARIN,Badnarik M,0
New Castle,02-02,President,,NATURAL LW,Brown W F,0
New Castle,03-02,President,,DEMOCRATIC,Kerry J F,161
New Castle,03-02,President,,REPUBLICAN,Bush G W,10
New Castle,03-02,President,,CONSTITUTN,Peroutka M,0
New Castle,03-02,President,,GREEN,Cobb D K,1
New Castle,03-02,President,,IND OF DEL,Nader R,0
New Castle,03-02,President,,LIBERTARIN,Badnarik M,0
New Castle,03-02,President,,NATURAL LW,Brown W F,0
New Castle,04-02,President,,DEMOCRATIC,Kerry J F,10
New Castle,04-02,President,,REPUBLICAN,Bush G W,12
New Castle,04-02,President,,CONSTITUTN,Peroutka M,0
New Castle,04-02,President,,GREEN,Cobb D K,0
New Castle,04-02,President,,IND OF DEL,Nader R,1
New Castle,04-02,President,,LIBERTARIN,Badnarik M,0
New Castle,04-02,President,,NATURAL LW,Brown W F,0
New Castle,05-02,President,,DEMOCRATIC,Kerry J F,531
New Castle,05-02,President,,REPUBLICAN,Bush G W,108
New Castle,05-02,President,,CONSTITUTN,Peroutka M,1
New Castle,05-02,President,,GREEN,Cobb D K,0
New Castle,05-02,President,,IND OF DEL,Nader R,3
New Castle,05-02,President,,LIBERTARIN,Badnarik M,1
New Castle,05-02,President,,NATURAL LW,Brown W F,1
New Castle,06-02,President,,DEMOCRATIC,Kerry J F,391
New Castle,06-02,President,,REPUBLICAN,Bush G W,108
New Castle,06-02,President,,CONSTITUTN,Peroutka M,0
New Castle,06-02,President,,GREEN,Cobb D K,0
New Castle,06-02,President,,IND OF DEL,Nader R,4
New Castle,06-02,President,,LIBERTARIN,Badnarik M,3
New Castle,06-02,President,,NATURAL LW,Brown W F,1
New Castle,07-02,President,,DEMOCRATIC,Kerry J F,106
New Castle,07-02,President,,REPUBLICAN,Bush G W,45
New Castle,07-02,President,,CONSTITUTN,Peroutka M,0
New Castle,07-02,President,,GREEN,Cobb D K,0
New Castle,07-02,President,,IND OF DEL,Nader R,0
New Castle,07-02,President,,LIBERTARIN,Badnarik M,1
New Castle,07-02,President,,NATURAL LW,Brown W F,0
New Castle,08-02,President,,DEMOCRATIC,Kerry J F,230
New Castle,08-02,President,,REPUBLICAN,Bush G W,15
New Castle,08-02,President,,CONSTITUTN,Peroutka M,0
New Castle,08-02,President,,GREEN,Cobb D K,0
New Castle,08-02,President,,IND OF DEL,Nader R,0
New Castle,08-02,President,,LIBERTARIN,Badnarik M,1
New Castle,08-02,President,,NATURAL LW,Brown W F,0
New Castle,09-02,President,,DEMOCRATIC,Kerry J F,344
New Castle,09-02,President,,REPUBLICAN,Bush G W,38
New Castle,09-02,President,,CONSTITUTN,Peroutka M,0
New Castle,09-02,President,,GREEN,Cobb D K,0
New Castle,09-02,President,,IND OF DEL,Nader R,1
New Castle,09-02,President,,LIBERTARIN,Badnarik M,0
New Castle,09-02,President,,NATURAL LW,Brown W F,0
New Castle,10-02,President,,DEMOCRATIC,Kerry J F,610
New Castle,10-02,President,,REPUBLICAN,Bush G W,308
New Castle,10-02,President,,CONSTITUTN,Peroutka M,2
New Castle,10-02,President,,GREEN,Cobb D K,1
New Castle,10-02,President,,IND OF DEL,Nader R,7
New Castle,10-02,President,,LIBERTARIN,Badnarik M,0
New Castle,10-02,President,,NATURAL LW,Brown W F,0
New Castle,11-02,President,,DEMOCRATIC,Kerry J F,809
New Castle,11-02,President,,REPUBLICAN,Bush G W,37
New Castle,11-02,President,,CONSTITUTN,Peroutka M,1
New Castle,11-02,President,,GREEN,Cobb D K,0
New Castle,11-02,President,,IND OF DEL,Nader R,1
New Castle,11-02,President,,LIBERTARIN,Badnarik M,1
New Castle,11-02,President,,NATURAL LW,Brown W F,5
New Castle,12-02,President,,DEMOCRATIC,Kerry J F,424
New Castle,12-02,President,,REPUBLICAN,Bush G W,25
New Castle,12-02,President,,CONSTITUTN,Peroutka M,0
New Castle,12-02,President,,GREEN,Cobb D K,0
New Castle,12-02,President,,IND OF DEL,Nader R,2
New Castle,12-02,President,,LIBERTARIN,Badnarik M,1
New Castle,12-02,President,,NATURAL LW,Brown W F,0
New Castle,13-02,President,,DEMOCRATIC,Kerry J F,428
New Castle,13-02,President,,REPUBLICAN,Bush G W,21
