county,election_district,office,district,party,candidate,votes
New Castle,01-01,President,,DEMOCRATIC,Clark W K,17
New Castle,01-01,President,,DEMOCRATIC,Dean H,20
New Castle,01-01,President,,DEMOCRATIC,Edwards J,10
New Castle,01-01,President,,DEMOCRATIC,Gephardt R,0
New Castle,01-01,President,,DEMOCRATIC,Kerry J F,91
New Castle,01-01,President,,DEMOCRATIC,Kucinich D,2
New Castle,01-01,President,,DEMOCRATIC,Larouche L,0
New Castle,01-01,President,,DEMOCRATIC,Lieberman,39
New Castle,02-01,President,,DEMOCRATIC,Clark W K,46
New Castle,02-01,President,,DEMOCRATIC,Dean H,35
New Castle,02-01,President,,DEMOCRATIC,Edwards J,17
New Castle,02-01,President,,DEMOCRATIC,Gephardt R,1
New Castle,02-01,President,,DEMOCRATIC,Kerry J F,97
New Castle,02-01,President,,DEMOCRATIC,Kucinich D,5
New Castle,02-01,President,,DEMOCRATIC,Larouche L,0
New Castle,02-01,President,,DEMOCRATIC,Lieberman,13
New Castle,04-01,President,,DEMOCRATIC,Clark W K,11
New Castle,04-01,President,,DEMOCRATIC,Dean H,13
New Castle,04-01,President,,DEMOCRATIC,Edwards J,7
New Castle,04-01,President,,DEMOCRATIC,Gephardt R,2
New Castle,04-01,President,,DEMOCRATIC,Kerry J F,54
New Castle,04-01,President,,DEMOCRATIC,Kucinich D,1
New Castle,04-01,President,,DEMOCRATIC,Larouche L,0
New Castle,04-01,President,,DEMOCRATIC,Lieberman,9
New Castle,05-01,President,,DEMOCRATIC,Clark W K,36
New Castle,05-01,President,,DEMOCRATIC,Dean H,28
New Castle,05-01,President,,DEMOCRATIC,Edwards J,23
New Castle,05-01,President,,DEMOCRATIC,Gephardt R,1
New Castle,05-01,President,,DEMOCRATIC,Kerry J F,139
New Castle,05-01,President,,DEMOCRATIC,Kucinich D,5
New Castle,05-01,President,,DEMOCRATIC,Larouche L,0
New Castle,05-01,President,,DEMOCRATIC,Lieberman,22
New Castle,06-01,President,,DEMOCRATIC,Clark W K,14
New Castle,06-01,President,,DEMOCRATIC,Dean H,11
New Castle,06-01,President,,DEMOCRATIC,Edwards J,5
New Castle,06-01,President,,DEMOCRATIC,Gephardt R,0
New Castle,06-01,President,,DEMOCRATIC,Kerry J F,53
New Castle,06-01,President,,DEMOCRATIC,Kucinich D,4
New Castle,06-01,President,,DEMOCRATIC,Larouche L,0
New Castle,06-01,President,,DEMOCRATIC,Lieberman,10
New Castle,07-01,President,,DEMOCRATIC,Clark W K,2
New Castle,07-01,President,,DEMOCRATIC,Dean H,2
New Castle,07-01,President,,DEMOCRATIC,Edwards J,6
New Castle,07-01,President,,DEMOCRATIC,Gephardt R,0
New Castle,07-01,President,,DEMOCRATIC,Kerry J F,18
New Castle,07-01,President,,DEMOCRATIC,Kucinich D,1
New Castle,07-01,President,,DEMOCRATIC,Larouche L,0
New Castle,07-01,President,,DEMOCRATIC,Lieberman,4
New Castle,08-01,President,,DEMOCRATIC,Clark W K,1
New Castle,08-01,President,,DEMOCRATIC,Dean H,1
New Castle,08-01,President,,DEMOCRATIC,Edwards J,0
New Castle,08-01,President,,DEMOCRATIC,Gephardt R,0
New Castle,08-01,President,,DEMOCRATIC,Kerry J F,5
New Castle,08-01,President,,DEMOCRATIC,Kucinich D,0
New Castle,08-01,President,,DEMOCRATIC,Larouche L,0
New Castle,08-01,President,,DEMOCRATIC,Lieberman,5
New Castle,09-01,President,,DEMOCRATIC,Clark W K,17
New Castle,09-01,President,,DEMOCRATIC,Dean H,29
New Castle,09-01,President,,DEMOCRATIC,Edwards J,4
New Castle,09-01,President,,DEMOCRATIC,Gephardt R,1
New Castle,09-01,President,,DEMOCRATIC,Kerry J F,78
New Castle,09-01,President,,DEMOCRATIC,Kucinich D,3
New Castle,09-01,President,,DEMOCRATIC,Larouche L,0
New Castle,09-01,President,,DEMOCRATIC,Lieberman,15
New Castle,10-01,President,,DEMOCRATIC,Clark W K,7
New Castle,10-01,President,,DEMOCRATIC,Dean H,6
New Castle,10-01,President,,DEMOCRATIC,Edwards J,7
New Castle,10-01,President,,DEMOCRATIC,Gephardt R,0
New Castle,10-01,President,,DEMOCRATIC,Kerry J F,27
New Castle,10-01,President,,DEMOCRATIC,Kucinich D,0
New Castle,10-01,President,,DEMOCRATIC,Larouche L,0
New Castle,10-01,President,,DEMOCRATIC,Lieberman,1
New Castle,11-01,President,,DEMOCRATIC,Clark W K,15
New Castle,11-01,President,,DEMOCRATIC,Dean H,18
New Castle,11-01,President,,DEMOCRATIC,Edwards J,4
New Castle,11-01,President,,DEMOCRATIC,Gephardt R,0
New Castle,11-01,President,,DEMOCRATIC,Kerry J F,55
New Castle,11-01,President,,DEMOCRATIC,Kucinich D,2
New Castle,11-01,President,,DEMOCRATIC,Larouche L,0
New Castle,11-01,President,,DEMOCRATIC,Lieberman,17
New Castle,01-01,President,,DEMOCRATIC,Sharpton A,40
New Castle,02-01,President,,DEMOCRATIC,Sharpton A,72
New Castle,04-01,President,,DEMOCRATIC,Sharpton A,35
New Castle,05-01,President,,DEMOCRATIC,Sharpton A,16
New Castle,06-01,President,,DEMOCRATIC,Sharpton A,24
New Castle,07-01,President,,DEMOCRATIC,Sharpton A,3
New Castle,08-01,President,,DEMOCRATIC,Sharpton A,1
New Castle,09-01,President,,DEMOCRATIC,Sharpton A,75
New Castle,10-01,President,,DEMOCRATIC,Sharpton A,12
New Castle,11-01,President,,DEMOCRATIC,Sharpton A,31
New Castle,01-02,President,,DEMOCRATIC,Clark W K,2
New Castle,01-02,President,,DEMOCRATIC,Dean H,2
New Castle,01-02,President,,DEMOCRATIC,Edwards J,0
New Castle,01-02,President,,DEMOCRATIC,Gephardt R,0
New Castle,01-02,President,,DEMOCRATIC,Kerry J F,9
New Castle,01-02,President,,DEMOCRATIC,Kucinich D,1
New Castle,01-02,President,,DEMOCRATIC,Larouche L,1
New Castle,01-02,President,,DEMOCRATIC,Lieberman,2
New Castle,02-02,President,,DEMOCRATIC,Clark W K,19
New Castle,02-02,President,,DEMOCRATIC,Dean H,7
New Castle,02-02,President,,DEMOCRATIC,Edwards J,8
New Castle,02-02,President,,DEMOCRATIC,Gephardt R,2
New Castle,02-02,President,,DEMOCRATIC,Kerry J F,67
New Castle,02-02,President,,DEMOCRATIC,Kucinich D,0
New Castle,02-02,President,,DEMOCRATIC,Larouche L,2
New Castle,02-02,President,,DEMOCRATIC,Lieberman,12
New Castle,04-02,President,,DEMOCRATIC,Clark W K,5
New Castle,04-02,President,,DEMOCRATIC,Dean H,2
New Castle,04-02,President,,DEMOCRATIC,Edwards J,5
New Castle,04-02,President,,DEMOCRATIC,Gephardt R,0
New Castle,04-02,President,,DEMOCRATIC,Kerry J F,9
New Castle,04-02,President,,DEMOCRATIC,Kucinich D,1
New Castle,04-02,President,,DEMOCRATIC,Larouche L,0
New Castle,04-02,President,,DEMOCRATIC,Lieberman,4
New Castle,05-02,President,,DEMOCRATIC,Clark W K,9
New Castle,05-02,President,,DEMOCRATIC,Dean H,5
New Castle,05-02,President,,DEMOCRATIC,Edwards J,9
New Castle,05-02,President,,DEMOCRATIC,Gephardt R,0
New Castle,05-02,President,,DEMOCRATIC,Kerry J F,53
