county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,01-01,U.S. Senate,,DEMOCRATIC,Carper T,552,29,581
New Castle,01-01,U.S. Senate,,REPUBLICAN,Arlett R,50,1,51
New Castle,01-01,U.S. Senate,,GREEN,Theodoropo,5,0,5
New Castle,01-01,U.S. Senate,,LIBERTARIN,Frost N,4,2,6
New Castle,02-01,U.S. Senate,,DEMOCRATIC,Carper T,903,34,937
New Castle,02-01,U.S. Senate,,REPUBLICAN,Arlett R,36,0,36
New Castle,02-01,U.S. Senate,,GREEN,Theodoropo,22,0,22
New Castle,02-01,U.S. Senate,,LIBERTARIN,Frost N,5,0,5
New Castle,03-01,U.S. Senate,,DEMOCRATIC,Carper T,520,21,541
New Castle,03-01,U.S. Senate,,REPUBLICAN,Arlett R,19,1,20
New Castle,03-01,U.S. Senate,,GREEN,Theodoropo,8,0,8
New Castle,03-01,U.S. Senate,,LIBERTARIN,Frost N,4,0,4
New Castle,04-01,U.S. Senate,,DEMOCRATIC,Carper T,748,19,767
New Castle,04-01,U.S. Senate,,REPUBLICAN,Arlett R,30,1,31
New Castle,04-01,U.S. Senate,,GREEN,Theodoropo,12,0,12
New Castle,04-01,U.S. Senate,,LIBERTARIN,Frost N,8,0,8
New Castle,05-01,U.S. Senate,,DEMOCRATIC,Carper T,830,30,860
New Castle,05-01,U.S. Senate,,REPUBLICAN,Arlett R,106,5,111
New Castle,05-01,U.S. Senate,,GREEN,Theodoropo,23,0,23
New Castle,05-01,U.S. Senate,,LIBERTARIN,Frost N,13,1,14
New Castle,06-01,U.S. Senate,,DEMOCRATIC,Carper T,287,8,295
New Castle,06-01,U.S. Senate,,REPUBLICAN,Arlett R,12,0,12
New Castle,06-01,U.S. Senate,,GREEN,Theodoropo,6,1,7
New Castle,06-01,U.S. Senate,,LIBERTARIN,Frost N,1,0,1
New Castle,07-01,U.S. Senate,,DEMOCRATIC,Carper T,282,10,292
New Castle,07-01,U.S. Senate,,REPUBLICAN,Arlett R,25,1,26
New Castle,07-01,U.S. Senate,,GREEN,Theodoropo,4,1,5
New Castle,07-01,U.S. Senate,,LIBERTARIN,Frost N,3,0,3
New Castle,08-01,U.S. Senate,,DEMOCRATIC,Carper T,107,0,107
New Castle,08-01,U.S. Senate,,REPUBLICAN,Arlett R,25,4,29
New Castle,08-01,U.S. Senate,,GREEN,Theodoropo,1,0,1
New Castle,08-01,U.S. Senate,,LIBERTARIN,Frost N,4,0,4
New Castle,09-01,U.S. Senate,,DEMOCRATIC,Carper T,641,35,676
New Castle,09-01,U.S. Senate,,REPUBLICAN,Arlett R,53,5,58
New Castle,09-01,U.S. Senate,,GREEN,Theodoropo,5,0,5
New Castle,09-01,U.S. Senate,,LIBERTARIN,Frost N,8,2,10
New Castle,10-01,U.S. Senate,,DEMOCRATIC,Carper T,708,27,735
New Castle,10-01,U.S. Senate,,REPUBLICAN,Arlett R,14,0,14
