county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,01-01,U.S. Senate,,DEMOCRATIC,Carper T,328,22,350
New Castle,01-01,U.S. Senate,,DEMOCRATIC,Harris K,205,5,210
New Castle,01-01,U.S. Senate,,REPUBLICAN,Arlett R,5,0,5
New Castle,01-01,U.S. Senate,,REPUBLICAN,De La Fuen,1,1,2
New Castle,02-01,U.S. Senate,,DEMOCRATIC,Carper T,260,19,279
New Castle,02-01,U.S. Senate,,DEMOCRATIC,Harris K,256,8,264
New Castle,02-01,U.S. Senate,,REPUBLICAN,Arlett R,1,0,1
New Castle,02-01,U.S. Senate,,REPUBLICAN,De La Fuen,0,0,0
New Castle,03-01,U.S. Senate,,DEMOCRATIC,Carper T,144,14,158
New Castle,03-01,U.S. Senate,,DEMOCRATIC,Harris K,135,3,138
New Castle,03-01,U.S. Senate,,REPUBLICAN,Arlett R,1,1,2
New Castle,03-01,U.S. Senate,,REPUBLICAN,De La Fuen,0,0,0
New Castle,04-01,U.S. Senate,,DEMOCRATIC,Carper T,200,10,210
New Castle,04-01,U.S. Senate,,DEMOCRATIC,Harris K,187,1,188
New Castle,04-01,U.S. Senate,,REPUBLICAN,Arlett R,2,1,3
New Castle,04-01,U.S. Senate,,REPUBLICAN,De La Fuen,1,0,1
New Castle,05-01,U.S. Senate,,DEMOCRATIC,Carper T,285,18,303
New Castle,05-01,U.S. Senate,,DEMOCRATIC,Harris K,217,8,225
New Castle,05-01,U.S. Senate,,REPUBLICAN,Arlett R,6,2,8
New Castle,05-01,U.S. Senate,,REPUBLICAN,De La Fuen,3,0,3
New Castle,06-01,U.S. Senate,,DEMOCRATIC,Carper T,92,4,96
New Castle,06-01,U.S. Senate,,DEMOCRATIC,Harris K,62,1,63
New Castle,06-01,U.S. Senate,,REPUBLICAN,Arlett R,1,0,1
New Castle,06-01,U.S. Senate,,REPUBLICAN,De La Fuen,0,0,0
New Castle,07-01,U.S. Senate,,DEMOCRATIC,Carper T,81,7,88
New Castle,07-01,U.S. Senate,,DEMOCRATIC,Harris K,52,3,55
New Castle,07-01,U.S. Senate,,REPUBLICAN,Arlett R,3,0,3
New Castle,07-01,U.S. Senate,,REPUBLICAN,De La Fuen,0,0,0
New Castle,08-01,U.S. Senate,,DEMOCRATIC,Carper T,25,1,26
New Castle,08-01,U.S. Senate,,DEMOCRATIC,Harris K,9,0,9
New Castle,08-01,U.S. Senate,,REPUBLICAN,Arlett R,4,0,4
New Castle,08-01,U.S. Senate,,REPUBLICAN,De La Fuen,1,0,1
New Castle,09-01,U.S. Senate,,DEMOCRATIC,Carper T,272,11,283
New Castle,09-01,U.S. Senate,,DEMOCRATIC,Harris K,118,3,121
New Castle,09-01,U.S. Senate,,REPUBLICAN,Arlett R,7,0,7
New Castle,09-01,U.S. Senate,,REPUBLICAN,De La Fuen,1,0,1
New Castle,10-01,U.S. Senate,,DEMOCRATIC,Carper T,188,8,196
New Castle,10-01,U.S. Senate,,DEMOCRATIC,Harris K,123,2,125
New Castle,10-01,U.S. Senate,,REPUBLICAN,Arlett R,0,1,1
New Castle,10-01,U.S. Senate,,REPUBLICAN,De La Fuen,3,0,3
New Castle,12-01,U.S. Senate,,DEMOCRATIC,Carper T,63,2,65
New Castle,12-01,U.S. Senate,,DEMOCRATIC,Harris K,52,0,52
New Castle,12-01,U.S. Senate,,REPUBLICAN,Arlett R,3,3,6
New Castle,12-01,U.S. Senate,,REPUBLICAN,De La Fuen,0,0,0
New Castle,13-01,U.S. Senate,,DEMOCRATIC,Carper T,102,7,109
New Castle,13-01,U.S. Senate,,DEMOCRATIC,Harris K,92,1,93
New Castle,13-01,U.S. Senate,,REPUBLICAN,Arlett R,9,1,10
New Castle,13-01,U.S. Senate,,REPUBLICAN,De La Fuen,2,0,2
